,protein,degree,inviable,icp55_shell,pim1_shell,betweenness,eigenvector,closeness,bridging,cluster_id,cluster_size,cluster_degree,cluster_eigenvector,cluster_closeness,betweenness/min-shell,closeness/min-shell,eigenvector/min-shell,bridging/min-shell,min-shell,cluster_betweenness
487,YKL216W,17,0,4,4,0.001215511,0.002375205,0.255063892,8.23E-05,20,13,6,0.343532761,0.666666667,0.000303878,0.063765973,0.000593801,2.06E-05,4,0.012626263
488,YOR128C,17,0,4,4,0.000281587,7.01E-05,0.243436119,1.80E-05,20,13,4,0.173805533,0.6,7.04E-05,0.06085903,1.75E-05,4.50E-06,4,0
489,YKL024C,16,1,4,4,0.000444731,2.43E-05,0.245528281,2.24E-05,20,13,6,0.31160404,0.666666667,0.000111183,0.06138207,6.07E-06,5.59E-06,4,0.045454545
490,YEL063C,6,0,5,5,0,7.51E-07,0.219801885,0,20,13,4,0.173805533,0.6,0,0.043960377,1.50E-07,0,5,0
491,YDR020C,6,0,4,5,4.08E-05,1.45E-06,0.225083711,1.59E-05,20,13,3,0.166366388,0.571428571,1.02E-05,0.056270928,3.64E-07,3.97E-06,4,0
492,YOR202W,20,0,4,5,0.000356308,6.11E-06,0.236692212,1.33E-05,20,13,4,0.173805533,0.6,8.91E-05,0.059173053,1.53E-06,3.33E-06,4,0
493,YML106W,8,0,4,4,0.000261471,1.72E-05,0.228082431,4.11E-05,20,13,6,0.343532761,0.666666667,6.54E-05,0.057020608,4.31E-06,1.03E-05,4,0.012626263
494,YNR012W,7,0,4,5,4.10E-05,1.47E-06,0.225094795,1.01E-05,20,13,3,0.166366388,0.571428571,1.03E-05,0.056273699,3.67E-07,2.54E-06,4,0
495,YEL021W,32,0,4,4,0.007626804,3.33E-05,0.266919708,8.77E-05,20,13,12,0.493794951,1,0.001906701,0.066729927,8.32E-06,2.19E-05,4,0.603535354
496,YMR271C,4,0,5,5,0,1.49E-05,0.220395371,0,20,13,4,0.253178015,0.6,0,0.044079074,2.99E-06,0,5,0
497,YLR014C,6,0,4,5,3.12E-06,1.71E-05,0.225094795,8.32E-07,20,13,5,0.297984129,0.631578947,7.80E-07,0.056273699,4.27E-06,2.08E-07,4,0.003787879
498,YDR007W,13,0,4,5,0.000120949,2.56E-06,0.229767769,9.54E-06,20,13,4,0.173805533,0.6,3.02E-05,0.057441942,6.40E-07,2.39E-06,4,0
499,YER005W,28,1,3,4,0.001245998,0.00012422,0.257695343,2.82E-05,21,1,0,1,0,0.000415333,0.085898448,4.14E-05,9.40E-06,3,0
500,YHR144C,6,0,5,4,9.40E-05,7.88E-07,0.218071657,3.44E-05,22,5,2,0.350541837,0.666666667,2.35E-05,0.054517914,1.97E-07,8.61E-06,4,0
501,YPR062W,7,0,4,5,0.000185051,2.75E-06,0.214088333,3.49E-05,22,5,4,0.559032619,1,4.63E-05,0.053522083,6.88E-07,8.71E-06,4,0.333333333
502,YLR245C,9,0,4,5,0.00040477,5.15E-06,0.219801885,4.77E-05,22,5,3,0.469959238,0.8,0.000101192,0.054950471,1.29E-06,1.19E-05,4,0.083333333
503,YDR400W,22,0,4,4,0.00283066,4.96E-05,0.25180411,6.17E-05,22,5,3,0.469959238,0.8,0.000707665,0.062951027,1.24E-05,1.54E-05,4,0.083333333
504,YHR128W,8,1,4,5,0.000135972,2.07E-06,0.231337618,3.24E-05,22,5,2,0.350541837,0.666666667,3.40E-05,0.057834405,5.17E-07,8.11E-06,4,0
505,YBL072C,235,0,4,3,0.0009188,0.082358601,0.29090562,2.44E-06,23,162,153,0.085046587,0.952662722,0.000306267,0.09696854,0.027452867,8.13E-07,3,0.001720336
506,YIL069C,170,0,4,4,7.31E-05,0.066857385,0.276912825,4.16E-07,23,162,150,0.084274054,0.936046512,1.83E-05,0.069228206,0.016714346,1.04E-07,4,0.001246503
507,YOR293W,161,1,4,4,0.000147147,0.063426801,0.27327076,7.49E-07,23,162,151,0.084539108,0.941520468,3.68E-05,0.06831769,0.0158567,1.87E-07,4,0.001362385
508,YGL135W,210,0,4,4,0.000610075,0.07647077,0.288427562,2.24E-06,23,162,141,0.081947405,0.884615385,0.000152519,0.07210689,0.019117693,5.61E-07,4,8.86E-05
509,YNL002C,243,1,4,4,0.000838323,0.083977486,0.289982871,2.13E-06,23,162,138,0.080040021,0.87027027,0.000209581,0.072495718,0.020994371,5.34E-07,4,0.000129681
510,YMR012W,5,0,4,4,0,0.001048348,0.227707482,0,23,162,5,0.001425931,0.436314363,0,0.056926871,0.000262087,0,4,0
511,YMR116C,213,0,4,3,0.01268435,0.068644689,0.307067043,2.46E-05,23,162,156,0.085558954,0.969879518,0.004228117,0.102355681,0.022881563,8.21E-06,3,0.004275
512,YGL147C,164,0,4,4,6.23E-05,0.065678252,0.275959913,3.96E-07,23,162,145,0.083327305,0.90960452,1.56E-05,0.068989978,0.016419563,9.90E-08,4,0.000335996
513,YDL081C,146,0,4,4,2.95E-06,0.060859137,0.267341209,2.44E-08,23,162,140,0.081513322,0.879781421,7.36E-07,0.066835302,0.015214784,6.10E-09,4,5.45E-05
514,YDL191W,215,0,4,4,0.000870261,0.076966916,0.290628179,2.78E-06,23,162,144,0.082700619,0.899441341,0.000217565,0.072657045,0.019241729,6.95E-07,4,0.001140652
515,YPL131W,244,1,4,3,0.007541546,0.073938588,0.30422629,1.28E-05,23,162,151,0.084656351,0.941520468,0.002513849,0.101408763,0.024646196,4.26E-06,3,0.001380643
516,YGR201C,6,0,5,4,0,0.002781062,0.249345407,0,23,162,6,0.003522035,0.504702194,0,0.062336352,0.000695265,0,4,0
517,YNL001W,50,0,4,4,0.000595999,0.018729218,0.269135657,2.11E-05,23,162,40,0.023675224,0.566901408,0.000149,0.067283914,0.004682304,5.27E-06,4,0
518,YBL092W,178,1,4,4,0.000512758,0.066878261,0.285705357,2.40E-06,23,162,147,0.0834258,0.914772727,0.000128189,0.071426339,0.016719565,6.00E-07,4,0.000927834
519,YOR063W,256,1,4,3,0.006456115,0.08136085,0.305629848,1.00E-05,23,162,151,0.08413024,0.941520468,0.002152038,0.101876616,0.027120283,3.33E-06,3,0.004365273
520,YMR142C,150,0,4,4,1.87E-05,0.061706186,0.270217546,1.40E-07,23,162,144,0.082714287,0.904494382,4.68E-06,0.067554386,0.015426547,3.49E-08,4,0.000444231
521,YOR369C,176,0,4,4,0.000676309,0.066150647,0.280017153,2.27E-06,23,162,152,0.084781949,0.947058824,0.000169077,0.070004288,0.016537662,5.67E-07,4,0.00155881
522,YDL061C,153,0,5,4,7.92E-05,0.061382654,0.271453174,5.59E-07,23,162,143,0.082337017,0.894444444,1.98E-05,0.067863294,0.015345664,1.40E-07,4,0.000400956
523,YOR096W,238,0,4,3,0.000707609,0.083138325,0.283930679,1.84E-06,23,162,151,0.084353694,0.941520468,0.00023587,0.09464356,0.027712775,6.12E-07,3,0.001516982
524,YHL001W,207,0,4,4,0.000391942,0.076715383,0.288082183,1.51E-06,23,162,143,0.08268584,0.899441341,9.80E-05,0.072020546,0.019178846,3.76E-07,4,0.000195742
525,YKR057W,157,0,4,4,2.78E-05,0.062787091,0.271614475,1.82E-07,23,162,150,0.084075505,0.936046512,6.94E-06,0.067903619,0.015696773,4.56E-08,4,0.001403481
526,YLR388W,169,0,4,4,0.000160237,0.064676009,0.277771026,8.57E-07,23,162,151,0.084438782,0.941520468,4.01E-05,0.069442756,0.016169002,2.14E-07,4,0.001471445
527,YKR094C,177,0,4,3,0.006006621,0.062118191,0.2907206,1.86E-05,23,162,143,0.082161414,0.894444444,0.002002207,0.096906867,0.020706064,6.19E-06,3,0.001139349
528,YER074W,172,0,4,4,7.56E-05,0.067373556,0.276644677,4.16E-07,23,162,152,0.084902385,0.947058824,1.89E-05,0.069161169,0.016843389,1.04E-07,4,0.001430186
529,YLR061W,159,0,4,4,0.002227492,0.064543767,0.27058545,1.20E-05,23,162,145,0.083109895,0.904494382,0.000556873,0.067646362,0.016135942,2.99E-06,4,0.000463621
530,YPL090C,240,0,4,3,0.000615583,0.083960966,0.286924863,1.60E-06,23,162,152,0.084696861,0.947058824,0.000205194,0.095641621,0.027986989,5.32E-07,3,0.001604545
531,YLR287C-A,161,0,4,4,4.70E-05,0.063648795,0.272830369,2.88E-07,23,162,149,0.083532243,0.930635838,1.18E-05,0.068207592,0.015912199,7.19E-08,4,0.001383914
532,YOR133W,159,0,4,3,0.003105905,0.060327975,0.289303797,1.25E-05,23,162,141,0.08136385,0.889502762,0.001035302,0.096434599,0.020109325,4.17E-06,3,0.000393139
533,YGR034W,155,0,5,4,0.000230814,0.061506762,0.273647031,1.58E-06,23,162,140,0.081473179,0.879781421,5.77E-05,0.068411758,0.015376691,3.96E-07,4,6.94E-05
534,YML073C,165,0,4,3,0.00015917,0.065938595,0.277114277,9.68E-07,23,162,145,0.083327305,0.90960452,5.31E-05,0.092371426,0.021979532,3.23E-07,3,0.000335996
535,YDL083C,184,0,4,3,0.000252485,0.068879971,0.283965956,1.10E-06,23,162,152,0.084737075,0.947058824,8.42E-05,0.094655319,0.02295999,3.67E-07,3,0.001581648
536,YDR417C,1,0,5,5,0,0.000466184,0.224002744,0,23,162,1,0.00058386,0.479166667,0,0.044800549,9.32E-05,0,5,0
537,YEL054C,157,0,4,4,4.36E-05,0.063350233,0.273058542,3.05E-07,23,162,143,0.08257489,0.899441341,1.09E-05,0.068264636,0.015837558,7.61E-08,4,0.000224384
538,YKL006W,157,0,4,4,2.02E-05,0.064305933,0.270986483,1.44E-07,23,162,143,0.08257489,0.899441341,5.06E-06,0.067746621,0.016076483,3.61E-08,4,0.000224384
539,YBL027W,206,0,4,4,0.000454203,0.076145312,0.287937008,1.70E-06,23,162,146,0.083261072,0.90960452,0.000113551,0.071984252,0.019036328,4.24E-07,4,0.000701406
540,YGL189C,163,1,4,3,0.000136681,0.063836909,0.278125951,8.17E-07,23,162,151,0.084552243,0.941520468,4.56E-05,0.09270865,0.02127897,2.72E-07,3,0.001358067
541,YPR043W,156,0,4,4,2.64E-05,0.063921999,0.271679049,1.88E-07,23,162,144,0.082766728,0.899441341,6.61E-06,0.067919762,0.0159805,4.69E-08,4,0.000406548
542,YML026C,180,0,4,3,0.00023644,0.068024645,0.281621588,1.13E-06,23,162,153,0.084868148,0.952662722,7.88E-05,0.093873863,0.022674882,3.77E-07,3,0.001866467
543,YMR230W,152,0,4,4,1.61E-05,0.061858059,0.269088126,1.16E-07,23,162,146,0.083406239,0.914772727,4.02E-06,0.067272032,0.015464515,2.91E-08,4,0.000599428
544,YJL189W,167,0,4,4,0.000719945,0.065323512,0.277147881,3.67E-06,23,162,144,0.082653267,0.899441341,0.000179986,0.06928697,0.016330878,9.17E-07,4,0.000530375
545,YPR102C,173,0,4,4,0.000224897,0.067989381,0.277906128,1.06E-06,23,162,147,0.083829978,0.92,5.62E-05,0.069476532,0.016997345,2.66E-07,4,0.000615914
546,YGR054W,69,0,4,3,0.001836172,0.026695828,0.267341209,3.20E-05,23,162,61,0.034582204,0.6121673,0.000612057,0.089113736,0.008898609,1.07E-05,3,3.68E-05
547,YLR340W,242,1,4,3,0.004495847,0.082580783,0.29977702,9.19E-06,23,162,151,0.084426636,0.941520468,0.001498616,0.099925673,0.027526928,3.06E-06,3,0.003215512
548,YLR029C,166,1,4,3,0.000308279,0.065193522,0.277652919,1.66E-06,23,162,149,0.084237403,0.930635838,0.00010276,0.092550973,0.021731174,5.54E-07,3,0.001004938
549,YGR118W,187,0,4,3,0.000245273,0.069820353,0.282683983,1.07E-06,23,162,152,0.084781949,0.947058824,8.18E-05,0.094227994,0.023273451,3.57E-07,3,0.00155881
550,YCR031C,243,0,4,3,0.000861625,0.084108263,0.285509057,2.12E-06,23,162,152,0.084737075,0.947058824,0.000287208,0.095169686,0.028036088,7.05E-07,3,0.001581648
551,YNL178W,293,1,4,3,0.019565951,0.085263311,0.310846651,2.15E-05,23,162,156,0.085413678,0.969879518,0.006521984,0.10361555,0.028421104,7.15E-06,3,0.004322779
552,YPL037C,47,0,5,4,0.000336141,0.0187718,0.254765355,1.30E-05,23,162,44,0.025562644,0.575,8.40E-05,0.063691339,0.00469295,3.24E-06,4,1.00E-05
553,YFR032C-A,164,0,4,4,0.000403147,0.064391906,0.274122939,1.63E-06,23,162,142,0.08186062,0.889502762,0.000100787,0.068530735,0.016097977,4.07E-07,4,0.000321996
554,YNL162W,164,1,4,4,0.000401947,0.065059337,0.276996728,2.23E-06,23,162,147,0.083515292,0.914772727,0.000100487,0.069249182,0.016264834,5.57E-07,4,0.000840277
555,YBR191W,154,0,4,4,2.26E-05,0.063272102,0.27029744,1.60E-07,23,162,145,0.083109895,0.904494382,5.65E-06,0.06757436,0.015818025,4.00E-08,4,0.000463621
556,YMR194W,157,0,4,4,2.85E-05,0.064445472,0.272115728,2.03E-07,23,162,143,0.082568761,0.894444444,7.12E-06,0.068028932,0.016111368,5.08E-08,4,0.000229524
557,YGR027C,162,0,4,4,4.07E-05,0.064302706,0.273466946,2.48E-07,23,162,151,0.084532133,0.941520468,1.02E-05,0.068366736,0.016075677,6.20E-08,4,0.001375052
558,YMR146C,128,1,4,3,0.000570395,0.04571202,0.278702518,3.52E-06,23,162,102,0.056809129,0.731818182,0.000190132,0.092900839,0.01523734,1.17E-06,3,0.004963149
559,YDL130W,144,0,4,4,2.51E-06,0.060148332,0.266670556,2.15E-08,23,162,139,0.081150045,0.875,6.27E-07,0.066667639,0.015037083,5.36E-09,4,9.95E-06
560,YBR079C,81,1,4,4,0.0003636,0.026500604,0.276176666,3.74E-06,23,162,60,0.032175848,0.609848485,9.09E-05,0.069044167,0.006625151,9.36E-07,4,0.001507407
561,YBR084C-A,158,0,4,4,4.89E-05,0.064259524,0.273712575,3.33E-07,23,162,144,0.082932037,0.899441341,1.22E-05,0.068428144,0.016064881,8.33E-08,4,0.000279448
562,YFR031C-A,213,0,4,4,0.000892367,0.07718666,0.293652833,3.09E-06,23,162,147,0.08365634,0.92,0.000223092,0.073413208,0.019296665,7.71E-07,4,0.000765259
563,YLR441C,240,0,4,3,0.001082285,0.083339765,0.292862635,2.71E-06,23,162,154,0.085211315,0.958333333,0.000360762,0.097620878,0.027779922,9.02E-07,3,0.001958652
564,YDL075W,161,0,4,4,0.000144707,0.064671232,0.273254424,8.75E-07,23,162,146,0.083505163,0.914772727,3.62E-05,0.068313606,0.016167808,2.19E-07,4,0.000523947
565,YPL220W,158,0,4,4,4.93E-05,0.063564203,0.272358935,3.37E-07,23,162,141,0.081624356,0.884615385,1.23E-05,0.068089734,0.015891051,8.44E-08,4,0.000292034
566,YIL018W,207,0,4,4,0.000579975,0.076374067,0.289212275,2.22E-06,23,162,144,0.083049117,0.904494382,0.000144994,0.072303069,0.019093517,5.56E-07,4,0.000245778
567,YEL034W,97,1,4,4,0.000396049,0.039190506,0.273860164,4.18E-06,23,162,89,0.052211913,0.688034188,9.90E-05,0.068465041,0.009797626,1.04E-06,4,5.79E-07
568,YHR203C,225,0,4,3,0.000450926,0.080972691,0.284584734,1.40E-06,23,162,150,0.084281029,0.936046512,0.000150309,0.094861578,0.026990897,4.67E-07,3,0.001234493
569,YBL087C,166,0,4,4,0.00015868,0.065750486,0.273548773,9.24E-07,23,162,144,0.08275272,0.904494382,3.97E-05,0.068387193,0.016437622,2.31E-07,4,0.001146435
570,YDR385W,161,0,4,3,0.003646116,0.060809931,0.290443513,1.36E-05,23,162,142,0.081920747,0.894444444,0.001215372,0.096814504,0.020269977,4.53E-06,3,0.000400137
571,YHR010W,162,0,4,4,3.12E-05,0.06587284,0.271743654,2.06E-07,23,162,146,0.083652121,0.914772727,7.79E-06,0.067935913,0.01646821,5.16E-08,4,0.000423532
572,YDR012W,161,0,4,3,0.000285917,0.063026914,0.281725732,1.63E-06,23,162,146,0.083121712,0.914772727,9.53E-05,0.093908577,0.021008971,5.42E-07,3,0.000820647
573,YOL040C,194,1,4,3,0.000768851,0.068051312,0.290093292,2.70E-06,23,162,155,0.085389172,0.964071856,0.000256284,0.096697764,0.022683771,9.01E-07,3,0.002210154
574,YDR418W,209,0,4,4,0.000988151,0.076306811,0.288646123,2.07E-06,23,162,146,0.083331368,0.914772727,0.000247038,0.072161531,0.019076703,5.18E-07,4,0.012758357
575,YLL045C,148,0,4,4,5.39E-06,0.061287021,0.268977286,4.23E-08,23,162,143,0.082299495,0.899441341,1.35E-06,0.067244322,0.015321755,1.06E-08,4,0.00045071
576,YBR181C,251,0,4,3,0.001304003,0.084855686,0.289762282,2.69E-06,23,162,151,0.084418672,0.941520468,0.000434668,0.096587427,0.028285229,8.97E-07,3,0.00148946
577,YHL015W,202,1,4,3,0.00168651,0.068198558,0.290369712,4.20E-06,23,162,155,0.085389172,0.964071856,0.00056217,0.096789904,0.022732853,1.40E-06,3,0.002210154
578,YJL136C,145,0,4,4,1.01E-05,0.059922128,0.266888539,8.20E-08,23,162,142,0.08188703,0.894444444,2.54E-06,0.066722135,0.014980532,2.05E-08,4,0.000328079
579,YPL198W,146,0,5,4,3.42E-06,0.060856969,0.267920989,2.83E-08,23,162,142,0.082128943,0.894444444,8.55E-07,0.066980247,0.015214242,7.08E-09,4,0.000192348
580,YAL035W,194,1,4,3,0.001060787,0.067316149,0.291480678,3.86E-06,23,162,121,0.068157628,0.800995025,0.000353596,0.097160226,0.022438716,1.29E-06,3,0.000775139
581,YHR141C,160,0,4,4,0.000349907,0.064219767,0.274666506,2.08E-06,23,162,144,0.082831706,0.899441341,8.75E-05,0.068666627,0.016054942,5.20E-07,4,0.00037281
582,YPL081W,234,0,4,3,0.000470579,0.082871051,0.284283848,1.34E-06,23,162,150,0.08439449,0.936046512,0.00015686,0.094761283,0.027623684,4.45E-07,3,0.001120468
583,YML063W,229,0,4,3,0.00167409,0.081267521,0.295570643,4.82E-06,23,162,150,0.084307651,0.936046512,0.00055803,0.098523548,0.027089174,1.61E-06,3,0.001247454
584,YJL190C,187,0,4,4,0.000171357,0.070358423,0.280601596,7.65E-07,23,162,154,0.085369721,0.958333333,4.28E-05,0.070150399,0.017589606,1.91E-07,4,0.001909825
585,YGR214W,225,0,4,3,0.001188739,0.080310841,0.28959706,3.64E-06,23,162,152,0.08470342,0.947058824,0.000396246,0.096532353,0.02677028,1.21E-06,3,0.001631681
586,YLR333C,153,0,4,4,4.27E-05,0.062331667,0.274057198,3.04E-07,23,162,144,0.082514874,0.899441341,1.07E-05,0.068514299,0.015582917,7.60E-08,4,0.000596247
587,YLR387C,15,0,4,4,3.70E-07,0.005829456,0.252054039,2.91E-07,23,162,12,0.006722189,0.506289308,9.25E-08,0.06301351,0.001457364,7.28E-08,4,0
588,YBR048W,230,0,4,3,0.000731354,0.081085596,0.287213321,2.04E-06,23,162,152,0.08471697,0.947058824,0.000243785,0.095737774,0.027028532,6.81E-07,3,0.001586384
589,YGR169C-A,2,0,5,4,0,0.000917236,0.23251437,0,23,162,2,0.001180717,0.498452012,0,0.058128593,0.000229309,0,4,0
590,YJR145C,233,0,4,3,0.000801253,0.08197971,0.289927693,2.19E-06,23,162,153,0.085046587,0.952662722,0.000267084,0.096642564,0.02732657,7.29E-07,3,0.001720336
591,YDR447C,164,0,4,4,0.000831673,0.064372997,0.279982849,4.84E-06,23,162,152,0.084781949,0.947058824,0.000207918,0.069995712,0.016093249,1.21E-06,4,0.00155881
592,YLR367W,163,0,4,4,8.12E-05,0.06533109,0.277013514,5.28E-07,23,162,144,0.082785411,0.899441341,2.03E-05,0.069253379,0.016332772,1.32E-07,4,0.000404017
593,YJR094W-A,157,0,4,4,2.96E-05,0.064187592,0.271743654,2.08E-07,23,162,143,0.082403451,0.894444444,7.41E-06,0.067935913,0.016046898,5.20E-08,4,0.000355657
594,YPL143W,157,1,4,4,3.05E-05,0.064528393,0.272407628,2.15E-07,23,162,145,0.083141886,0.90960452,7.62E-06,0.068101907,0.016132098,5.38E-08,4,0.00047012
595,YML024W,168,0,4,4,0.000824628,0.06528017,0.280102947,4.47E-06,23,162,153,0.085060137,0.952662722,0.000206157,0.070025737,0.016320043,1.12E-06,4,0.001675333
596,YLR185W,197,0,4,4,0.000259008,0.074326223,0.284107154,1.12E-06,23,162,140,0.081145423,0.879781421,6.48E-05,0.071026788,0.018581556,2.79E-07,4,0.000159754
597,YNL067W,155,0,4,4,3.76E-05,0.062572605,0.272245384,2.66E-07,23,162,144,0.082863698,0.904494382,9.40E-06,0.068061346,0.015643151,6.64E-08,4,0.000378751
598,YMR260C,89,1,4,3,0.001297073,0.030242891,0.28013728,1.69E-05,23,162,66,0.036536826,0.624031008,0.000432358,0.093379093,0.010080964,5.63E-06,3,0.00011474
599,YDR500C,193,0,4,4,0.000249602,0.073475873,0.28389541,1.13E-06,23,162,139,0.080867235,0.875,6.24E-05,0.070973853,0.018368968,2.84E-07,4,7.69E-05
600,YIL148W,170,0,4,3,0.004404386,0.061689445,0.286295879,1.54E-05,23,162,142,0.081883226,0.889502762,0.001468129,0.09543196,0.020563148,5.13E-06,3,0.001040966
601,YHR021C,159,0,4,3,0.001208586,0.062792513,0.282125663,7.61E-06,23,162,146,0.082991856,0.914772727,0.000402862,0.094041888,0.020930838,2.54E-06,3,0.000792979
602,YHR193C,96,0,4,4,0.001175921,0.03695967,0.269994093,1.34E-05,23,162,85,0.049321866,0.676470588,0.00029398,0.067498523,0.009239918,3.35E-06,4,9.41E-05
603,YOL039W,146,0,4,4,3.67E-06,0.060546997,0.267341209,3.00E-08,23,162,142,0.082181305,0.894444444,9.18E-07,0.066835302,0.015136749,7.51E-09,4,0.000188688
604,YOR312C,160,0,4,4,2.47E-05,0.065502453,0.271711348,1.70E-07,23,162,145,0.083373933,0.90960452,6.18E-06,0.067927837,0.016375613,4.25E-08,4,0.000330976
605,YOL121C,176,0,4,4,9.19E-05,0.068204956,0.276778686,4.87E-07,23,162,148,0.083373869,0.925287356,2.30E-05,0.069194672,0.017051239,1.22E-07,4,0.001161548
606,YLR406C,147,0,5,4,1.50E-05,0.060837262,0.268203955,1.17E-07,23,162,143,0.082389471,0.899441341,3.74E-06,0.067050989,0.015209316,2.92E-08,4,0.000356375
607,YHL033C,169,0,4,4,5.40E-05,0.06815971,0.272148131,3.28E-07,23,162,146,0.083460131,0.914772727,1.35E-05,0.068037033,0.017039928,8.20E-08,4,0.000599891
608,YNL209W,45,0,4,3,0.000614917,0.016548812,0.279400978,2.15E-05,23,162,37,0.021727944,0.56097561,0.000204972,0.093133659,0.005516271,7.17E-06,3,0
609,YDR450W,174,0,4,3,0.000201362,0.066762282,0.279794332,1.06E-06,23,162,150,0.084281029,0.936046512,6.71E-05,0.093264777,0.022254094,3.55E-07,3,0.001234493
610,YER056C-A,199,0,4,4,0.000297752,0.074852116,0.285063923,1.25E-06,23,162,143,0.082568761,0.894444444,7.44E-05,0.071265981,0.018713029,3.12E-07,4,0.000229524
611,YAL003W,149,1,4,4,0.000531238,0.058034905,0.276043239,2.43E-06,23,162,136,0.078080334,0.865591398,0.000132809,0.06901081,0.014508726,6.09E-07,4,0.002010341
612,YMR309C,90,1,4,4,0.000859943,0.029034996,0.279897128,8.03E-06,23,162,58,0.03101476,0.605263158,0.000214986,0.069974282,0.007258749,2.01E-06,4,0.001430686
613,YGL123W,251,1,4,3,0.00607084,0.079335383,0.302895766,9.02E-06,23,162,155,0.08507051,0.964071856,0.002023613,0.100965255,0.026445128,3.01E-06,3,0.004204714
614,YER131W,161,0,4,3,0.000150716,0.063245994,0.276912825,9.09E-07,23,162,150,0.084188966,0.936046512,5.02E-05,0.092304275,0.021081998,3.03E-07,3,0.001291018
615,YOL120C,160,1,4,4,0.000125142,0.064832134,0.278651548,8.26E-07,23,162,146,0.083478483,0.914772727,3.13E-05,0.069662887,0.016208033,2.07E-07,4,0.000572995
616,YGL076C,203,0,4,4,0.000305858,0.075805379,0.285117265,1.22E-06,23,162,144,0.082932037,0.899441341,7.65E-05,0.071279316,0.018951345,3.04E-07,4,0.000279448
617,YGR085C,161,0,4,4,5.20E-05,0.064474008,0.275096293,3.36E-07,23,162,147,0.083829978,0.92,1.30E-05,0.068774073,0.016118502,8.40E-08,4,0.000615914
618,YBR031W,180,0,4,3,0.000365228,0.068837307,0.282614072,1.64E-06,23,162,150,0.084284174,0.936046512,0.000121743,0.094204691,0.022945769,5.46E-07,3,0.002112066
619,YPR132W,183,0,4,3,0.000227204,0.068885371,0.282108252,1.05E-06,23,162,150,0.084281029,0.936046512,7.57E-05,0.094036084,0.02296179,3.50E-07,3,0.001234493
620,YNL069C,155,0,4,4,8.10E-05,0.061686061,0.274386218,5.57E-07,23,162,140,0.081279437,0.879781421,2.03E-05,0.068596554,0.015421515,1.39E-07,4,0.00011622
621,YDL082W,167,0,4,4,9.61E-05,0.066469568,0.276159981,5.53E-07,23,162,148,0.083981156,0.925287356,2.40E-05,0.069039995,0.016617392,1.38E-07,4,0.000860967
622,YFL034C-A,144,0,5,4,2.67E-06,0.060498371,0.267795419,2.30E-08,23,162,139,0.08093627,0.875,6.67E-07,0.066948855,0.015124593,5.76E-09,4,6.42E-05
623,YJL191W,204,0,4,4,0.000611755,0.074352463,0.281916862,2.18E-06,23,162,150,0.084294159,0.936046512,0.000152939,0.070479215,0.018588116,5.45E-07,4,0.001241444
624,YIL052C,145,0,5,4,3.28E-06,0.06060187,0.267716997,2.76E-08,23,162,141,0.081816346,0.884615385,8.20E-07,0.066929249,0.015150467,6.91E-09,4,0.000122354
625,YDR429C,104,1,4,4,0.001047194,0.037251209,0.278481784,8.75E-06,23,162,85,0.046683264,0.676470588,0.000261799,0.069620446,0.009312802,2.19E-06,4,0.003159582
626,YMR121C,156,0,4,3,0.000252934,0.062508948,0.275228805,1.59E-06,23,162,144,0.082899706,0.904494382,8.43E-05,0.091742935,0.020836316,5.31E-07,3,0.000309582
627,YNL244C,72,1,4,4,0.000218222,0.025473716,0.269183205,3.44E-06,23,162,57,0.031317702,0.602996255,5.46E-05,0.067295801,0.006368429,8.59E-07,4,6.11E-05
628,YLR075W,173,1,4,4,0.001498048,0.064750209,0.284230817,4.32E-06,23,162,148,0.083297706,0.925287356,0.000374512,0.071057704,0.016187552,1.08E-06,4,0.007629394
629,YGL030W,176,1,4,4,0.000402487,0.066571692,0.281274998,1.97E-06,23,162,146,0.08353866,0.914772727,0.000100622,0.07031875,0.016642923,4.93E-07,4,0.000548004
630,YLR325C,177,0,4,4,0.000693931,0.066742028,0.280223149,2.83E-06,23,162,147,0.083492529,0.914772727,0.000173483,0.070055787,0.016685507,7.08E-07,4,0.000856292
631,YLR448W,151,0,4,4,2.57E-05,0.062236962,0.271517672,1.98E-07,23,162,142,0.082211614,0.894444444,6.43E-06,0.067879418,0.015559241,4.95E-08,4,0.000175356
632,YLR192C,51,0,4,4,2.05E-05,0.018361981,0.264067013,9.69E-07,23,162,42,0.022672239,0.570921986,5.11E-06,0.066016753,0.004590495,2.42E-07,4,0
633,YDR025W,224,0,4,3,0.000647374,0.080214895,0.286152498,1.99E-06,23,162,150,0.084274054,0.936046512,0.000215791,0.095384166,0.026738298,6.64E-07,3,0.001246503
634,YGR148C,148,0,5,4,0.000271114,0.061245457,0.271598336,2.13E-06,23,162,143,0.082489802,0.899441341,6.78E-05,0.067899584,0.015311364,5.33E-07,4,0.000262942
635,YMR143W,233,0,4,3,0.000623939,0.081639769,0.287719519,1.70E-06,23,162,152,0.084616639,0.947058824,0.00020798,0.095906506,0.027213256,5.66E-07,3,0.001716046
636,YNL096C,188,0,4,4,0.00013626,0.071830249,0.275129409,6.48E-07,23,162,142,0.08211911,0.889502762,3.41E-05,0.068782352,0.017957562,1.62E-07,4,0.000257394
637,YLR048W,159,0,4,3,0.000367425,0.062941994,0.279281481,2.37E-06,23,162,147,0.083470497,0.92,0.000122475,0.093093827,0.020980665,7.89E-07,3,0.000899084
