,protein,degree,inviable,icp55_shell,pim1_shell,betweenness,eigenvector,closeness,bridging,cluster_id,cluster_size,cluster_degree,cluster_eigenvector,cluster_closeness,betweenness/min-shell,closeness/min-shell,eigenvector/min-shell,bridging/min-shell,min-shell,cluster_betweenness
30,YAL046C,11,0,4,3,9.45E-05,2.16E-06,0.210586934,9.93E-06,4,7,4,0.41844816,0.75,3.15E-05,0.070195645,7.20E-07,3.31E-06,3,0.022222222
31,YDR098C,10,0,4,3,0.000524105,4.02E-06,0.212991007,3.97E-05,4,7,4,0.385650039,0.75,0.000174702,0.070997002,1.34E-06,1.32E-05,3,0.066666667
32,YAL044W-A,10,0,4,3,8.09E-05,2.13E-06,0.21036403,1.01E-05,4,7,4,0.41844816,0.75,2.70E-05,0.070121343,7.10E-07,3.38E-06,3,0.022222222
33,YGL220W,8,0,3,4,0.000181336,2.11E-06,0.207706639,1.82E-05,4,7,6,0.505543038,1,6.04E-05,0.069235546,7.05E-07,6.07E-06,3,0.355555556
34,YLL029W,5,0,2,5,0.000454714,5.93E-06,0.215440449,0.000176181,4,7,2,0.219973416,0.6,0.000227357,0.107720224,2.97E-06,8.81E-05,2,0
35,YER174C,7,0,3,4,0.00087496,2.06E-06,0.205687801,0.000144649,4,7,4,0.385650039,0.75,0.000291653,0.0685626,6.86E-07,4.82E-05,3,0.066666667
36,YPL202C,2,0,4,4,0,3.75E-08,0.177143079,0,4,7,2,0.219973416,0.6,0,0.04428577,9.36E-09,0,4,0
37,YPR056W,20,1,4,3,4.29E-05,3.59E-05,0.248423913,4.14E-06,5,62,18,0.100257541,0.570093458,1.43E-05,0.082807971,1.20E-05,1.38E-06,3,0.000817594
38,YJL148W,42,0,4,3,6.82E-05,0.008292921,0.25167933,2.86E-06,5,62,7,0.035545324,0.438848921,2.27E-05,0.08389311,0.002764307,9.52E-07,3,0
39,YML112W,8,0,4,3,9.18E-05,5.62E-06,0.238706982,3.58E-05,5,62,5,0.020692611,0.495934959,3.06E-05,0.079568994,1.87E-06,1.19E-05,3,0.000298063
40,YPR086W,66,1,4,2,0.001347679,0.000150169,0.262158752,8.75E-06,5,62,34,0.188190213,0.685393258,0.00067384,0.131079376,7.51E-05,4.37E-06,2,0.01460825
41,YKL058W,33,1,4,3,0.000130706,0.000127358,0.250493205,4.36E-06,5,62,26,0.157225393,0.62244898,4.36E-05,0.083497735,4.25E-05,1.45E-06,3,0.00162494
42,YOR210W,72,1,3,2,0.001650689,0.001358496,0.266623892,9.81E-06,5,62,35,0.181636074,0.693181818,0.000825345,0.133311946,0.000679248,4.90E-06,2,0.027434048
43,YJL006C,32,0,4,2,0.000682916,1.79E-05,0.25147164,1.57E-05,5,62,21,0.088903822,0.580952381,0.000341458,0.12573582,8.96E-06,7.85E-06,2,0.012476674
44,YKR062W,33,1,4,2,0.000155758,0.000126506,0.250218962,5.58E-06,5,62,30,0.173092885,0.64893617,7.79E-05,0.125109481,6.33E-05,2.79E-06,2,0.005726581
45,YGR186W,36,1,4,2,8.36E-05,0.000129079,0.250273763,2.58E-06,5,62,28,0.166974084,0.635416667,4.18E-05,0.125136881,6.45E-05,1.29E-06,2,0.002524068
46,YMR039C,3,0,4,3,0,8.69E-06,0.228950664,0,5,62,3,0.01944398,0.491935484,0,0.076316888,2.90E-06,0,3,0
47,YKL160W,12,0,4,3,0,0.000102949,0.241672835,0,5,62,12,0.076667481,0.544642857,0,0.080557612,3.43E-05,0,3,0
48,YLR005W,29,1,4,3,0.000215709,2.24E-05,0.248680703,6.35E-06,5,62,20,0.103091174,0.564814815,7.19E-05,0.082893568,7.48E-06,2.12E-06,3,0.00243643
49,YFR016C,1,0,5,3,0,3.46E-07,0.200429711,0,5,62,1,0.002098464,0.358823529,0,0.066809904,1.15E-07,0,3,0
50,YKL139W,23,1,4,3,0.000675655,1.44E-05,0.253648521,3.53E-05,5,62,15,0.066818754,0.54954955,0.000225218,0.084549507,4.78E-06,1.18E-05,3,0.004383062
51,YDR311W,30,1,4,2,0.000446162,3.63E-05,0.252054039,1.14E-05,5,62,20,0.10521028,0.575471698,0.000223081,0.12602702,1.82E-05,5.69E-06,2,0.002657577
52,YER171W,57,1,4,2,0.00247919,0.000145276,0.266297699,2.23E-05,5,62,32,0.178392104,0.663043478,0.001239595,0.133148849,7.26E-05,1.12E-05,2,0.008550305
