,protein,degree,inviable,icp55_shell,pim1_shell,betweenness,eigenvector,closeness,bridging,cluster_id,cluster_size,cluster_degree,cluster_eigenvector,cluster_closeness
33,YGR218W,115,0,3,4,0.020243387370367506,0.024462354198435732,0.30046670610661935,6.382216323101627e-05,0,190,53,0.03404461677970502,0.5815384615384616
34,YLR435W,90,0,4,4,0.00011334293546325293,0.022771253819543112,0.26151381657989586,1.3863890005900822e-06,0,190,82,0.05880073489912307,0.6385135135135135
35,YPR112C,145,0,4,3,8.932976589460465e-05,0.04183872889415987,0.27229403705248106,6.195658382775684e-07,0,190,119,0.08385518672128162,0.7297297297297297
36,YCR047C,57,0,4,4,0.0013762748471429502,0.012586992357970114,0.25219310344827583,1.1481811017931922e-05,0,190,48,0.03258691688474494,0.5727272727272728
37,YLR186W,152,0,4,3,0.0010672582739037551,0.044097949789859946,0.2773665048543689,5.7076735191124205e-06,0,190,99,0.06975663245915756,0.6774193548387096
38,YGR251W,73,0,4,3,5.047052055989199e-06,0.021126133757820718,0.2619184047673619,1.4300763719139142e-07,0,190,63,0.04408250883953505,0.6
39,YNL248C,126,0,4,3,0.000603089622396339,0.02747079050617558,0.2668573763792399,3.492417176108451e-06,0,190,103,0.0728112950905806,0.6872727272727273
40,YNR053C,182,0,4,3,0.001532777180165695,0.05181565368893019,0.2836663770634231,4.875097371444344e-06,0,190,127,0.08386418498416735,0.7529880478087649
41,YLR397C,92,0,4,4,0.0038186419825775183,0.022715522722882096,0.28229990118577075,1.9616883233577235e-05,0,190,54,0.03450880328022231,0.5833333333333334
42,YDR060W,147,0,4,3,0.00015503724532365886,0.040663439672846545,0.2803262602722924,1.0396030206337173e-06,0,190,126,0.08365911291432895,0.75
43,YGL078C,188,0,4,3,0.002365814046759524,0.04529790810475015,0.28828203834510596,5.857478144390974e-06,0,190,147,0.09190443685586229,0.8181818181818182
44,YLR197W,215,0,3,3,0.0026412782511403784,0.0531462934392806,0.28723136860625864,4.627507436813964e-06,0,190,147,0.0943391782575147,0.8181818181818182
45,YPL169C,110,0,3,3,0.006252327567079387,0.019199185968846674,0.2863138114625744,2.751405802692541e-05,0,190,45,0.027757526418603327,0.5675675675675675
46,YNL175C,59,0,4,4,1.9386793135054185e-05,0.015401628739368534,0.2558634200951581,7.55385645785065e-07,0,190,56,0.04119035565048195,0.5869565217391305
47,YOR272W,240,0,4,3,0.0023338183040303435,0.0613932170631961,0.2928251121076233,3.3071580693390835e-06,0,190,170,0.1032739923649753,0.9086538461538461
48,YPR137W,193,0,4,3,0.0008585000650417184,0.04916677141331838,0.27602657004830916,2.063224032039731e-06,0,190,143,0.09504096629521919,0.8042553191489362
49,YLR409C,185,0,4,3,0.0007877151546402715,0.047669476206109354,0.2783630716765118,2.321393749899027e-06,0,190,143,0.0927428266560928,0.8042553191489362
50,YAL059W,77,0,4,4,0.0003462610006024443,0.022835157653302383,0.271872955451139,7.85882643538718e-06,0,190,58,0.037410625772618125,0.590625
51,YKR081C,235,0,4,3,0.0014864411721644594,0.06006034841699541,0.2892854882602367,2.702972390508598e-06,0,190,165,0.10196224378760876,0.8873239436619719
52,YGL019W,81,0,4,2,0.00039148226840166425,0.025684792175339772,0.2689139898811625,9.235198670326911e-06,0,190,56,0.03930817605026436,0.5869565217391305
53,YHR088W,172,0,4,3,0.0005361115585302196,0.04382043698847609,0.282544195821486,1.7336115695371275e-06,0,190,132,0.08459314579336275,0.7682926829268293
54,YGL111W,135,0,4,3,0.00010971531655799592,0.03799137537828456,0.2784478557504873,8.983827346902657e-07,0,190,113,0.07583981940818743,0.7132075471698113
55,YHR085W,120,0,4,4,0.00014554410681841598,0.034093688480082845,0.26773267732677325,9.676102438891958e-07,0,190,92,0.06253753049056673,0.6608391608391608
56,YKL082C,84,0,4,4,7.287855666853572e-06,0.021572175977315887,0.25544875377221415,1.46543681357441e-07,0,190,79,0.05687674879597204,0.6321070234113713
57,YOR309C,12,0,4,4,1.199841886940037e-07,0.0037764668916269086,0.24248050501299664,1.5578474415328905e-07,0,190,11,0.008894479624095362,0.5149863760217984
58,YDL063C,66,0,4,4,0.00015336900337897572,0.01610082685469169,0.26205354583500545,2.4915706042538834e-06,0,190,57,0.040776883714676956,0.5887850467289719
59,YNR054C,71,0,4,3,1.0889054669917626e-05,0.01761576697131809,0.25756465881557444,2.9541937280466354e-07,0,190,66,0.04699990693439452,0.6057692307692307
60,YPL211W,198,0,3,3,0.0034954793895206047,0.047455131098837505,0.28939537828426715,7.623775532915586e-06,0,190,139,0.08838215683647928,0.7907949790794979
61,YDR087C,162,0,4,3,0.0004192679769267893,0.04247738955797977,0.28263154640450133,1.9334924018553276e-06,0,190,130,0.08350656184973722,0.7620967741935484
62,YOR294W,200,0,4,3,0.000979123886925641,0.048855042776083865,0.2855090568394753,2.389791313963201e-06,0,190,152,0.09649549301466825,0.8362831858407079
