,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,Q0092
3,0,Q0297
4,0,Q0010
5,0,Q0143
6,0,Q0032
7,0,Q0142
8,1,YOR196C
9,1,YER048W-A
10,1,YOR226C
11,1,YJR122W
12,1,YPL252C
13,1,YPR067W
14,1,YLR369W
15,1,YPL059W
16,1,YPL135W
17,1,YKL040C
18,1,YCL017C
19,1,YLL027W
20,2,YMR301C
21,2,YDL120W
22,2,YGL018C
23,3,YNL310C
24,3,YNL328C
25,3,YFL016C
26,3,YOR232W
27,4,YLL029W
28,4,YGL220W
29,4,YAL046C
30,4,YDR098C
31,4,YAL044W-A
32,4,YPL202C
33,4,YER174C
34,5,YGR063C
35,5,YOR151C
36,5,YKR062W
37,5,YMR039C
38,5,YBR279W
39,5,YPR133C
40,5,YIL143C
41,5,YLR226W
42,5,YKL160W
43,5,YML112W
44,5,YGL130W
45,5,YDL115C
46,5,YPR056W
47,5,YJR072C
48,5,YOR194C
49,5,YOR352W
50,5,YDR079C-A
51,5,YER139C
52,5,YBR236C
53,5,YJL006C
54,5,YGL043W
55,5,YDL140C
56,5,YLR418C
57,5,YJR017C
58,5,YDR311W
59,5,YMR277W
60,5,YDR460W
61,5,YPL228W
62,5,YGR116W
63,5,YGL070C
64,5,YGL244W
65,5,YER171W
66,5,YIL021W
67,5,YOR123C
68,5,YOL005C
69,5,YGR005C
70,5,YLR005W
71,5,YML010W
72,5,YPL122C
73,5,YJL140W
74,5,YKL058W
75,5,YPR086W
76,5,YDR289C
77,5,YDR404C
78,5,YNL222W
79,5,YDL108W
80,5,YKL028W
81,5,YPR161C
82,5,YKL005C
83,5,YKL139W
84,5,YPR025C
85,5,YGR186W
86,6,YBL022C
87,7,YOR210W
88,7,YKL125W
89,7,YLR243W
90,7,YNL113W
91,7,YJL148W
92,7,YPR187W
93,7,YJR063W
94,7,YHR143W-A
95,7,YDR156W
96,7,YBR154C
97,7,YOR224C
98,7,YPR110C
99,8,YDR397C
100,8,YNL039W
101,8,YNL151C
102,8,YJL011C
103,8,YML098W
104,8,YDR145W
105,8,YKR025W
106,8,YER159C
107,8,YPR190C
108,8,YBR123C
109,8,YDR167W
110,8,YPL011C
111,8,YML114C
112,8,YDL070W
113,8,YCR042C
114,8,YKL144C
115,8,YDR045C
116,8,YER148W
117,8,YGR246C
118,8,YDR362C
119,8,YDL150W
120,8,YAL001C
121,8,YNR003C
122,8,YMR227C
123,8,YBR198C
124,8,YMR236W
125,8,YOR110W
126,8,YPL007C
127,8,YOR207C
128,8,YOR116C
129,8,YGL112C
130,8,YPL082C
131,8,YML015C
132,8,YGR047C
133,8,YGR274C
134,8,YPR186C
135,8,YMR005W
136,9,YLR071C
137,9,YOL051W
138,9,YOL135C
139,9,YDR308C
140,9,YHR058C
141,9,YBL093C
142,9,YOR174W
143,9,YPL042C
144,9,YGL151W
145,9,YPR168W
146,9,YPR070W
147,9,YBR193C
148,9,YNL236W
149,9,YGL127C
150,9,YER022W
151,9,YNL025C
152,9,YCR081W
153,9,YMR112C
154,9,YHR041C
155,9,YDL005C
156,9,YDR443C
157,9,YNR010W
158,9,YBR253W
159,9,YGL025C
160,9,YGR104C
161,10,YPL254W
162,10,YOL148C
163,10,YOR023C
164,10,YDR448W
165,10,YPL047W
166,10,YLR055C
167,10,YBR111W-A
168,10,YBR081C
169,10,YGL066W
170,10,YMR223W
171,10,YDR176W
172,10,YDR392W
173,10,YER164W
174,10,YCL010C
175,10,YCR082W
176,10,YGR252W
177,11,YJL047C
178,11,YPL046C
179,11,YOL133W
180,11,YNL230C
181,11,YPR164W
182,11,YLR320W
183,12,YHR111W
184,12,YIL008W
185,12,YMR312W
186,12,YPL086C
187,12,YLR384C
188,12,YHR187W
189,12,YML014W
190,12,YNL119W
191,12,YKL110C
192,12,YGR200C
193,12,YPL101W
194,12,YGL211W
195,13,YMR186W
196,13,YGR123C
197,13,YOR298C-A
198,13,YBR155W
199,13,YJR032W
200,13,YDR168W
201,13,YDR214W
202,13,YLR216C
203,13,YOR057W
204,13,YPL240C
205,13,YNL281W
206,13,YKL117W
207,13,YOR027W
208,14,YLR455W
209,14,YPR031W
210,14,YPL129W
211,14,YOR064C
212,14,YKL017C
213,15,YPR052C
214,15,YBR089C-A
215,15,YML069W
216,15,YGL207W
217,16,YFR016C
218,16,YOL145C
219,17,YJR035W
220,17,YDR030C
221,17,YKL054C
222,18,YNL248C
223,18,YIL019W
224,18,YDR365C
225,18,YIL091C
226,18,YGL120C
227,18,YGL171W
228,18,YDR412W
229,18,YLR222C
230,18,YOL010W
231,18,YOR145C
232,18,YGL111W
233,18,YBR142W
234,18,YKL172W
235,18,YMR014W
236,18,YLR409C
237,18,YJL069C
238,18,YDR299W
239,18,YMR239C
240,18,YIR012W
241,18,YJR091C
242,18,YJL010C
243,18,YLR129W
244,18,YPR137W
245,18,YHR065C
246,18,YOR272W
247,18,YOL080C
248,18,YHR197W
249,18,YGR251W
250,18,YLL008W
251,18,YKL099C
252,18,YBL004W
253,18,YOR046C
254,18,YHR085W
255,18,YNL132W
256,18,YDL063C
257,18,YER127W
258,18,YOR119C
259,18,YLR175W
260,18,YDL167C
261,18,YLR196W
262,18,YNR038W
263,18,YNL124W
264,18,YIL127C
265,18,YMR290C
266,18,YPL126W
267,18,YHR052W
268,18,YDR361C
269,18,YCR057C
270,18,YMR093W
271,18,YCL031C
272,18,YFR001W
273,18,YMR128W
274,18,YER082C
275,18,YLR401C
276,18,YNL075W
277,18,YDR339C
278,18,YPL012W
279,18,YER036C
280,18,YLL011W
281,18,YDR161W
282,18,YNL227C
283,18,YDL060W
284,18,YKL014C
285,18,YNL112W
286,18,YOR287C
287,18,YGL029W
288,18,YBR034C
289,18,YER006W
290,18,YDR324C
291,18,YFL002C
292,18,YDR496C
293,18,YDL148C
294,18,YLR009W
295,18,YNR053C
296,18,YOL041C
297,18,YIL035C
298,18,YHR148W
299,18,YDL213C
300,18,YKL143W
301,18,YNL062C
302,18,YDR083W
303,18,YPL211W
304,18,YER126C
305,18,YNR054C
306,18,YMR229C
307,18,YPL146C
308,18,YDR312W
309,18,YPL266W
310,18,YPL239W
311,18,YPL226W
312,18,YNL308C
313,18,YJL033W
314,18,YDR087C
315,18,YJR002W
316,18,YMR049C
317,18,YOR206W
318,18,YCR087C-A
319,18,YDR449C
320,18,YKR060W
321,18,YNL110C
322,18,YGR128C
323,18,YOR056C
324,18,YGL014W
325,18,YLR276C
326,18,YDR398W
327,18,YGR245C
328,18,YOR294W
329,18,YPL043W
330,18,YHR169W
331,18,YKR024C
332,18,YHR170W
333,18,YGR081C
334,18,YHR066W
335,18,YGL019W
336,18,YNL207W
337,18,YOR039W
338,18,YNL182C
339,18,YDL051W
340,18,YGR090W
341,18,YOR061W
342,18,YAL025C
343,18,YOR310C
344,18,YGR271C-A
345,18,YHR088W
346,18,YLR003C
347,18,YER156C
348,18,YDL153C
349,18,YML074C
350,18,YBR247C
351,18,YGR280C
352,18,YHR089C
353,18,YAL059W
354,18,YOR340C
355,18,YBR267W
356,18,YLL034C
357,18,YBL028C
358,18,YPL217C
359,18,YLR106C
360,18,YKR081C
361,18,YKL009W
362,18,YLR435W
363,18,YLR186W
364,18,YOR078W
365,18,YNL175C
366,18,YGR103W
367,18,YER002W
368,18,YOL144W
369,18,YJL122W
370,18,YHR196W
371,18,YLR336C
372,18,YNL163C
373,18,YLR022C
374,18,YDL014W
375,18,YGR145W
376,18,YIR026C
377,18,YGL099W
378,18,YOR004W
379,18,YKL021C
380,18,YLR197W
381,18,YEL055C
382,18,YLR221C
383,18,YDR174W
384,18,YKR056W
385,18,YDR101C
386,18,YGR187C
387,18,YNL224C
388,18,YMR131C
389,18,YKL082C
390,18,YLR074C
391,18,YDR194C
392,18,YMR269W
393,18,YJL109C
394,18,YCL054W
395,18,YPR112C
396,18,YGL078C
397,18,YNL061W
398,18,YCL059C
399,18,YOL077C
400,18,YML093W
401,18,YLR449W
402,18,YJR041C
403,18,YBR192W
404,18,YKR092C
405,18,YDR184C
406,18,YPL093W
407,18,YNL035C
408,18,YOR309C
409,18,YLR051C
410,18,YGR159C
411,18,YDL031W
412,18,YPR143W
413,18,YPR144C
414,18,YCR072C
415,18,YDL208W
416,18,YDR060W
417,18,YLR002C
418,19,YKL126W
419,19,YHR205W
420,19,YDR005C
421,20,YGR095C
422,20,YNR024W
423,20,YGR158C
424,20,YNL251C
425,20,YHR069C
426,20,YOL021C
427,20,YLR430W
428,20,YGR195W
429,20,YMR287C
430,20,YPR189W
431,20,YDR374C
432,20,YNL299W
433,20,YDR280W
434,20,YDR293C
435,20,YPL190C
436,20,YDL111C
437,20,YCR035C
438,20,YIL079C
439,20,YNL232W
440,20,YDL175C
441,20,YOR076C
442,20,YJL050W
443,20,YOR001W
444,20,YOL115W
445,20,YOL142W
446,20,YHR081W
447,20,YLR398C
448,21,YPR010C
449,21,YPL263C
450,21,YOR341W
451,22,YGL050W
452,22,YPL207W
453,22,YOL141W
454,22,YML005W
455,22,YHR070W
456,23,YMR271C
457,23,YNR012W
458,23,YDR007W
459,23,YOR128C
460,23,YKL024C
461,23,YLR014C
462,23,YEL063C
463,23,YOR202W
464,23,YKL216W
465,23,YLR420W
466,23,YML106W
467,23,YDR020C
468,23,YEL021W
469,24,YER005W
470,25,YLR245C
471,25,YDR400W
472,25,YHR128W
473,25,YPR062W
474,25,YHR144C
475,26,YNL002C
476,26,YDR012W
477,26,YLR061W
478,26,YOR361C
479,26,YGR169C-A
480,26,YLR048W
481,26,YBR079C
482,26,YDR429C
483,26,YJR145C
484,26,YMR143W
485,26,YPR016C
486,26,YGR054W
487,26,YMR309C
488,26,YLR264W
489,26,YDR450W
