,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,YKL011C
3,0,Q0092
4,0,Q0297
5,0,Q0010
6,0,Q0143
7,0,YDR296W
8,0,Q0032
9,0,Q0142
10,1,YDL205C
11,1,YGL012W
12,1,YER042W
13,1,YOR278W
14,1,YBR002C
15,1,YLR283W
16,1,YOL096C
17,1,YNL240C
18,1,YKL040C
19,1,YIL128W
20,1,YMR220W
21,1,YDR213W
22,1,YOR125C
23,1,YHR007C
24,1,YLL029W
25,1,YER048W-A
26,1,YNR041C
27,1,YCL033C
28,1,YLR281C
29,1,YPR067W
30,1,YDR430C
31,1,YAL046C
32,1,YHR176W
33,1,YHR072W
34,1,YLR290C
35,1,YGR255C
36,1,YGL091C
37,1,YLR201C
38,1,YDR232W
39,1,YHR195W
40,1,YPL034W
41,1,YGL119W
42,1,YLL027W
43,1,YIL049W
44,1,YPL170W
45,1,YML075C
46,1,YLR205C
47,1,YPL117C
48,1,YNL111C
49,1,YDL120W
50,1,YGL155W
51,1,YMR274C
52,1,YHR190W
53,1,YJL097W
54,1,YMR208W
55,1,YOR176W
56,1,YPL028W
57,1,YJR067C
58,1,YCL017C
59,1,YCR034W
60,1,YPR122W
61,1,YGL220W
62,1,YER014W
63,1,YDL015C
64,1,YER044C
65,1,YJL167W
66,1,YHR122W
67,1,YBR159W
68,1,YJL031C
69,1,YPR065W
70,1,YGR060W
71,1,YKL069W
72,1,YDR305C
73,1,YPL202C
74,1,YGL018C
75,1,YPL069C
76,1,YNL280C
77,1,YGR175C
78,1,YLR056W
79,1,YGL001C
80,1,YMR101C
81,1,YKR071C
82,1,YBR003W
83,1,YLR124W
84,1,YML126C
85,1,YDR044W
86,1,YPR048W
87,1,YLR100W
88,1,YDR267C
89,1,YNR043W
90,1,YDL119C
91,1,YOL008W
92,1,YAL044W-A
93,1,YPL135W
94,1,YPL059W
95,1,YML008C
96,1,YML110C
97,1,YJR122W
98,1,YDL193W
99,1,YDR047W
100,1,YMR202W
101,1,YDR410C
102,1,YNL260C
103,1,YJR117W
104,1,YDR539W
105,1,YMR301C
106,1,YDL090C
107,1,YDR204W
108,1,YDR538W
109,1,YPL252C
110,1,YKL019W
111,1,YLR280C
112,1,YLR450W
113,1,YJL196C
114,1,YLR372W
115,1,YGL055W
116,1,YGL040C
117,1,YIL003W
118,1,YLR125W
119,1,YOR196C
120,1,YPL109C
121,1,YOR226C
122,1,YMR015C
123,1,YLR126C
124,1,YDR098C
125,2,YDR381W
126,2,YOL032W
127,2,YKR082W
128,2,YML103C
129,2,YPL152W
130,2,YOR048C
131,2,YAR002W
132,2,YBR028C
133,2,YJR045C
134,2,YAL043C
135,2,YKL214C
136,2,YGL190C
137,2,YML109W
138,2,YOR160W
139,2,YEL030W
140,2,YDR195W
141,2,YGR156W
142,2,YDR414C
143,2,YKL057C
144,2,YHR057C
145,2,YDR128W
146,2,YIL016W
147,2,YDR159W
148,2,YPL169C
149,2,YDL047W
150,2,YER110C
151,2,YNL299W
152,2,YBL051C
153,2,YEL062W
154,2,YCR075W-A
155,2,YMR061W
156,2,YMR161W
157,2,YGL044C
158,2,YDR200C
159,2,YIL115C
160,2,YPL190C
161,2,YDR523C
162,2,YDR301W
163,2,YBL046W
164,2,YLR018C
165,2,YLR273C
166,2,YNL139C
167,2,YMR308C
168,2,YLL024C
169,2,YOR271C
170,2,YFL016C
171,2,YCL028W
172,2,YMR273C
173,2,YNL007C
174,2,YJL073W
175,2,YIL129C
176,2,YMR052W
177,2,YNL189W
178,2,YOL138C
179,2,YNL047C
180,2,YDL188C
181,2,YJR141W
182,2,YDR283C
183,2,YGL100W
184,2,YDR228C
185,2,YMR255W
186,2,YNL161W
187,2,YGL168W
188,2,YGR142W
189,2,YPL125W
190,2,YDL134C
191,2,YNL317W
192,2,YKL186C
193,2,YLR443W
194,2,YOR027W
195,2,YOR112W
196,2,YLR238W
197,2,YDR130C
198,2,YLR433C
199,2,YBL075C
200,2,YHL023C
201,2,YJL059W
202,2,YML062C
203,2,YKR095W
204,2,YER103W
205,2,YOR353C
206,2,YHR132W-A
207,2,YBR101C
208,2,YGL097W
209,2,YMR186W
210,2,YHR205W
211,2,YOR250C
212,2,YDR075W
213,2,YML031W
214,2,YDR099W
215,2,YFL033C
216,2,YAL016W
217,2,YFR008W
218,2,YPL240C
219,2,YIR011C
220,2,YDR335W
221,2,YGL241W
222,2,YJR138W
223,2,YCR021C
224,2,YMR153W
225,2,YBR187W
226,2,YNL157W
227,2,YBR291C
228,2,YGL167C
229,2,YHR186C
230,2,YDR214W
231,2,YNL291C
232,2,YMR129W
233,2,YBL104C
234,2,YDR435C
235,2,YOR087W
236,2,YIL063C
237,2,YBL079W
238,2,YDR395W
239,2,YKL205W
240,2,YLR104W
241,2,YER105C
242,2,YMR028W
243,2,YGL122C
244,2,YMR047C
245,2,YDR028C
246,2,YIL105C
247,2,YIL149C
248,2,YGL016W
249,2,YNR032W
250,2,YOL031C
251,2,YJL034W
252,2,YLR347C
253,2,YLR208W
254,2,YDL088C
255,2,YNL004W
256,2,YOR014W
257,2,YOR020C
258,2,YGR119C
259,2,YKL159C
260,2,YDR002W
261,2,YCR075C
262,2,YNL217W
263,2,YDR295C
264,2,YJL144W
265,2,YOR298C-A
266,2,YNL006W
267,2,YLR090W
268,2,YLR369W
269,2,YBR017C
270,2,YLR216C
271,2,YOL123W
272,2,YCL011C
273,2,YBR137W
274,2,YNL064C
275,2,YCL051W
276,2,YOR007C
277,2,YER009W
278,2,YDL084W
279,2,YML057W
280,2,YBR050C
281,2,YER133W
282,2,YML121W
283,2,YKL059C
284,2,YDL064W
285,2,YNL201C
286,2,YNL077W
287,2,YPR040W
288,2,YKL189W
289,2,YKL193C
290,2,YOR185C
291,2,YJL039C
292,2,YGL006W
293,2,YLR131C
294,2,YDL207W
295,2,YBR077C
296,2,YLR115W
297,2,YPL106C
298,2,YGR123C
299,2,YGL172W
300,2,YKL176C
301,2,YPR179C
302,2,YJR147W
303,2,YFR002W
304,2,YDR510W
305,2,YLR335W
306,2,YMR068W
307,2,YGR268C
308,2,YGR249W
309,2,YGR161C
310,2,YMR103C
311,2,YJR093C
312,2,YOR178C
313,2,YBR169C
314,2,YJR042W
315,2,YKL190W
316,2,YMR034C
317,2,YLR271W
318,2,YHR167W
319,2,YKL073W
320,2,YDL128W
321,2,YPR107C
322,2,YJR032W
323,2,YLR277C
324,2,YJL041W
325,2,YNL251C
326,2,YDR192C
327,2,YLR430W
328,2,YNR051C
329,2,YDR138W
330,2,YDR370C
331,2,YKL203C
332,2,YGL238W
333,2,YGL073W
334,2,YJL061W
335,2,YBR220C
336,2,YCR027C
337,2,YGL023C
338,2,YOR057W
339,2,YDL116W
340,2,YLR293C
341,2,YNL253W
342,2,YDR458C
343,2,YBR045C
344,2,YDR293C
345,2,YKL126W
346,2,YKL117W
347,2,YKR007W
348,2,YJR074W
349,2,YFL034C-B
350,2,YGR057C
351,2,YKR002W
352,2,YNL027W
353,2,YBR270C
354,2,YML078W
355,2,YGR217W
356,2,YAL005C
357,2,YJL058C
358,2,YKL018W
359,2,YIL079C
360,2,YNL281W
361,2,YGR163W
362,2,YER107C
363,2,YKL068W
364,2,YNL127W
365,2,YJR066W
366,2,YDL175C
367,2,YDR258C
368,2,YIR001C
369,2,YGR250C
370,2,YBR219C
371,2,YIL153W
372,2,YMR029C
373,2,YOL115W
374,2,YNL222W
375,2,YMR235C
376,2,YPL020C
377,2,YOR098C
378,2,YOL078W
379,2,YGR285C
380,2,YBR155W
381,2,YNL021W
382,2,YER093C
383,2,YGL092W
384,2,YDR168W
385,2,YNL135C
386,2,YHR102W
387,2,YPL180W
388,2,YOR179C
389,2,YMR104C
390,2,YJR132W
391,2,YMR311C
392,2,YNL270C
393,3,YPL132W
394,3,YBL030C
395,3,YDL067C
396,3,YER065C
397,3,YCL044C
398,3,YLL018C-A
399,3,YBR179C
400,3,YGR106C
401,3,YBR218C
402,3,YER017C
403,3,YOR108W
404,3,YIL114C
405,3,YDL185W
406,3,YNL117W
407,3,YGR244C
408,3,YLL041C
409,3,YDL171C
410,3,YMR056C
411,3,YNL121C
412,3,YNL026W
413,3,YMR228W
414,3,YMR302C
415,3,Q0055
416,3,YMR241W
417,3,YDR049W
418,3,YJL200C
419,3,YLR203C
420,3,YLR163C
421,3,YBL099W
422,3,YIL125W
423,3,YKR066C
424,3,YDR375C
425,3,YER154W
426,3,YNL315C
427,3,YBR085W
428,3,YGR181W
429,3,YNL036W
430,3,YNR016C
431,3,YPR002W
432,3,YLR304C
433,3,YKL084W
434,3,YDL078C
435,3,YBL059C-A
436,3,YKL085W
437,3,YDR376W
438,3,YML120C
439,3,YLL006W
440,3,YOL026C
441,3,YKL192C
442,3,YLR259C
443,3,YLR447C
444,3,YDR511W
445,3,YIL111W
446,3,YNL100W
447,3,YOR388C
448,3,YGR222W
449,3,YLR239C
450,3,YGL226W
451,3,YKL195W
452,3,YHR083W
453,3,YJL054W
454,3,YDR178W
455,3,YFR011C
456,3,YML129C
457,3,YNL052W
458,3,YJR033C
459,3,YOR045W
460,3,Q0050
461,3,YBR262C
462,3,YDL181W
463,3,YBR011C
464,3,YKL137W
465,3,YER141W
466,3,YPR001W
467,3,YOL027C
468,3,YKR017C
469,3,YDL215C
470,3,YKL016C
471,3,YFR049W
472,3,YDR322C-A
473,3,YOR232W
474,3,YGL219C
475,3,YPR006C
476,3,YDR493W
477,3,YPR191W
478,3,Q0160
479,3,YKL119C
480,3,YIL042C
481,3,YIR034C
482,3,YML081C-A
483,3,YDL198C
484,3,YMR038C
485,3,YDR377W
486,3,YGR183C
487,3,YOR065W
488,3,YGR021W
489,3,YEL024W
