,cluster,size,icp55_shorpl,pim1_shorpl,avg_clust_coeff,avg_deg,avg_inner_deg,avg_outer_deg
240,240,8,4,4,0.375,2.875,0.75,2.125
241,241,1,3,3,0.0,27.0,0.0,27.0
242,242,2,4,3,0.0,19.0,0.0,19.0
243,243,1,3,4,0.0,21.0,0.0,21.0
244,244,3,5,5,1.0,2.3333333333333335,2.0,0.3333333333333333
245,245,5,4,3,0.6,6.0,1.2,4.8
246,246,7,3,2,0.3333333333333333,36.0,1.7142857142857142,34.285714285714285
247,247,1,4,3,0.0,7.0,0.0,7.0
248,248,6,5,5,0.9333333333333335,6.166666666666667,4.666666666666667,1.5
249,249,8,3,3,0.7773809523809524,14.75,5.0,9.75
250,250,2,4,4,0.0,15.0,1.0,14.0
251,251,3,6,5,0.0,2.3333333333333335,0.0,2.3333333333333335
252,252,1,5,4,0.0,4.0,0.0,4.0
253,253,2,7,6,0.0,2.0,0.0,2.0
254,254,13,5,5,0.5932234432234432,5.538461538461538,4.769230769230769,0.7692307692307693
255,255,13,6,4,0.72002442002442,7.153846153846154,4.461538461538462,2.6923076923076925
256,256,2,4,4,0.0,6.5,1.0,5.5
257,257,8,4,3,0.7083333333333333,10.375,4.0,6.375
258,258,7,5,4,0.47619047619047616,3.857142857142857,1.4285714285714286,2.4285714285714284
259,259,7,4,3,0.6095238095238095,13.428571428571429,3.142857142857143,10.285714285714286
260,260,9,3,3,0.6,10.666666666666666,2.888888888888889,7.777777777777778
261,261,1,3,4,0.0,22.0,0.0,22.0
262,262,3,4,3,1.0,5.666666666666667,2.0,3.6666666666666665
263,263,31,3,3,0.8449700100737882,27.35483870967742,19.032258064516128,8.32258064516129
264,264,5,3,3,1.0,10.0,4.0,6.0
265,265,1,4,4,0.0,12.0,0.0,12.0
266,266,4,4,4,1.0,7.0,3.0,4.0
267,267,49,4,3,0.504233927444384,10.918367346938776,8.571428571428571,2.3469387755102042
268,268,4,4,4,0.0,12.75,0.0,12.75
269,269,3,4,4,0.0,2.3333333333333335,0.0,2.3333333333333335
270,270,4,6,5,0.5833333333333333,2.25,2.0,0.25
271,271,2,5,4,0.0,4.0,0.0,4.0
272,272,1,5,4,0.0,5.0,0.0,5.0
273,273,12,4,3,0.3928571428571428,8.333333333333334,2.8333333333333335,5.5
274,274,7,4,3,0.42857142857142855,4.428571428571429,0.8571428571428571,3.5714285714285716
275,275,2,4,3,0.0,16.5,0.0,16.5
276,276,8,4,4,0.8410714285714287,15.875,5.5,10.375
277,277,3,5,3,0.0,15.0,0.6666666666666666,14.333333333333334
278,278,1,4,3,0.0,16.0,0.0,16.0
279,279,1,4,3,0.0,5.0,0.0,5.0
280,280,1,5,4,0.0,8.0,0.0,8.0
281,281,14,3,3,0.6569727891156463,8.357142857142858,3.7142857142857144,4.642857142857143
282,282,3,3,4,0.0,13.666666666666666,0.6666666666666666,13.0
283,283,3,4,4,0.0,13.333333333333334,0.0,13.333333333333334
284,284,9,4,1,0.6925925925925926,6.888888888888889,4.888888888888889,2.0
285,285,1,5,1,0.0,3.0,0.0,3.0
286,286,2,6,5,0.0,1.5,0.0,1.5
287,287,3,4,3,0.0,10.0,0.0,10.0
288,288,2,4,3,0.0,17.0,0.0,17.0
289,289,9,4,3,0.6507936507936508,7.333333333333333,4.0,3.3333333333333335
290,290,2,4,4,0.0,9.5,1.0,8.5
291,291,1,4,4,0.0,14.0,0.0,14.0
292,292,7,6,4,0.5761904761904761,4.142857142857143,3.7142857142857144,0.42857142857142855
293,293,4,5,4,0.5833333333333333,6.5,2.0,4.5
294,294,7,4,4,0.6523809523809524,5.714285714285714,3.142857142857143,2.5714285714285716
295,295,1,7,6,0.0,2.0,0.0,2.0
296,296,9,4,3,0.28888888888888886,9.777777777777779,2.4444444444444446,7.333333333333333
297,297,2,4,4,0.0,14.5,1.0,13.5
298,298,9,4,3,0.25925925925925924,10.88888888888889,0.8888888888888888,10.0
299,299,2,4,4,0.0,17.0,0.0,17.0
300,300,1,4,4,0.0,13.0,0.0,13.0
301,301,2,4,4,0.0,16.0,0.0,16.0
302,302,3,4,4,1.0,13.333333333333334,2.0,11.333333333333334
303,303,10,4,4,0.75,6.8,6.0,0.8
304,304,4,3,4,0.0,3.25,0.0,3.25
305,305,1,5,4,0.0,3.0,0.0,3.0
306,306,1,4,4,0.0,7.0,0.0,7.0
307,307,6,4,4,0.7222222222222223,4.333333333333333,2.0,2.3333333333333335
308,308,1,4,3,0.0,8.0,0.0,8.0
309,309,16,3,3,0.671338383838384,13.0,7.25,5.75
310,310,8,4,4,0.9119047619047618,8.0,6.25,1.75
311,311,10,6,4,0.7923809523809523,4.5,4.2,0.3
312,312,4,5,4,0.8333333333333333,5.75,2.5,3.25
313,313,2,4,3,0.0,21.5,0.0,21.5
314,314,2,7,6,0.0,1.5,0.0,1.5
