,cluster,protein
0,0,Q0010
1,0,Q0143
2,0,Q0092
3,1,Q0017
4,1,Q0182
5,1,Q0297
6,1,Q0032
7,1,Q0142
8,2,YPL135W
9,2,YPL252C
10,2,YOR226C
11,3,YCL017C
12,4,YDL120W
13,5,YER048W-A
14,6,YGL018C
15,7,YJR122W
16,7,YPL059W
17,7,YPR067W
18,8,YKL040C
19,9,YLL027W
20,10,YLR369W
21,11,YMR301C
22,12,YOR196C
23,13,YOR232W
24,13,YNL328C
25,13,YNL310C
26,14,YAL044W-A
27,14,YAL046C
28,15,YGL043W
29,16,YBL022C
30,17,YBR154C
31,17,YDR045C
32,17,YOR210W
33,17,YNL113W
34,17,YOR224C
35,17,YHR143W-A
36,17,YPR187W
37,17,YOL005C
38,17,YJR063W
39,17,YJL011C
40,17,YKL144C
41,17,YPR110C
42,17,YDR156W
43,17,YJL148W
44,17,YLR243W
45,17,YFL023W
46,18,YBR279W
47,18,YDL140C
48,18,YDR079C-A
49,18,YDR404C
50,18,YGL070C
51,18,YPR133C
52,18,YGR116W
53,18,YLR418C
54,18,YGL244W
55,18,YML010W
56,18,YPR161C
57,18,YIL021W
58,18,YGR063C
59,18,YMR277W
60,18,YOR151C
61,18,YJL140W
62,18,YLR226W
63,18,YMR039C
64,18,YOR194C
65,18,YER139C
66,18,YKL160W
67,18,YGL130W
68,18,YPL228W
69,19,YDL108W
70,19,YPR025C
71,20,YDR311W
72,21,YDR443C
73,21,YPL042C
74,21,YOL128C
75,22,YER148W
76,22,YDL150W
77,22,YDR362C
78,22,YGR047C
79,22,YGR246C
80,22,YKR025W
81,22,YNL039W
82,22,YNL151C
83,22,YNR003C
84,22,YPR190C
85,22,YGL112C
86,22,YAL001C
87,22,YBR123C
88,22,YBR198C
89,22,YCR042C
90,22,YDR145W
91,22,YDR167W
92,22,YDR397C
93,22,YML015C
94,22,YMR236W
95,22,YER159C
96,22,YMR005W
97,22,YPL011C
98,22,YML098W
99,22,YOR110W
100,22,YPL007C
101,22,YPR186C
102,22,YML114C
103,23,YER164W
104,24,YER171W
105,24,YPL122C
106,24,YKL028W
107,24,YKR062W
108,24,YIL143C
109,24,YPR056W
110,24,YLR005W
111,24,YDR460W
112,24,YOR352W
113,25,YNL230C
114,25,YOL133W
115,25,YJL047C
116,25,YLR320W
117,25,YPR164W
118,25,YDR054C
119,26,YOR123C
120,27,YKL110C
121,27,YLR384C
122,27,YPL086C
123,27,YGR200C
124,27,YHR187W
125,27,YMR312W
126,27,YPL101W
127,28,YGL127C
128,28,YBR193C
129,28,YBR253W
130,28,YLR071C
131,28,YMR112C
132,28,YOR174W
133,28,YPR168W
134,28,YGR104C
135,28,YHR041C
136,28,YHR058C
137,28,YDR308C
138,28,YER022W
139,28,YOL135C
140,28,YDL005C
141,28,YBL093C
142,28,YCR081W
143,28,YNL236W
144,28,YGL151W
145,28,YPR070W
146,28,YGL025C
147,28,YNR010W
148,29,YPR086W
149,29,YGR186W
150,29,YKL058W
151,30,YOR298C-A
152,30,YMR186W
153,30,YPL240C
154,30,YBR155W
155,30,YDR168W
156,30,YDR214W
157,30,YGR123C
158,30,YJR032W
159,30,YKL117W
160,30,YLR216C
161,30,YNL281W
162,31,YPL129W
163,31,YDL002C
164,31,YGL150C
165,31,YLR455W
166,31,YKL017C
167,32,YGL207W
168,32,YML069W
169,32,YBR089C-A
170,33,YKL005C
171,34,YJL006C
172,34,YML112W
173,34,YKL139W
174,35,YOL145C
175,35,YFR016C
176,36,YJR035W
177,36,YDR030C
178,36,YKL054C
179,37,YGR005C
180,38,YOR207C
181,39,YCR057C
182,39,YER082C
183,39,YJL109C
184,39,YLR129W
185,39,YLR222C
186,39,YLR409C
187,39,YMR229C
188,39,YNL132W
189,39,YPL217C
190,39,YBL004W
191,39,YCL031C
192,39,YCL059C
193,39,YDL148C
194,39,YDL213C
195,39,YDR324C
196,39,YDR449C
197,39,YGL019W
198,39,YGL171W
199,39,YGR081C
200,39,YGR090W
201,39,YGR128C
202,39,YGR145W
203,39,YHR148W
204,39,YHR169W
205,39,YHR196W
206,39,YIL035C
207,39,YJL010C
208,39,YJL069C
209,39,YJR002W
210,39,YKR060W
211,39,YLL011W
212,39,YLR003C
213,39,YLR186W
214,39,YNL308C
215,39,YOL010W
216,39,YMR093W
217,39,YPR112C
218,39,YPL126W
219,39,YOR061W
220,39,YOR078W
221,39,YPR144C
222,39,YMR128W
223,39,YML093W
224,39,YDL153C
225,39,YIL091C
226,39,YOR287C
227,39,YGR251W
228,39,YLR336C
229,39,YNL035C
230,40,YDR005C
231,40,YOR116C
232,41,YDR496C
233,41,YKR024C
234,41,YOR206W
235,41,YPL226W
236,41,YLR106C
237,41,YDR161W
238,41,YNR053C
239,41,YOR294W
240,41,YDR087C
241,41,YDR299W
242,41,YDR398W
243,41,YLR002C
244,41,YHR066W
245,41,YAL059W
246,41,YBL028C
247,41,YBR142W
248,41,YBR267W
249,41,YCR072C
250,41,YDL031W
251,41,YDL063C
252,41,YDR060W
253,41,YDR083W
254,41,YDR312W
255,41,YDR365C
256,41,YER002W
257,41,YER036C
258,41,YFR001W
259,41,YGL111W
260,41,YHR052W
261,41,YLR276C
262,41,YNL061W
263,41,YLL008W
264,41,YJL122W
265,41,YLL034C
266,41,YLR221C
267,41,YOL041C
268,41,YPR143W
269,41,YNR038W
270,41,YLR074C
271,41,YNL227C
272,41,YLR196W
273,41,YOR004W
274,41,YMR131C
275,41,YIR012W
276,41,YKL021C
277,41,YOL080C
278,41,YIR026C
279,41,YDL167C
280,41,YKR092C
281,41,YJR041C
282,41,YNL175C
283,41,YKR056W
284,41,YDR184C
285,41,YOL144W
286,41,YJR091C
287,41,YGL014W
288,42,YGR245C
289,42,YMR049C
290,42,YPL012W
291,42,YHR197W
292,42,YMR290C
293,42,YNL224C
294,42,YEL055C
295,42,YGR159C
296,42,YKL014C
297,42,YLR401C
298,43,YHR170W
299,43,YGL099W
300,44,YJL050W
301,45,YNL248C
302,46,YOR341W
303,46,YPR010C
304,46,YOR340C
305,46,YPL263C
306,47,YPL207W
307,47,YHR070W
308,47,YGL050W
309,47,YOL141W
310,48,YDR020C
311,48,YDR400W
312,48,YNR012W
313,49,YEL021W
314,49,YEL063C
315,49,YKL216W
316,49,YML106W
317,49,YLR014C
318,49,YMR271C
319,50,YER005W
320,51,YLR245C
321,52,YKL024C
322,52,YJR057W
323,53,YBR031W
324,53,YBL072C
325,53,YBL087C
326,53,YBL092W
327,53,YGL189C
328,53,YKL156W
329,53,YDR447C
330,53,YJL136C
331,53,YLR287C-A
332,53,YOR312C
333,53,YFR032C-A
