,cluster,protein
0,0,Q0010
1,0,Q0143
2,0,Q0092
3,1,Q0017
4,1,Q0182
5,1,Q0297
6,1,Q0032
7,1,Q0142
8,2,YPL135W
9,2,YPL252C
10,2,YOR226C
11,3,YCL017C
12,3,YER048W-A
13,4,YDL120W
14,5,YGL018C
15,6,YJR122W
16,6,YPL059W
17,6,YPR067W
18,7,YKL040C
19,8,YLL027W
20,8,YOR196C
21,9,YLR369W
22,10,YMR301C
23,11,YOR232W
24,11,YNL328C
25,11,YFL016C
26,11,YNL310C
27,12,YAL044W-A
28,12,YAL046C
29,13,YGL043W
30,13,YBR279W
31,13,YDL140C
32,13,YDR079C-A
33,13,YDR404C
34,13,YGL070C
35,13,YPR133C
36,13,YPL122C
37,13,YGR116W
38,13,YLR418C
39,13,YGL244W
40,13,YML010W
41,13,YPR161C
42,13,YIL021W
43,13,YGR063C
44,13,YMR277W
45,13,YGR186W
46,13,YOL005C
47,13,YOR151C
48,13,YJL140W
49,13,YGR005C
50,13,YBR236C
51,13,YLR226W
52,13,YMR039C
53,13,YOR194C
54,13,YER139C
55,13,YKL160W
56,13,YGL130W
57,13,YPL228W
58,14,YBL022C
59,15,YBR154C
60,15,YDR045C
61,15,YOR210W
62,15,YNL113W
63,15,YOR224C
64,15,YHR143W-A
65,15,YPR187W
66,15,YJR063W
67,15,YJL011C
68,15,YKL144C
69,15,YPR110C
70,15,YDR156W
71,15,YJL148W
72,15,YLR243W
73,15,YFL023W
74,16,YDL108W
75,16,YPR025C
76,17,YDR311W
77,17,YER171W
78,17,YKL028W
79,17,YKR062W
80,17,YIL143C
81,17,YPR056W
82,17,YLR005W
83,17,YDR460W
84,17,YBR114W
85,17,YJR052W
86,17,YOR352W
87,18,YDR443C
88,18,YGL127C
89,18,YBR193C
90,18,YBR253W
91,18,YLR071C
92,18,YMR112C
93,18,YOR174W
94,18,YPR168W
95,18,YGR104C
96,18,YHR041C
97,18,YHR058C
98,18,YDR308C
99,18,YER022W
100,18,YOL135C
101,18,YDL005C
102,18,YBL093C
103,18,YCR081W
104,18,YNL236W
105,18,YGL151W
106,18,YPR070W
107,18,YGL025C
108,18,YNR010W
109,18,YOL051W
110,19,YER148W
111,19,YOR207C
112,19,YDL150W
113,19,YDR362C
114,19,YGR047C
115,19,YGR246C
116,19,YKR025W
117,19,YNL039W
118,19,YNL151C
119,19,YNR003C
120,19,YOR116C
121,19,YPR190C
122,19,YGL112C
123,19,YAL001C
124,19,YBR123C
125,19,YBR198C
126,19,YCR042C
127,19,YDR145W
128,19,YDR167W
129,19,YDR397C
130,19,YML015C
131,19,YMR236W
132,19,YER159C
133,19,YMR005W
134,19,YPL011C
135,19,YML098W
136,19,YOR110W
137,19,YPL007C
138,19,YPR186C
139,19,YML114C
140,20,YER164W
141,21,YNL230C
142,21,YPL046C
143,21,YOL133W
144,21,YJL047C
145,21,YLR320W
146,21,YPR164W
147,21,YDR054C
148,21,YPR066W
149,21,YLR306W
150,22,YOR123C
151,23,YPL042C
152,23,YOL128C
153,24,YKL110C
154,24,YLR384C
155,24,YPL086C
156,24,YGR200C
157,24,YHR187W
158,24,YMR312W
159,24,YPL101W
160,25,YPR086W
161,25,YKL058W
162,26,YOR298C-A
163,26,YMR186W
164,26,YPL240C
165,26,YBR155W
166,26,YDR168W
167,26,YDR214W
168,26,YGR123C
169,26,YJR032W
170,26,YKL117W
171,26,YLR216C
172,26,YNL281W
173,26,YOR027W
174,26,YOR057W
175,27,YPL129W
176,27,YOR064C
177,27,YDL002C
178,27,YGL150C
179,27,YLR399C
180,27,YLR455W
181,27,YKL017C
182,28,YGL207W
183,28,YML069W
184,28,YBR089C-A
185,29,YKL005C
186,30,YJL006C
187,30,YML112W
188,30,YKL139W
189,31,YOL145C
190,31,YFR016C
191,32,YJR035W
192,32,YDR030C
193,32,YKL054C
194,33,YCR057C
195,33,YER082C
196,33,YJL109C
197,33,YLR129W
198,33,YLR222C
199,33,YLR409C
200,33,YMR229C
201,33,YNL132W
202,33,YBL004W
203,33,YBR247C
204,33,YCL031C
205,33,YCL059C
206,33,YDL148C
207,33,YDL213C
208,33,YDR324C
209,33,YDR449C
210,33,YGL019W
211,33,YGL171W
212,33,YGR081C
213,33,YGR090W
214,33,YGR128C
215,33,YHR148W
216,33,YHR169W
217,33,YHR196W
218,33,YIL035C
219,33,YJL069C
220,33,YJR002W
221,33,YKR060W
222,33,YLL011W
223,33,YLR003C
224,33,YLR186W
225,33,YOR145C
226,33,YNL308C
227,33,YOL010W
228,33,YOR039W
229,33,YMR093W
230,33,YPR112C
231,33,YPL126W
232,33,YOR061W
233,33,YOR078W
234,33,YPR144C
235,33,YMR128W
236,33,YML093W
237,33,YDL153C
238,33,YOR287C
239,33,YGR251W
240,33,YLR336C
241,33,YNL035C
242,34,YDR005C
243,34,YHR205W
244,34,YKL126W
245,35,YDR496C
246,35,YGR245C
247,35,YHR170W
248,35,YKR024C
249,35,YOR206W
250,35,YPL226W
251,35,YPL217C
252,35,YLR106C
253,35,YHR197W
254,35,YPL093W
255,35,YDR161W
256,35,YKL009W
257,35,YER006W
258,35,YGR103W
259,35,YER126C
260,35,YNR053C
261,35,YLR009W
262,35,YOR294W
263,35,YKR081C
264,35,YNL110C
265,35,YGL099W
266,35,YDR087C
267,35,YNL112W
268,35,YDL060W
269,35,YDR299W
270,35,YGR145W
271,35,YDR398W
272,35,YIL019W
273,35,YKL143W
274,35,YNL207W
275,35,YLR002C
276,35,YHR066W
277,35,YAL025C
278,35,YAL059W
279,35,YBL028C
280,35,YBR142W
281,35,YBR267W
282,35,YCL054W
283,35,YCR072C
284,35,YCR087C-A
285,35,YDL031W
286,35,YDL051W
287,35,YDL063C
288,35,YDR060W
289,35,YDR083W
290,35,YDR312W
291,35,YDR365C
292,35,YEL055C
293,35,YER002W
294,35,YER036C
295,35,YER127W
296,35,YFR001W
297,35,YGL029W
298,35,YGL078C
299,35,YGL111W
300,35,YGR159C
301,35,YGR187C
302,35,YGR280C
303,35,YHR052W
304,35,YHR065C
305,35,YLR276C
306,35,YHR085W
307,35,YNL061W
308,35,YHR088W
309,35,YLL008W
310,35,YLR051C
311,35,YJL122W
312,35,YLL034C
313,35,YIL091C
314,35,YLR221C
315,35,YOL041C
316,35,YOR119C
317,35,YPR143W
318,35,YNR038W
319,35,YLR074C
320,35,YNL227C
321,35,YLR196W
322,35,YOR004W
323,35,YJL033W
324,35,YMR131C
325,35,YIR012W
326,35,YKL082C
327,35,YKL021C
328,35,YPL043W
329,35,YOL080C
330,35,YIR026C
331,35,YOR056C
332,35,YLR449W
333,35,YDL167C
