,cluster,protein
0,0,Q0010
1,0,Q0143
2,0,Q0092
3,1,Q0017
4,1,Q0182
5,1,Q0297
6,1,Q0032
7,1,Q0142
8,2,YPL135W
9,2,YPL252C
10,2,YOR226C
11,3,YCL017C
12,4,YDL120W
13,5,YER048W-A
14,6,YGL018C
15,7,YJR122W
16,7,YPL059W
17,7,YPR067W
18,8,YKL040C
19,9,YLL027W
20,9,YOR196C
21,10,YLR369W
22,11,YMR301C
23,12,YOR232W
24,12,YNL328C
25,12,YFL016C
26,12,YNL310C
27,13,YAL044W-A
28,13,YAL046C
29,14,YGL043W
30,14,YBR279W
31,14,YDL140C
32,14,YDR079C-A
33,14,YDR404C
34,14,YGL070C
35,14,YPR133C
36,14,YPL122C
37,14,YGR116W
38,14,YLR418C
39,14,YGL244W
40,14,YML010W
41,14,YPR161C
42,14,YIL021W
43,14,YGR063C
44,14,YMR277W
45,14,YGR186W
46,14,YOR151C
47,14,YJL140W
48,14,YLR226W
49,14,YMR039C
50,14,YOR194C
51,14,YER139C
52,14,YKL160W
53,14,YGL130W
54,14,YPL228W
55,15,YBL022C
56,16,YBR154C
57,16,YDR045C
58,16,YOR210W
59,16,YNL113W
60,16,YOR224C
61,16,YHR143W-A
62,16,YPR187W
63,16,YOL005C
64,16,YJR063W
65,16,YJL011C
66,16,YKL144C
67,16,YPR110C
68,16,YDR156W
69,16,YJL148W
70,16,YLR243W
71,16,YFL023W
72,17,YDL108W
73,17,YPR025C
74,18,YDR311W
75,18,YER171W
76,18,YKL028W
77,18,YKR062W
78,18,YIL143C
79,18,YPR056W
80,18,YLR005W
81,18,YDR460W
82,18,YBR114W
83,18,YJR052W
84,18,YOR352W
85,19,YDR443C
86,19,YGL127C
87,19,YBR193C
88,19,YBR253W
89,19,YLR071C
90,19,YMR112C
91,19,YOR174W
92,19,YPR168W
93,19,YGR104C
94,19,YHR041C
95,19,YHR058C
96,19,YDR308C
97,19,YER022W
98,19,YOL135C
99,19,YDL005C
100,19,YBL093C
101,19,YCR081W
102,19,YNL236W
103,19,YGL151W
104,19,YPR070W
105,19,YGL025C
106,19,YNR010W
107,19,YOL051W
108,20,YER148W
109,20,YDL150W
110,20,YDR362C
111,20,YGR047C
112,20,YGR246C
113,20,YKR025W
114,20,YNL039W
115,20,YNL151C
116,20,YNR003C
117,20,YPR190C
118,20,YGL112C
119,20,YAL001C
120,20,YBR123C
121,20,YBR198C
122,20,YCR042C
123,20,YDR145W
124,20,YDR167W
125,20,YDR397C
126,20,YML015C
127,20,YMR236W
128,20,YER159C
129,20,YMR005W
130,20,YPL011C
131,20,YML098W
132,20,YOR110W
133,20,YPL007C
134,20,YPR186C
135,20,YML114C
136,21,YER164W
137,22,YNL230C
138,22,YPL046C
139,22,YOL133W
140,22,YJL047C
141,22,YLR320W
142,22,YPR164W
143,22,YDR054C
144,22,YPR066W
145,23,YOR123C
146,24,YPL042C
147,24,YOL128C
148,25,YKL110C
149,25,YLR384C
150,25,YPL086C
151,25,YGR200C
152,25,YHR187W
153,25,YMR312W
154,25,YPL101W
155,26,YPR086W
156,26,YKL058W
157,27,YOR298C-A
158,27,YMR186W
159,27,YPL240C
160,27,YBR155W
161,27,YDR168W
162,27,YDR214W
163,27,YGR123C
164,27,YJR032W
165,27,YKL117W
166,27,YLR216C
167,27,YNL281W
168,27,YOR057W
169,28,YPL129W
170,28,YDL002C
171,28,YGL150C
172,28,YLR399C
173,28,YLR455W
174,28,YKL017C
175,29,YGL207W
176,29,YML069W
177,29,YBR089C-A
178,30,YKL005C
179,31,YJL006C
180,31,YML112W
181,31,YKL139W
182,32,YOL145C
183,32,YFR016C
184,33,YJR035W
185,33,YDR030C
186,33,YKL054C
187,34,YGR005C
188,35,YOR207C
189,36,YCR057C
190,36,YER082C
191,36,YJL109C
192,36,YLR129W
193,36,YLR222C
194,36,YLR409C
195,36,YMR229C
196,36,YNL132W
197,36,YPL217C
198,36,YBL004W
199,36,YBR247C
200,36,YCL031C
201,36,YCL059C
202,36,YDL148C
203,36,YDL213C
204,36,YDR324C
205,36,YDR449C
206,36,YGL019W
207,36,YGL171W
208,36,YGR081C
209,36,YGR090W
210,36,YGR128C
211,36,YGR145W
212,36,YHR148W
213,36,YHR169W
214,36,YHR196W
215,36,YIL035C
216,36,YJL010C
217,36,YJL069C
218,36,YJR002W
219,36,YKR060W
220,36,YLL011W
221,36,YLR003C
222,36,YLR186W
223,36,YNL308C
224,36,YOL010W
225,36,YMR093W
226,36,YPR112C
227,36,YPL126W
228,36,YOR061W
229,36,YOR078W
230,36,YPR144C
231,36,YMR128W
232,36,YML093W
233,36,YDL153C
234,36,YIL091C
235,36,YOR287C
236,36,YGR251W
237,36,YLR336C
238,36,YNL035C
239,37,YDR005C
240,37,YHR205W
241,37,YKL126W
242,38,YDR496C
243,38,YHR170W
244,38,YKR024C
245,38,YOR206W
246,38,YPL226W
247,38,YLR106C
248,38,YHR197W
249,38,YDR161W
250,38,YER006W
251,38,YNR053C
252,38,YOR294W
253,38,YNL110C
254,38,YGL099W
255,38,YDR087C
256,38,YNL112W
257,38,YDR299W
258,38,YDR398W
259,38,YLR002C
260,38,YHR066W
261,38,YAL059W
262,38,YBL028C
263,38,YBR142W
264,38,YBR267W
265,38,YCL054W
266,38,YCR072C
267,38,YCR087C-A
268,38,YDL031W
269,38,YDL063C
270,38,YDR060W
271,38,YDR083W
272,38,YDR312W
273,38,YDR365C
274,38,YER002W
275,38,YER036C
276,38,YFR001W
277,38,YGL078C
278,38,YGL111W
279,38,YGR280C
280,38,YHR052W
281,38,YLR276C
282,38,YHR085W
283,38,YNL061W
284,38,YHR088W
285,38,YLL008W
286,38,YJL122W
287,38,YLL034C
288,38,YLR221C
289,38,YOL041C
290,38,YPR143W
291,38,YNR038W
292,38,YLR074C
293,38,YNL227C
294,38,YLR196W
295,38,YOR004W
296,38,YJL033W
297,38,YMR131C
298,38,YIR012W
299,38,YKL082C
300,38,YKL021C
301,38,YOL080C
302,38,YIR026C
303,38,YLR449W
304,38,YDL167C
305,38,YKR092C
306,38,YLR435W
307,38,YNL175C
308,38,YKR056W
309,38,YDR184C
310,38,YOL144W
311,38,YJR091C
312,38,YGL014W
313,39,YGR245C
314,39,YMR049C
315,39,YPL012W
316,39,YMR290C
317,39,YNL224C
318,39,YEL055C
319,39,YGR159C
320,39,YKL014C
321,39,YLR401C
322,40,YJL050W
323,41,YNL248C
324,41,YOR341W
325,41,YPR010C
326,41,YOR340C
327,41,YPL263C
328,42,YOR116C
329,43,YPL207W
330,43,YHR070W
331,43,YGL050W
332,43,YOL141W
333,44,YDR020C
