,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,Q0092
3,0,Q0297
4,0,Q0010
5,0,Q0143
6,0,Q0032
7,0,Q0142
8,1,YOR196C
9,1,YER048W-A
10,1,YOR226C
11,1,YJR122W
12,1,YPL252C
13,1,YPR067W
14,1,YLR369W
15,1,YPL059W
16,1,YPL135W
17,1,YKL040C
18,1,YMR301C
19,1,YCL017C
20,1,YLL027W
21,1,YDL120W
22,1,YGL018C
23,2,YFL016C
24,2,YJR045C
25,2,YNL328C
26,2,YNL310C
27,2,YEL030W
28,2,YOR232W
29,3,YLL029W
30,3,YGL220W
31,3,YAL046C
32,3,YDR098C
33,3,YAL044W-A
34,3,YPL202C
35,3,YER174C
36,4,YOR151C
37,4,YKR062W
38,4,YKL160W
39,4,YDR308C
40,4,YOR174W
41,4,YPR187W
42,4,YOR210W
43,4,YFR016C
44,4,YER022W
45,4,YER171W
46,4,YGR005C
47,4,YMR112C
48,4,YJL140W
49,4,YDR289C
50,4,YKL028W
51,4,YGL025C
52,4,YLR243W
53,4,YMR039C
54,4,YBR279W
55,4,YHR143W-A
56,4,YOR224C
57,4,YBR114W
58,4,YJR052W
59,4,YOR194C
60,4,YOR352W
61,4,YGL151W
62,4,YER139C
63,4,YPR168W
64,4,YBR154C
65,4,YJR017C
66,4,YPL228W
67,4,YOL005C
68,4,YOR123C
69,4,YLR005W
70,4,YCR081W
71,4,YPL122C
72,4,YJR063W
73,4,YNR010W
74,4,YDR156W
75,4,YGR186W
76,4,YGR063C
77,4,YLR071C
78,4,YLR226W
79,4,YGL130W
80,4,YJL148W
81,4,YJL006C
82,4,YLR418C
83,4,YDR311W
84,4,YMR277W
85,4,YGL244W
86,4,YML010W
87,4,YHR041C
88,4,YKL058W
89,4,YDR443C
90,4,YOL145C
91,4,YKL005C
92,4,YBR253W
93,4,YKL139W
94,4,YPR025C
95,4,YER161C
96,4,YGR104C
97,4,YPR133C
98,4,YIL143C
99,4,YOL051W
100,4,YML112W
101,4,YOL135C
102,4,YHR058C
103,4,YDL115C
104,4,YBL093C
105,4,YPR056W
106,4,YPL042C
107,4,YDR079C-A
108,4,YBR236C
109,4,YPR070W
110,4,YGL043W
111,4,YDL140C
112,4,YBR193C
113,4,YDR460W
114,4,YGR116W
115,4,YNL236W
116,4,YGL070C
117,4,YGL127C
118,4,YIL021W
119,4,YNL025C
120,4,YDL005C
121,4,YPR086W
122,4,YDR404C
123,4,YDL108W
124,4,YPR161C
125,5,YBL022C
126,6,YDR397C
127,6,YOL148C
128,6,YNL039W
129,6,YNL151C
130,6,YJL011C
131,6,YML098W
132,6,YDR145W
133,6,YKR025W
134,6,YER159C
135,6,YPR190C
136,6,YBR123C
137,6,YDR167W
138,6,YPL011C
139,6,YML114C
140,6,YDL070W
141,6,YCR042C
142,6,YKL144C
143,6,YDR045C
144,6,YER148W
145,6,YGR246C
146,6,YNL113W
147,6,YDR362C
148,6,YDL150W
149,6,YAL001C
150,6,YNR003C
151,6,YMR227C
152,6,YDR392W
153,6,YBR198C
154,6,YMR236W
155,6,YOR110W
156,6,YPL007C
157,6,YKL125W
158,6,YOR207C
159,6,YOR116C
160,6,YGL112C
161,6,YPL047W
162,6,YPL082C
163,6,YML015C
164,6,YPR110C
165,6,YGR047C
166,6,YGR274C
167,6,YPR186C
168,6,YMR005W
169,7,YPL254W
170,7,YDR448W
171,7,YLR055C
172,7,YBR111W-A
173,7,YHR099W
174,7,YBR081C
175,7,YGL066W
176,7,YMR223W
177,7,YDR176W
178,7,YCL010C
179,7,YER164W
180,7,YCR082W
181,7,YGR252W
182,8,YJR033C
183,8,YPL003W
184,8,YDR054C
185,8,YJR090C
186,8,YOL133W
187,8,YLR306W
188,8,YBR280C
189,8,YLR320W
190,8,YDR202C
191,8,YLR352W
192,8,YIL046W
193,8,YLR097C
194,8,YOL025W
195,8,YGR003W
196,8,YLR128W
197,8,YDR139C
198,8,YDL132W
199,8,YMR258C
200,8,YPR066W
201,8,YJL047C
202,8,YOR080W
203,8,YER066W
204,8,YNL230C
205,8,YIL001W
206,8,YDR306C
207,8,YER143W
208,8,YLR368W
209,8,YNL311C
210,8,YPL046C
211,8,YDR328C
212,8,YJL149W
213,8,YGR140W
214,8,YPR164W
215,8,YFL009W
216,8,YML088W
217,8,YMR094W
218,8,YMR168C
219,9,YHR111W
220,9,YNR046W
221,9,YIL008W
222,9,YMR312W
223,9,YPL086C
224,9,YLR384C
225,9,YHR187W
226,9,YML014W
227,9,YNL119W
228,9,YKL110C
229,9,YGR200C
230,9,YPL101W
231,9,YGL211W
232,10,YBR044C
233,10,YLL026W
234,10,YDL229W
235,10,YJR032W
236,10,YOR020C
237,10,YBR101C
238,10,YMR186W
239,10,YOR298C-A
240,10,YLR216C
241,10,YOR057W
242,10,YPL240C
243,10,YNL064C
244,10,YKL117W
245,10,YNL077W
246,10,YDR214W
247,10,YNL007C
248,10,YNL281W
249,10,YDR258C
250,10,YGR123C
251,10,YGR285C
252,10,YBR155W
253,10,YDR168W
254,10,YGR268C
255,10,YOR027W
256,11,YLR455W
257,11,YPR031W
258,11,YPL129W
259,11,YOR064C
260,11,YKL017C
261,12,YDR440W
262,12,YGR270W
263,12,YJL168C
264,12,YLL002W
265,12,YOL012C
266,12,YGL131C
267,12,YBR009C
268,12,YBL003C
269,12,YBR010W
270,12,YER169W
271,12,YBR195C
272,12,YML102W
273,12,YOL054W
274,12,YOR038C
275,12,YBR089C-A
276,12,YPR018W
277,12,YBL052C
278,12,YHR119W
279,12,YDR225W
280,12,YNL206C
281,12,YNL246W
282,12,YNL030W
283,12,YLL022C
284,12,YEL056W
285,12,YDR469W
286,12,YMR176W
287,12,YAR003W
288,12,YJR119C
289,12,YPL001W
290,12,YBR175W
291,12,YDR224C
292,12,YPR052C
293,12,YJL115W
294,12,YDR096W
295,12,YPL138C
296,12,YER051W
297,12,YBR258C
298,12,YML069W
299,12,YPL127C
300,12,YBR215W
301,12,YNL031C
302,12,YDL139C
303,12,YGL060W
304,12,YJR140C
305,12,YBL008W
306,12,YLR015W
307,12,YBL002W
308,12,YGL207W
309,13,YJR035W
310,13,YDR030C
311,13,YKL054C
312,14,YNL248C
313,14,YIL019W
314,14,YDR365C
315,14,YIL091C
316,14,YGL120C
317,14,YGL171W
318,14,YDR412W
319,14,YLR222C
320,14,YOL010W
321,14,YOR145C
322,14,YGL111W
323,14,YBR142W
324,14,YKL172W
325,14,YMR014W
326,14,YLR409C
327,14,YJL069C
328,14,YDR299W
329,14,YMR239C
330,14,YIR012W
331,14,YJR091C
332,14,YJL010C
333,14,YLR129W
334,14,YPR137W
335,14,YHR065C
336,14,YOR272W
337,14,YOL080C
338,14,YHR197W
339,14,YGR251W
340,14,YLL008W
341,14,YKL099C
342,14,YBL004W
343,14,YOR046C
344,14,YHR085W
345,14,YNL132W
346,14,YDL063C
347,14,YER127W
348,14,YOR119C
349,14,YLR175W
350,14,YDL167C
351,14,YLR196W
352,14,YNR038W
353,14,YNL124W
354,14,YIL127C
355,14,YMR290C
356,14,YPL126W
357,14,YHR052W
358,14,YKL078W
359,14,YDR361C
360,14,YCR057C
361,14,YMR093W
362,14,YPL263C
363,14,YCL031C
364,14,YFR001W
365,14,YMR128W
366,14,YER082C
367,14,YLR401C
368,14,YNL075W
369,14,YDR339C
370,14,YPL012W
371,14,YER036C
372,14,YLL011W
373,14,YDR161W
374,14,YNL227C
375,14,YDL060W
376,14,YKL014C
377,14,YNL112W
378,14,YOR287C
379,14,YGL029W
380,14,YBR034C
381,14,YER006W
382,14,YDR324C
383,14,YFL002C
384,14,YDR496C
385,14,YDL148C
386,14,YLR009W
387,14,YNR053C
388,14,YOL041C
389,14,YIL035C
390,14,YHR148W
391,14,YDL213C
392,14,YKL143W
393,14,YNL062C
394,14,YDR083W
395,14,YPL211W
396,14,YER126C
397,14,YCR016W
398,14,YNR054C
399,14,YPR204W
400,14,YMR229C
401,14,YPL146C
402,14,YDR312W
403,14,YPL266W
404,14,YPL239W
405,14,YPL226W
406,14,YNL308C
407,14,YJL033W
408,14,YDR087C
409,14,YJR002W
410,14,YLR068W
411,14,YMR049C
412,14,YOR206W
413,14,YCR087C-A
414,14,YDR449C
415,14,YKR060W
416,14,YNL110C
417,14,YGR128C
418,14,YOR056C
419,14,YGL014W
420,14,YLR276C
421,14,YDR398W
422,14,YGR245C
423,14,YOR294W
424,14,YPL043W
425,14,YHR169W
426,14,YKR024C
427,14,YHR170W
428,14,YGR081C
429,14,YHR066W
430,14,YGL019W
431,14,YNL207W
432,14,YOR039W
433,14,YNL182C
434,14,YDL051W
435,14,YGR090W
436,14,YOR061W
437,14,YAL025C
438,14,YOR310C
439,14,YGR271C-A
440,14,YHR088W
441,14,YLR003C
442,14,YER156C
443,14,YDL153C
444,14,YBR247C
445,14,YGR280C
446,14,YHR089C
447,14,YAL059W
448,14,YOR340C
449,14,YBR267W
450,14,YLL034C
451,14,YBL028C
452,14,YPL217C
453,14,YLR106C
454,14,YKR081C
455,14,YKL009W
456,14,YLR435W
457,14,YLR186W
458,14,YOR078W
459,14,YNL175C
460,14,YGR103W
461,14,YER002W
462,14,YOL144W
463,14,YJL122W
464,14,YHR196W
465,14,YLR336C
466,14,YNL163C
467,14,YPR010C
468,14,YLR022C
469,14,YDL014W
470,14,YGR145W
471,14,YIR026C
472,14,YGL099W
473,14,YOR004W
474,14,YKL021C
475,14,YLR197W
476,14,YEL055C
477,14,YLR221C
478,14,YDR174W
479,14,YKR056W
480,14,YDR101C
481,14,YBL024W
482,14,YGR187C
483,14,YNL224C
484,14,YMR131C
485,14,YKL082C
486,14,YLR074C
487,14,YDR194C
488,14,YMR269W
489,14,YJL109C
