,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,Q0092
3,0,Q0297
4,0,Q0010
5,0,Q0143
6,0,Q0032
7,0,Q0142
8,1,YOR196C
9,1,YER048W-A
10,1,YOR226C
11,1,YJR122W
12,1,YPL252C
13,1,YPR067W
14,1,YLR369W
15,1,YPL059W
16,1,YPL135W
17,1,YKL040C
18,1,YMR301C
19,1,YCL017C
20,1,YLL027W
21,1,YDL120W
22,1,YGL018C
23,2,YHR024C
24,2,YFL016C
25,2,YJR045C
26,2,YNL328C
27,2,YNL310C
28,2,YEL030W
29,2,YOR232W
30,3,YLL029W
31,3,YGL220W
32,3,YAL046C
33,3,YDR098C
34,3,YAL044W-A
35,3,YPL202C
36,3,YER174C
37,4,YGR063C
38,4,YOR151C
39,4,YKR062W
40,4,YMR039C
41,4,YBR279W
42,4,YPR133C
43,4,YIL143C
44,4,YLR226W
45,4,YHR143W-A
46,4,YKL160W
47,4,YLR243W
48,4,YML112W
49,4,YGL130W
50,4,YOR224C
51,4,YDL115C
52,4,YPR056W
53,4,YJR072C
54,4,YPL042C
55,4,YJL148W
56,4,YPR187W
57,4,YOR194C
58,4,YOR352W
59,4,YDR079C-A
60,4,YER139C
61,4,YBR236C
62,4,YJL006C
63,4,YGL043W
64,4,YBR154C
65,4,YDL140C
66,4,YLR418C
67,4,YJR017C
68,4,YDR311W
69,4,YMR277W
70,4,YOR210W
71,4,YDR460W
72,4,YPL228W
73,4,YGR116W
74,4,YFR016C
75,4,YGL070C
76,4,YGL244W
77,4,YER022W
78,4,YER171W
79,4,YIL021W
80,4,YOR123C
81,4,YOL005C
82,4,YGR005C
83,4,YLR005W
84,4,YMR112C
85,4,YML010W
86,4,YPL122C
87,4,YJL140W
88,4,YKL058W
89,4,YPR086W
90,4,YDR289C
91,4,YDR404C
92,4,YDR156W
93,4,YDL108W
94,4,YKL028W
95,4,YOL145C
96,4,YPR161C
97,4,YKL005C
98,4,YKL139W
99,4,YPR025C
100,4,YGR186W
101,5,YBL022C
102,6,YDR397C
103,6,YNL039W
104,6,YNL151C
105,6,YJL011C
106,6,YML098W
107,6,YDR145W
108,6,YKR025W
109,6,YER159C
110,6,YPR190C
111,6,YBR123C
112,6,YDR167W
113,6,YPL011C
114,6,YML114C
115,6,YDL070W
116,6,YCR042C
117,6,YKL144C
118,6,YDR045C
119,6,YER148W
120,6,YGR246C
121,6,YNL113W
122,6,YDR362C
123,6,YDL150W
124,6,YAL001C
125,6,YNR003C
126,6,YMR227C
127,6,YBR198C
128,6,YMR236W
129,6,YOR110W
130,6,YPL007C
131,6,YKL125W
132,6,YOR207C
133,6,YOR116C
134,6,YJR063W
135,6,YGL112C
136,6,YPL082C
137,6,YML015C
138,6,YPR110C
139,6,YGR047C
140,6,YGR274C
141,6,YPR186C
142,6,YMR005W
143,7,YLR071C
144,7,YOL051W
145,7,YOL135C
146,7,YDR308C
147,7,YHR058C
148,7,YBL093C
149,7,YOR174W
150,7,YGL151W
151,7,YPR168W
152,7,YPR070W
153,7,YBR193C
154,7,YNL236W
155,7,YGL127C
156,7,YNL025C
157,7,YCR081W
158,7,YHR041C
159,7,YDL005C
160,7,YDR443C
161,7,YNR010W
162,7,YBR253W
163,7,YGL025C
164,7,YGR104C
165,8,YPL254W
166,8,YOL148C
167,8,YOR023C
168,8,YDR448W
169,8,YPL047W
170,8,YLR055C
171,8,YBR111W-A
172,8,YHR099W
173,8,YBR081C
174,8,YGL066W
175,8,YMR223W
176,8,YDR176W
177,8,YDR392W
178,8,YER164W
179,8,YCL010C
180,8,YCR082W
181,8,YGR252W
182,9,YJR033C
183,9,YPL003W
184,9,YDR054C
185,9,YJR090C
186,9,YOL133W
187,9,YLR306W
188,9,YLR320W
189,9,YDR202C
190,9,YLR352W
191,9,YOL025W
192,9,YLR128W
193,9,YDR139C
194,9,YDL132W
195,9,YMR258C
196,9,YPR066W
197,9,YJL047C
198,9,YOR080W
199,9,YER066W
200,9,YNL230C
201,9,YER143W
202,9,YLR368W
203,9,YNL311C
204,9,YPL046C
205,9,YDR328C
206,9,YJL149W
207,9,YPR164W
208,9,YML088W
209,9,YMR094W
210,9,YMR168C
211,10,YHR111W
212,10,YIL008W
213,10,YMR312W
214,10,YPL086C
215,10,YLR384C
216,10,YHR187W
217,10,YML014W
218,10,YNL119W
219,10,YKL110C
220,10,YGR200C
221,10,YPL101W
222,10,YGL211W
223,11,YMR186W
224,11,YGR123C
225,11,YOR298C-A
226,11,YGR285C
227,11,YDL229W
228,11,YBR155W
229,11,YJR032W
230,11,YDR168W
231,11,YDR214W
232,11,YLR216C
233,11,YOR057W
234,11,YPL240C
235,11,YNL281W
236,11,YKL117W
237,11,YOR027W
238,12,YLR455W
239,12,YPR031W
240,12,YPL129W
241,12,YOR064C
242,12,YKL017C
243,13,YBR089C-A
244,13,YML069W
245,13,YGL207W
246,14,YJR035W
247,14,YDR030C
248,14,YKL054C
249,15,YNL248C
250,15,YIL019W
251,15,YDR365C
252,15,YIL091C
253,15,YGL120C
254,15,YGL171W
255,15,YDR412W
256,15,YLR222C
257,15,YOL010W
258,15,YOR145C
259,15,YGL111W
260,15,YBR142W
261,15,YKL172W
262,15,YMR014W
263,15,YLR409C
264,15,YJL069C
265,15,YDR299W
266,15,YMR239C
267,15,YIR012W
268,15,YJR091C
269,15,YJL010C
270,15,YLR129W
271,15,YPR137W
272,15,YHR065C
273,15,YOR272W
274,15,YOL080C
275,15,YHR197W
276,15,YGR251W
277,15,YLL008W
278,15,YKL099C
279,15,YBL004W
280,15,YOR046C
281,15,YHR085W
282,15,YNL132W
283,15,YDL063C
284,15,YER127W
285,15,YOR119C
286,15,YLR175W
287,15,YDL167C
288,15,YLR196W
289,15,YNR038W
290,15,YNL124W
291,15,YIL127C
292,15,YMR290C
293,15,YPL126W
294,15,YHR052W
295,15,YKL078W
296,15,YDR361C
297,15,YCR057C
298,15,YMR093W
299,15,YPL263C
300,15,YCL031C
301,15,YEL026W
302,15,YFR001W
303,15,YMR128W
304,15,YER082C
305,15,YLR401C
306,15,YNL075W
307,15,YDR339C
308,15,YPL012W
309,15,YER036C
310,15,YLL011W
311,15,YDR161W
312,15,YNL227C
313,15,YDL060W
314,15,YKL014C
315,15,YNL112W
316,15,YOR287C
317,15,YGL029W
318,15,YBR034C
319,15,YER006W
320,15,YDR324C
321,15,YFL002C
322,15,YDR496C
323,15,YDL148C
324,15,YLR009W
325,15,YNR053C
326,15,YOL041C
327,15,YIL035C
328,15,YHR148W
329,15,YDL213C
330,15,YKL143W
331,15,YNL062C
332,15,YDR083W
333,15,YPL211W
334,15,YER126C
335,15,YNR054C
336,15,YPR204W
337,15,YMR229C
338,15,YPL146C
339,15,YDR312W
340,15,YPL266W
341,15,YPL239W
342,15,YPL226W
343,15,YNL308C
344,15,YJL033W
345,15,YDR087C
346,15,YJR002W
347,15,YLR068W
348,15,YMR049C
349,15,YOR206W
350,15,YCR087C-A
351,15,YDR449C
352,15,YKR060W
353,15,YNL110C
354,15,YGR128C
355,15,YOR056C
356,15,YGL014W
357,15,YLR276C
358,15,YDR398W
359,15,YGR245C
360,15,YOR294W
361,15,YPL043W
362,15,YHR169W
363,15,YKR024C
364,15,YHR170W
365,15,YGR081C
366,15,YHR066W
367,15,YGL019W
368,15,YNL207W
369,15,YOR039W
370,15,YNL182C
371,15,YDL051W
372,15,YGR090W
373,15,YOR061W
374,15,YAL025C
375,15,YOR310C
376,15,YGR271C-A
377,15,YHR088W
378,15,YLR003C
379,15,YER156C
380,15,YDL153C
381,15,YML074C
382,15,YBR247C
383,15,YGR280C
384,15,YHR089C
385,15,YAL059W
386,15,YOR340C
387,15,YBR267W
388,15,YLL034C
389,15,YBL028C
390,15,YPL217C
391,15,YLR106C
392,15,YKR081C
393,15,YKL009W
394,15,YLR435W
395,15,YLR186W
396,15,YOR078W
397,15,YNL175C
398,15,YGR103W
399,15,YER002W
400,15,YOL144W
401,15,YJL122W
402,15,YHR196W
403,15,YLR336C
404,15,YNL163C
405,15,YPR010C
406,15,YLR022C
407,15,YDL014W
408,15,YGR145W
409,15,YIR026C
410,15,YGL099W
411,15,YOR004W
412,15,YKL021C
413,15,YLR197W
414,15,YEL055C
415,15,YLR221C
416,15,YDR174W
417,15,YKR056W
418,15,YDR101C
419,15,YGR187C
420,15,YNL224C
421,15,YMR131C
422,15,YKL082C
423,15,YLR074C
424,15,YDR194C
425,15,YMR269W
426,15,YJL109C
427,15,YCL054W
428,15,YPR112C
429,15,YGL078C
430,15,YNL061W
431,15,YCL059C
432,15,YOL077C
433,15,YML093W
434,15,YLR449W
435,15,YJR041C
436,15,YBR192W
437,15,YKR092C
438,15,YDR184C
439,15,YPL093W
440,15,YNL035C
441,15,YOR309C
442,15,YLR051C
443,15,YGR159C
444,15,YDL031W
445,15,YOR341W
446,15,YPR143W
447,15,YPR144C
448,15,YCR072C
449,15,YDL208W
450,15,YDR060W
451,15,YLR002C
452,16,YKL126W
453,16,YHR205W
454,16,YDR005C
455,17,YGL213C
456,17,YGR095C
457,17,YNR024W
458,17,YGR158C
459,17,YNL251C
460,17,YHR069C
461,17,YOL021C
462,17,YLR430W
463,17,YGR195W
464,17,YMR287C
465,17,YPR189W
466,17,YDR374C
467,17,YNL299W
468,17,YDR280W
469,17,YDR293C
470,17,YPL190C
471,17,YDL111C
472,17,YCR035C
473,17,YIL079C
474,17,YNL232W
475,17,YDL175C
476,17,YOR076C
477,17,YJL050W
478,17,YOR001W
479,17,YOL115W
480,17,YOL142W
481,17,YHR081W
482,17,YLR398C
483,18,YGL050W
484,18,YPL207W
485,18,YOL141W
486,18,YML005W
487,18,YHR070W
488,19,YMR271C
489,19,YNR012W
