,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,Q0092
3,0,Q0297
4,0,Q0010
5,0,Q0143
6,0,Q0032
7,0,Q0142
8,1,YJR122W
9,1,YPL135W
10,1,YMR301C
11,1,YLL027W
12,1,YPL202C
13,1,YGL018C
14,1,YPL252C
15,1,YLR369W
16,1,YKL040C
17,1,YER174C
18,1,YDL120W
19,1,YLL029W
20,1,YER048W-A
21,1,YCL017C
22,1,YOR196C
23,1,YOR226C
24,1,YPR067W
25,1,YGL220W
26,1,YAL046C
27,1,YDR098C
28,1,YAL044W-A
29,1,YPL059W
30,2,YBR091C
31,2,YOR045W
32,2,YLR348C
33,2,YNL070W
34,2,YJR045C
35,2,YNL328C
36,2,YOL026C
37,2,YNR017W
38,2,YAL010C
39,2,YMR244C-A
40,2,YEL020W-A
41,2,YGR082W
42,2,YLR259C
43,2,YPR133W-A
44,2,YLL018C-A
45,2,YBR262C
46,2,YCL057C-A
47,2,YLR008C
48,2,YPL063W
49,2,YJR135W-A
50,2,YNL055C
51,2,YDR375C
52,2,YKR065C
53,2,YNR020C
54,2,YJL104W
55,2,YJR034W
56,2,YGR181W
57,2,YLR168C
58,2,YNL100W
59,2,YKL053C-A
60,2,YMR038C
61,2,YNL131W
62,2,YHR005C-A
63,2,YOL009C
64,2,YKL137W
65,2,YJL143W
66,2,YGR033C
67,2,YDR031W
68,2,YMR060C
69,2,YIL022W
70,2,YMR203W
71,2,YKL195W
72,2,YKL084W
73,2,YOR297C
74,2,YJL054W
75,2,YBL059C-A
76,2,YLR218C
77,2,YHR083W
78,2,YDR185C
79,2,YGR235C
80,2,YOR232W
81,2,YMR002W
82,2,YHR024C
83,2,YGL219C
84,2,YKR016W
85,2,YPL098C
86,2,YFR011C
87,2,YLL006W
88,2,YDL217C
89,2,YLL009C
90,2,YGR029W
91,2,YNL310C
92,2,YML054C
93,2,YMR056C
94,2,YHR194W
95,2,YNL121C
96,2,YNL026W
97,3,YOR151C
98,3,YKR062W
99,3,YNL039W
100,3,YKL160W
101,3,YNL151C
102,3,YDR308C
103,3,YJL011C
104,3,YDR145W
105,3,YKR025W
106,3,YOR174W
107,3,YPR187W
108,3,YML114C
109,3,YDR045C
110,3,YGR246C
111,3,YOR210W
112,3,YDR362C
113,3,YFR016C
114,3,YAL001C
115,3,YER022W
116,3,YER171W
117,3,YGR005C
118,3,YPL007C
119,3,YMR112C
120,3,YJL140W
121,3,YDR289C
122,3,YKL028W
123,3,YGL025C
124,3,YLR243W
125,3,YMR039C
126,3,YDR397C
127,3,YBR279W
128,3,YHR143W-A
129,3,YOR224C
130,3,YBR114W
131,3,YJR052W
132,3,YOR194C
133,3,YDR167W
134,3,YOR352W
135,3,YGL151W
136,3,YER139C
137,3,YER148W
138,3,YPR168W
139,3,YBR154C
140,3,YJR017C
141,3,YNL113W
142,3,YPL228W
143,3,YMR227C
144,3,YOL005C
145,3,YOR123C
146,3,YLR005W
147,3,YCR081W
148,3,YPL122C
149,3,YJR063W
150,3,YNR010W
151,3,YDR156W
152,3,YGR186W
153,3,YGR063C
154,3,YLR071C
155,3,YLR226W
156,3,YGL130W
157,3,YML098W
158,3,YER159C
159,3,YJL148W
160,3,YBR123C
161,3,YPL011C
162,3,YDL070W
163,3,YCR042C
164,3,YKL144C
165,3,YJL006C
166,3,YLR418C
167,3,YDR311W
168,3,YMR277W
169,3,YGL244W
170,3,YDR392W
171,3,YOR110W
172,3,YOR207C
173,3,YML010W
174,3,YHR041C
175,3,YKL058W
176,3,YDR443C
177,3,YGR208W
178,3,YPL082C
179,3,YOL145C
180,3,YKL005C
181,3,YBR253W
182,3,YKL139W
183,3,YPR025C
184,3,YER161C
185,3,YGR274C
186,3,YPR186C
187,3,YGR104C
188,3,YPR133C
189,3,YIL143C
190,3,YOL051W
191,3,YOL135C
192,3,YHR058C
193,3,YDL115C
194,3,YBL093C
195,3,YPR056W
196,3,YPR190C
197,3,YPL042C
198,3,YDR079C-A
199,3,YBR236C
200,3,YPR070W
201,3,YGL043W
202,3,YDL140C
203,3,YBR193C
204,3,YDR460W
205,3,YGR116W
206,3,YDL150W
207,3,YNL236W
208,3,YGL070C
209,3,YNR003C
210,3,YGL127C
211,3,YIL021W
212,3,YBR198C
213,3,YMR236W
214,3,YNL025C
215,3,YOR116C
216,3,YGL112C
217,3,YDL005C
218,3,YPR086W
219,3,YML015C
220,3,YDR404C
221,3,YDL108W
222,3,YPR161C
223,3,YPR110C
224,3,YGR047C
225,3,YMR005W
226,4,YIL070C
227,4,YPL159C
228,4,YNL295W
229,4,YBL022C
230,5,YFL024C
231,5,YML041C
232,5,YLR399C
233,5,YPL235W
234,5,YNL094W
235,5,YHR161C
236,5,YPR085C
237,5,YJR082C
238,5,YIR006C
239,5,YGR002C
240,5,YGR099W
241,5,YNL107W
242,5,YGL066W
243,5,YLR206W
244,5,YBR108W
245,5,YDL002C
246,5,YLR385C
247,5,YNL215W
248,5,YPR171W
249,5,YFL013C
250,5,YKL013C
251,5,YIL104C
252,5,YOR244W
253,5,YLL050C
254,5,YBR038W
255,5,YIL034C
256,5,YNL020C
257,5,YER060W-A
258,5,YJR065C
259,5,YOR023C
260,5,YNL152W
261,5,YER092W
262,5,YKL129C
263,5,YGR241C
264,5,YDR176W
265,5,YDR348C
266,5,YDR063W
267,5,YDR320C
268,5,YDR359C
269,5,YNL243W
270,5,YDR388W
271,5,YOR213C
272,5,YHR099W
273,5,YHR034C
274,5,YLR052W
275,5,YPL242C
276,5,YLR370C
277,5,YDR448W
278,5,YOR189W
279,5,YOR239W
280,5,YMR032W
281,5,YOR181W
282,5,YOR367W
283,5,YBR081C
284,5,YPR154W
285,5,YPL129W
286,5,YAL011W
287,5,YMR192W
288,5,YNL138W
289,5,YMR223W
290,5,YFL039C
291,5,YCL010C
292,5,YNL079C
293,5,YMR092C
294,5,YDL146W
295,5,YNR035C
296,5,YDL029W
297,5,YNL084C
298,5,YKR001C
299,5,YKR090W
300,5,YIL159W
301,5,YPR031W
302,5,YIL138C
303,5,YOR141C
304,5,YKL033W
305,5,YGL150C
306,5,YPR023C
307,5,YDL161W
308,5,YCR082W
309,5,YJR136C
310,5,YMR127C
311,5,YIL062C
312,5,YIL095W
313,5,YKL017C
314,5,YLR144C
315,5,YLR055C
316,5,YGL106W
317,5,YHR016C
318,5,YHR040W
319,5,YOR064C
320,5,YCR088W
321,5,YPL047W
322,5,YLR455W
323,5,YJL020C
324,5,YGR252W
325,5,YOL148C
326,5,YHR114W
327,5,YHR023W
328,5,YEL018W
329,5,YER164W
330,5,YCR060W
331,5,YKL007W
332,5,YNL059C
333,5,YDR129C
334,5,YEL044W
335,5,YNL136W
336,5,YCR030C
337,5,YER060W
338,5,YCR009C
339,5,YOR122C
340,5,YBL052C
341,5,YLR337C
342,5,YJL081C
343,5,YGR136W
344,5,YDL117W
345,5,YPL254W
346,5,YBR111W-A
347,5,YDR181C
348,5,YHR090C
349,5,YGR080W
350,5,YDR334W
351,5,YBL007C
352,5,YDR190C
353,5,YDR485C
354,5,YLR085C
355,5,YBL047C
356,5,YBR231C
357,5,YOR035C
358,5,YPL193W
359,5,YMR109W
360,5,YBR234C
361,5,YLR429W
362,6,YJR033C
363,6,YPL003W
364,6,YMR119W
365,6,YOL117W
366,6,YDR054C
367,6,YJR090C
368,6,YOL133W
369,6,YLR306W
370,6,YBR280C
371,6,YLR320W
372,6,YIL071C
373,6,YDR202C
374,6,YNL008C
375,6,YER116C
376,6,YLR352W
377,6,YIL046W
378,6,YMR025W
379,6,YLR097C
380,6,YOL025W
381,6,YGR003W
382,6,YLR128W
383,6,YDR139C
384,6,YDL132W
385,6,YMR258C
386,6,YPR066W
387,6,YEL012W
388,6,YJL047C
389,6,YOR080W
390,6,YER066W
391,6,YNL230C
392,6,YIL001W
393,6,YDR306C
394,6,YER143W
395,6,YLR368W
396,6,YDR179C
397,6,YNL311C
398,6,YPL046C
399,6,YDR328C
400,6,YJL149W
401,6,YDL013W
402,6,YNL159C
403,6,YGR140W
404,6,YKL210W
405,6,YPR164W
406,6,YFL009W
407,6,YML088W
408,6,YDL216C
409,6,YMR094W
410,6,YMR168C
411,7,YHR111W
412,7,YNR046W
413,7,YIL008W
414,7,YMR312W
415,7,YPL086C
416,7,YLR384C
417,7,YHR187W
418,7,YML014W
419,7,YNL119W
420,7,YKL110C
421,7,YGR200C
422,7,YPL101W
423,7,YGL211W
424,8,YBR044C
425,8,YLL026W
426,8,YBL075C
427,8,YDL229W
428,8,YJR032W
429,8,YOR020C
430,8,YER103W
431,8,YBR101C
432,8,YMR186W
433,8,YIL016W
434,8,YJL144W
435,8,YOR298C-A
436,8,YLR090W
437,8,YLR216C
438,8,YOR057W
439,8,YPL240C
440,8,YNL064C
441,8,YKL117W
442,8,YLL024C
443,8,YNL077W
444,8,YFL016C
445,8,YDR214W
446,8,YNL007C
447,8,YNL281W
448,8,YPR158W
449,8,YDR258C
450,8,YOR027W
451,8,YPL106C
452,8,YGR123C
453,8,YGR285C
454,8,YBR155W
455,8,YDR168W
456,8,YGR142W
457,8,YGR268C
458,8,YBR169C
459,9,YDR440W
460,9,YGR270W
461,9,YJL168C
462,9,YLL002W
463,9,YOL012C
464,9,YGL131C
465,9,YBR009C
466,9,YBL003C
467,9,YBR010W
468,9,YER169W
469,9,YBR195C
470,9,YDL074C
471,9,YML102W
472,9,YOL054W
473,9,YOR038C
474,9,YPR018W
475,9,YBR089C-A
476,9,YHR119W
477,9,YDR225W
478,9,YNL206C
479,9,YNL246W
480,9,YNL030W
481,9,YLL022C
482,9,YEL056W
483,9,YDR469W
484,9,YMR176W
485,9,YAR003W
486,9,YJR119C
487,9,YPL001W
