,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,Q0092
3,0,Q0297
4,0,Q0010
5,0,Q0143
6,0,Q0032
7,0,Q0142
8,1,YPL252C
9,1,YOR226C
10,1,YPL135W
11,2,YCL017C
12,2,YER048W-A
13,3,YDL120W
14,4,YGL018C
15,5,YPR067W
16,5,YPL059W
17,5,YJR122W
18,6,YKL040C
19,7,YOR196C
20,7,YLL027W
21,8,YLR369W
22,9,YMR301C
23,10,YNL310C
24,10,YNL328C
25,10,YFL016C
26,10,YOR232W
27,11,YAL046C
28,11,YAL044W-A
29,12,YGR063C
30,12,YOR151C
31,12,YKR062W
32,12,YMR039C
33,12,YBR279W
34,12,YPR133C
35,12,YLR226W
36,12,YKL160W
37,12,YGL130W
38,12,YPR056W
39,12,YOR194C
40,12,YDR079C-A
41,12,YER139C
42,12,YBR236C
43,12,YGL043W
44,12,YDL140C
45,12,YLR418C
46,12,YMR277W
47,12,YDR460W
48,12,YPL228W
49,12,YGR116W
50,12,YGL070C
51,12,YGL244W
52,12,YIL021W
53,12,YOL005C
54,12,YGR005C
55,12,YML010W
56,12,YPL122C
57,12,YJL140W
58,12,YKL058W
59,12,YPR086W
60,12,YDR289C
61,12,YDR404C
62,12,YKL028W
63,12,YPR161C
64,12,YGR186W
65,13,YBL022C
66,14,YOR210W
67,14,YKL125W
68,14,YLR243W
69,14,YNL113W
70,14,YJL148W
71,14,YPR187W
72,14,YJR063W
73,14,YHR143W-A
74,14,YDR156W
75,14,YFL023W
76,14,YKL144C
77,14,YDR045C
78,14,YJL011C
79,14,YBR154C
80,14,YOR224C
81,14,YPR110C
82,15,YPR025C
83,15,YDL108W
84,16,YJR052W
85,16,YIL143C
86,16,YOR352W
87,16,YER171W
88,16,YBR114W
89,16,YDR311W
90,16,YLR005W
91,17,YLR071C
92,17,YOL051W
93,17,YOL135C
94,17,YDR308C
95,17,YHR058C
96,17,YBL093C
97,17,YOR174W
98,17,YGL151W
99,17,YPR168W
100,17,YPR070W
101,17,YBR193C
102,17,YNL236W
103,17,YGL127C
104,17,YER022W
105,17,YCR081W
106,17,YMR112C
107,17,YHR041C
108,17,YDL005C
109,17,YDR443C
110,17,YNR010W
111,17,YBR253W
112,17,YGL025C
113,17,YGR104C
114,18,YDR397C
115,18,YNL039W
116,18,YNL151C
117,18,YML098W
118,18,YDR145W
119,18,YKR025W
120,18,YER159C
121,18,YPR190C
122,18,YBR123C
123,18,YDR167W
124,18,YPL011C
125,18,YML114C
126,18,YCR042C
127,18,YER148W
128,18,YGR246C
129,18,YDR362C
130,18,YDL150W
131,18,YAL001C
132,18,YNR003C
133,18,YBR198C
134,18,YMR236W
135,18,YOR110W
136,18,YPL007C
137,18,YOR207C
138,18,YOR116C
139,18,YGL112C
140,18,YML015C
141,18,YGR047C
142,18,YPR186C
143,18,YMR005W
144,19,YER164W
145,20,YPR066W
146,20,YJL047C
147,20,YPL046C
148,20,YOL133W
149,20,YNL230C
150,20,YPR164W
151,20,YLR306W
152,20,YLR320W
153,21,YOR123C
154,22,YNL025C
155,22,YPL042C
156,22,YOL128C
157,23,YMR312W
158,23,YPL086C
159,23,YLR384C
160,23,YHR187W
161,23,YKL110C
162,23,YGR200C
163,23,YPL101W
164,24,YMR186W
165,24,YGR123C
166,24,YOR298C-A
167,24,YBR155W
168,24,YJR032W
169,24,YDR168W
170,24,YDR214W
171,24,YLR216C
172,24,YOR057W
173,24,YPL240C
174,24,YNL281W
175,24,YKL117W
176,24,YOR027W
177,25,YLR399C
178,25,YLR455W
179,25,YGL150C
180,25,YDL002C
181,25,YPL129W
182,25,YOR064C
183,25,YKL017C
184,26,YBR089C-A
185,26,YML069W
186,26,YGL207W
187,26,YGR270W
188,27,YKL005C
189,28,YKL139W
190,28,YJL006C
191,28,YML112W
192,29,YFR016C
193,29,YOL145C
194,30,YJR035W
195,30,YDR030C
196,30,YKL054C
197,31,YLR222C
198,31,YDR449C
199,31,YGR128C
200,31,YER082C
201,31,YKR060W
202,31,YOR145C
203,31,YOL010W
204,31,YMR128W
205,31,YLR409C
206,31,YJL069C
207,31,YLL011W
208,31,YGR081C
209,31,YGL019W
210,31,YOR039W
211,31,YLR129W
212,31,YPR137W
213,31,YDR324C
214,31,YGR090W
215,31,YOR061W
216,31,YDL148C
217,31,YJL109C
218,31,YLR003C
219,31,YPR112C
220,31,YGR251W
221,31,YIL035C
222,31,YBR247C
223,31,YCL059C
224,31,YDL213C
225,31,YBL004W
226,31,YJR002W
227,31,YNL035C
228,31,YMR229C
229,31,YOR078W
230,31,YPR144C
231,31,YPL126W
232,31,YCR057C
233,31,YMR093W
234,31,YCL031C
235,31,YHR196W
236,32,YKL126W
237,32,YHR205W
238,32,YDR005C
239,33,YIL019W
240,33,YIL091C
241,33,YDR365C
242,33,YDR412W
243,33,YGL171W
244,33,YGL111W
245,33,YBR142W
246,33,YKL172W
247,33,YMR014W
248,33,YDR299W
249,33,YJR091C
250,33,YIR012W
251,33,YJL010C
252,33,YHR065C
253,33,YOL080C
254,33,YHR197W
255,33,YLL008W
256,33,YKL099C
257,33,YHR085W
258,33,YNL132W
259,33,YDL063C
260,33,YER127W
261,33,YOR119C
262,33,YDL167C
263,33,YLR196W
264,33,YNR038W
265,33,YIL127C
266,33,YMR290C
267,33,YHR052W
268,33,YFR001W
269,33,YNL075W
270,33,YPL012W
271,33,YER036C
272,33,YDR161W
273,33,YNL227C
274,33,YDL060W
275,33,YKL014C
276,33,YNL112W
277,33,YOR287C
278,33,YGL029W
279,33,YER006W
280,33,YFL002C
281,33,YDR496C
282,33,YLR009W
283,33,YNR053C
284,33,YOL041C
285,33,YKL143W
286,33,YDR083W
287,33,YER126C
288,33,YNR054C
289,33,YPL146C
290,33,YDR312W
291,33,YPL226W
292,33,YNL308C
293,33,YJL033W
294,33,YDR087C
295,33,YOR206W
296,33,YCR087C-A
297,33,YOR056C
298,33,YGL014W
299,33,YNL110C
300,33,YLR276C
301,33,YDR398W
302,33,YGR245C
303,33,YOR294W
304,33,YPL043W
305,33,YKR024C
306,33,YHR170W
307,33,YHR066W
308,33,YNL207W
309,33,YNL182C
310,33,YDL051W
311,33,YAL025C
312,33,YGR271C-A
313,33,YHR088W
314,33,YDL153C
315,33,YML074C
316,33,YGR280C
317,33,YAL059W
318,33,YBR267W
319,33,YLL034C
320,33,YBL028C
321,33,YPL217C
322,33,YLR106C
323,33,YKR081C
324,33,YKL009W
325,33,YLR435W
326,33,YNL175C
327,33,YER002W
328,33,YGR103W
329,33,YOL144W
330,33,YJL122W
331,33,YLR336C
332,33,YNL163C
333,33,YLR022C
334,33,YGR145W
335,33,YIR026C
336,33,YGL099W
337,33,YOR004W
338,33,YKL021C
339,33,YLR221C
340,33,YEL055C
341,33,YKR056W
342,33,YDR101C
343,33,YGR187C
344,33,YNL224C
345,33,YMR131C
346,33,YKL082C
347,33,YLR074C
348,33,YDR194C
349,33,YMR269W
350,33,YCL054W
351,33,YNL061W
352,33,YGL078C
353,33,YML093W
354,33,YLR449W
355,33,YBR192W
356,33,YKR092C
357,33,YDR184C
358,33,YPL093W
359,33,YLR051C
360,33,YGR159C
361,33,YDL031W
362,33,YPR143W
363,33,YCR072C
364,33,YDR060W
365,33,YLR002C
366,34,YJL050W
367,34,YMR239C
368,35,YMR049C
369,35,YHR169W
370,35,YLR401C
371,35,YPL266W
372,36,YNL248C
373,36,YPR010C
374,36,YOR340C
375,36,YOR341W
376,36,YPL263C
377,37,YPL207W
378,37,YHR070W
379,37,YOL141W
380,37,YGL050W
381,38,YHR128W
382,38,YDR400W
383,38,YDR020C
384,38,YNR012W
385,39,YMR271C
386,39,YDR007W
387,39,YOR128C
388,39,YLR014C
389,39,YEL063C
390,39,YKL216W
391,39,YML106W
392,39,YEL021W
393,40,YER005W
394,41,YLR245C
395,42,YKL024C
396,43,YDR012W
397,43,YLR061W
398,43,YGR169C-A
399,43,YLR048W
400,43,YJR145C
401,43,YMR143W
402,43,YGR054W
403,43,YLR264W
404,43,YDR450W
405,43,YGR085C
406,43,YNL162W
407,43,YHL015W
408,43,YDR447C
409,43,YMR116C
410,43,YJR123W
411,43,YGL189C
412,43,YDL083C
413,43,YJL190C
414,43,YPR132W
415,43,YLR448W
416,43,YCR031C
417,43,YLR344W
418,43,YBR191W
419,43,YAL035W
420,43,YOL040C
421,43,YGL030W
422,43,YJL136C
423,43,YKL056C
424,43,YGR118W
425,43,YLL045C
426,43,YDL130W
427,43,YBR084C-A
428,43,YLR150W
429,43,YKL156W
430,43,YPL037C
431,43,YDL082W
432,43,YNL096C
433,43,YGR027C
434,43,YMR121C
435,43,YNL069C
436,43,YLR441C
437,43,YLR325C
438,43,YBL087C
439,43,YOL121C
440,43,YGR214W
441,43,YHR203C
442,43,YGL147C
443,43,YFR032C-A
444,43,YER117W
445,43,YER102W
446,43,YOR369C
447,43,YDL081C
448,43,YNL178W
449,43,YHR141C
450,43,YOR234C
451,43,YGR201C
452,43,YPL090C
453,43,YIL133C
454,43,YML024W
455,43,YPL239W
456,43,YIL069C
457,43,YLR367W
458,43,YER074W
459,43,YLR406C
460,43,YML073C
461,43,YPL249C-A
462,43,YHR021C
463,43,YPL079W
464,43,YOR312C
465,43,YOR182C
466,43,YOL120C
467,43,YBR048W
468,43,YPL220W
469,43,YDR064W
470,43,YOR167C
471,43,YGR148C
472,43,YBR189W
473,43,YIL018W
474,43,YDR385W
475,43,YAL003W
476,43,YHL033C
477,43,YPL131W
478,43,YDL075W
479,43,YLR333C
480,43,YLR075W
481,43,YDR025W
482,43,YPL198W
483,43,YBR031W
484,43,YMR230W
485,43,YNL067W
486,43,YFR031C-A
487,43,YFL034C-A
488,43,YGL123W
