,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,Q0092
3,0,Q0297
4,0,Q0010
5,0,Q0143
6,0,Q0032
7,0,Q0142
8,1,YER048W-A
9,1,YOR226C
10,1,YJR122W
11,1,YPL252C
12,1,YPR067W
13,1,YPL059W
14,1,YPL135W
15,1,YKL040C
16,1,YCL017C
17,1,YLL027W
18,2,YLR369W
19,2,YDL120W
20,2,YGL018C
21,3,YMR301C
22,4,YOR196C
23,5,YNL310C
24,5,YNL328C
25,5,YFL016C
26,5,YOR232W
27,6,YGL220W
28,6,YER174C
29,6,YAL046C
30,6,YAL044W-A
31,7,YGR063C
32,7,YOR151C
33,7,YKR062W
34,7,YMR039C
35,7,YBR279W
36,7,YPR133C
37,7,YLR226W
38,7,YKL160W
39,7,YML112W
40,7,YGL130W
41,7,YPR056W
42,7,YJR072C
43,7,YOR194C
44,7,YOR352W
45,7,YDR079C-A
46,7,YER139C
47,7,YBR236C
48,7,YJL006C
49,7,YGL043W
50,7,YDL140C
51,7,YLR418C
52,7,YJR017C
53,7,YMR277W
54,7,YDR460W
55,7,YPL228W
56,7,YGR116W
57,7,YGL070C
58,7,YGL244W
59,7,YIL021W
60,7,YOL005C
61,7,YOR123C
62,7,YGR005C
63,7,YML010W
64,7,YPL122C
65,7,YJL140W
66,7,YKL058W
67,7,YPR086W
68,7,YDR289C
69,7,YDR404C
70,7,YDL108W
71,7,YKL028W
72,7,YPR161C
73,7,YKL005C
74,7,YKL139W
75,7,YPR025C
76,7,YGR186W
77,8,YBL022C
78,9,YOR210W
79,9,YKL125W
80,9,YLR243W
81,9,YNL113W
82,9,YJL148W
83,9,YPR187W
84,9,YJR063W
85,9,YHR143W-A
86,9,YDR156W
87,9,YFL023W
88,9,YDR045C
89,9,YBR154C
90,9,YOR224C
91,9,YDL115C
92,9,YPR110C
93,10,YJR052W
94,10,YIL143C
95,10,YER171W
96,10,YBR114W
97,10,YDR311W
98,10,YLR005W
99,11,YLR071C
100,11,YOL051W
101,11,YOL135C
102,11,YDR308C
103,11,YHR058C
104,11,YBL093C
105,11,YOR174W
106,11,YGL151W
107,11,YPR168W
108,11,YPR070W
109,11,YBR193C
110,11,YNL236W
111,11,YGL127C
112,11,YER022W
113,11,YNL025C
114,11,YCR081W
115,11,YMR112C
116,11,YHR041C
117,11,YDL005C
118,11,YDR443C
119,11,YNR010W
120,11,YBR253W
121,11,YGL025C
122,11,YGR104C
123,12,YDR397C
124,12,YNL039W
125,12,YNL151C
126,12,YJL011C
127,12,YML098W
128,12,YDR145W
129,12,YKR025W
130,12,YER159C
131,12,YPR190C
132,12,YBR123C
133,12,YDR167W
134,12,YPL011C
135,12,YML114C
136,12,YDL070W
137,12,YCR042C
138,12,YKL144C
139,12,YER148W
140,12,YGR246C
141,12,YDR362C
142,12,YDL150W
143,12,YAL001C
144,12,YNR003C
145,12,YMR227C
146,12,YBR198C
147,12,YMR236W
148,12,YOR110W
149,12,YPL007C
150,12,YOR207C
151,12,YOR116C
152,12,YGL112C
153,12,YPL082C
154,12,YML015C
155,12,YGR047C
156,12,YGR274C
157,12,YPR186C
158,12,YMR005W
159,13,YOL148C
160,13,YER164W
161,13,YJR082C
162,13,YDR448W
163,13,YBR081C
164,13,YGL066W
165,13,YCR082W
166,13,YMR127C
167,13,YPL254W
168,13,YLR055C
169,13,YBR111W-A
170,13,YHR090C
171,13,YMR223W
172,13,YDR392W
173,13,YCL010C
174,13,YOR023C
175,13,YPL047W
176,13,YDR176W
177,13,YGR252W
178,14,YJL047C
179,14,YPL046C
180,14,YOL133W
181,14,YNL230C
182,14,YPR164W
183,14,YLR306W
184,14,YLR320W
185,15,YPL042C
186,15,YOL128C
187,16,YHR111W
188,16,YMR312W
189,16,YPL086C
190,16,YLR384C
191,16,YHR187W
192,16,YKL110C
193,16,YGR200C
194,16,YPL101W
195,16,YGL211W
196,17,YMR186W
197,17,YGR123C
198,17,YOR298C-A
199,17,YBR155W
200,17,YJR032W
201,17,YDR168W
202,17,YDR214W
203,17,YLR216C
204,17,YOR057W
205,17,YPL240C
206,17,YNL281W
207,17,YKL117W
208,17,YOR027W
209,18,YLR455W
210,18,YDL002C
211,18,YPR031W
212,18,YPL129W
213,18,YOR064C
214,18,YKL017C
215,19,YPR052C
216,19,YBR089C-A
217,19,YML069W
218,19,YGL207W
219,20,YFR016C
220,20,YOL145C
221,21,YJR035W
222,21,YDR030C
223,21,YKL054C
224,22,YNL248C
225,22,YIL019W
226,22,YDR365C
227,22,YIL091C
228,22,YGL120C
229,22,YGL171W
230,22,YDR412W
231,22,YLR222C
232,22,YOL010W
233,22,YOR145C
234,22,YGL111W
235,22,YBR142W
236,22,YKL172W
237,22,YMR014W
238,22,YLR409C
239,22,YJL069C
240,22,YDR299W
241,22,YJR091C
242,22,YIR012W
243,22,YJL010C
244,22,YLR129W
245,22,YPR137W
246,22,YHR065C
247,22,YOR272W
248,22,YOL080C
249,22,YHR197W
250,22,YGR251W
251,22,YLL008W
252,22,YKL099C
253,22,YBL004W
254,22,YHR085W
255,22,YNL132W
256,22,YDL063C
257,22,YER127W
258,22,YOR119C
259,22,YLR175W
260,22,YDL167C
261,22,YLR196W
262,22,YNR038W
263,22,YNL124W
264,22,YIL127C
265,22,YMR290C
266,22,YPL126W
267,22,YHR052W
268,22,YDR361C
269,22,YCR057C
270,22,YMR093W
271,22,YCL031C
272,22,YFR001W
273,22,YMR128W
274,22,YER082C
275,22,YLR401C
276,22,YNL075W
277,22,YDR339C
278,22,YPL012W
279,22,YER036C
280,22,YLL011W
281,22,YDR161W
282,22,YNL227C
283,22,YDL060W
284,22,YKL014C
285,22,YNL112W
286,22,YOR287C
287,22,YGL029W
288,22,YBR034C
289,22,YER006W
290,22,YDR324C
291,22,YFL002C
292,22,YDR496C
293,22,YDL148C
294,22,YLR009W
295,22,YNR053C
296,22,YOL041C
297,22,YIL035C
298,22,YHR148W
299,22,YDL213C
300,22,YKL143W
301,22,YNL062C
302,22,YDR083W
303,22,YPL211W
304,22,YER126C
305,22,YNR054C
306,22,YMR229C
307,22,YPL146C
308,22,YDR312W
309,22,YPL266W
310,22,YPL239W
311,22,YPL226W
312,22,YNL308C
313,22,YJL033W
314,22,YDR087C
315,22,YJR002W
316,22,YMR049C
317,22,YOR206W
318,22,YCR087C-A
319,22,YDR449C
320,22,YKR060W
321,22,YNL110C
322,22,YGR128C
323,22,YOR056C
324,22,YGL014W
325,22,YLR276C
326,22,YDR398W
327,22,YGR245C
328,22,YOR294W
329,22,YPL043W
330,22,YHR169W
331,22,YKR024C
332,22,YHR170W
333,22,YGR081C
334,22,YHR066W
335,22,YGL019W
336,22,YNL207W
337,22,YOR039W
338,22,YNL182C
339,22,YDL051W
340,22,YGR090W
341,22,YOR061W
342,22,YAL025C
343,22,YGR271C-A
344,22,YHR088W
345,22,YLR003C
346,22,YER156C
347,22,YDL153C
348,22,YML074C
349,22,YBR247C
350,22,YGR280C
351,22,YAL059W
352,22,YOR340C
353,22,YBR267W
354,22,YLL034C
355,22,YBL028C
356,22,YPL217C
357,22,YLR106C
358,22,YKR081C
359,22,YKL009W
360,22,YLR435W
361,22,YLR186W
362,22,YOR078W
363,22,YNL175C
364,22,YGR103W
365,22,YER002W
366,22,YOL144W
367,22,YJL122W
368,22,YHR196W
369,22,YLR336C
370,22,YNL163C
371,22,YLR022C
372,22,YGR145W
373,22,YIR026C
374,22,YGL099W
375,22,YOR004W
376,22,YKL021C
377,22,YLR221C
378,22,YEL055C
379,22,YDR174W
380,22,YKR056W
381,22,YDR101C
382,22,YGR187C
383,22,YNL224C
384,22,YMR131C
385,22,YKL082C
386,22,YLR074C
387,22,YDR194C
388,22,YMR269W
389,22,YJL109C
390,22,YCL054W
391,22,YPR112C
392,22,YGL078C
393,22,YNL061W
394,22,YCL059C
395,22,YOL077C
396,22,YML093W
397,22,YLR449W
398,22,YJR041C
399,22,YBR192W
400,22,YKR092C
401,22,YDR184C
402,22,YPL093W
403,22,YNL035C
404,22,YOR309C
405,22,YLR051C
406,22,YGR159C
407,22,YDL031W
408,22,YPR143W
409,22,YPR144C
410,22,YCR072C
411,22,YDL208W
412,22,YDR060W
413,22,YLR002C
414,23,YKL126W
415,23,YHR205W
416,23,YDR005C
417,24,YGR095C
418,24,YNR024W
419,24,YGR158C
420,24,YNL251C
421,24,YHR069C
422,24,YMR239C
423,24,YOL021C
424,24,YGR195W
425,24,YMR287C
426,24,YPR189W
427,24,YDR374C
428,24,YNL299W
429,24,YDR280W
430,24,YDR293C
431,24,YDL111C
432,24,YCR035C
433,24,YIL079C
434,24,YNL232W
435,24,YDL175C
436,24,YJL050W
437,24,YOR001W
438,24,YOL115W
439,24,YOL142W
440,24,YHR081W
441,24,YLR398C
442,25,YPR010C
443,25,YPL263C
444,25,YOR341W
445,26,YPL207W
446,26,YHR070W
447,26,YOL141W
448,26,YGL050W
449,27,YHR128W
450,27,YDR400W
451,27,YDR020C
452,28,YMR271C
453,28,YNR012W
454,28,YDR007W
455,28,YOR128C
456,28,YKL024C
457,28,YLR014C
458,28,YEL063C
459,28,YOR202W
460,28,YKL216W
461,28,YLR420W
462,28,YML106W
463,28,YEL021W
464,29,YER005W
465,30,YLR245C
466,30,YHR144C
467,31,YNL002C
468,31,YDR012W
469,31,YLR061W
470,31,YGR169C-A
471,31,YLR048W
472,31,YDR429C
473,31,YJR145C
474,31,YMR143W
475,31,YPR016C
476,31,YGR054W
477,31,YLR264W
478,31,YDR450W
479,31,YGR085C
480,31,YNL162W
481,31,YHL015W
482,31,YDR447C
483,31,YGL076C
484,31,YMR116C
485,31,YJR123W
486,31,YGL189C
487,31,YDL083C
488,31,YJL190C
489,31,YPR132W
