,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,Q0092
3,0,Q0297
4,0,Q0010
5,0,Q0143
6,0,Q0032
7,0,Q0142
8,1,YOR196C
9,1,YER048W-A
10,1,YOR226C
11,1,YJR122W
12,1,YPL252C
13,1,YPR067W
14,1,YLR369W
15,1,YPL059W
16,1,YPL135W
17,1,YKL040C
18,1,YCL017C
19,1,YLL027W
20,2,YMR301C
21,2,YDL120W
22,2,YGL018C
23,3,YHR024C
24,3,YFL016C
25,3,YJR045C
26,3,YNL328C
27,3,YNL310C
28,3,YEL030W
29,3,YOR232W
30,4,YLL029W
31,4,YGL220W
32,4,YAL046C
33,4,YDR098C
34,4,YAL044W-A
35,4,YPL202C
36,4,YER174C
37,5,YGR063C
38,5,YOR151C
39,5,YKR062W
40,5,YMR039C
41,5,YBR279W
42,5,YPR133C
43,5,YIL143C
44,5,YLR226W
45,5,YHR143W-A
46,5,YKL160W
47,5,YLR243W
48,5,YML112W
49,5,YGL130W
50,5,YOR224C
51,5,YDL115C
52,5,YPR056W
53,5,YJR072C
54,5,YJL148W
55,5,YPR187W
56,5,YOR194C
57,5,YOR352W
58,5,YDR079C-A
59,5,YER139C
60,5,YBR236C
61,5,YJL006C
62,5,YGL043W
63,5,YBR154C
64,5,YDL140C
65,5,YLR418C
66,5,YJR017C
67,5,YDR311W
68,5,YMR277W
69,5,YOR210W
70,5,YDR460W
71,5,YPL228W
72,5,YGR116W
73,5,YFR016C
74,5,YGL070C
75,5,YGL244W
76,5,YER171W
77,5,YIL021W
78,5,YOR123C
79,5,YOL005C
80,5,YGR005C
81,5,YLR005W
82,5,YML010W
83,5,YPL122C
84,5,YJR063W
85,5,YJL140W
86,5,YPR086W
87,5,YKL058W
88,5,YDR404C
89,5,YDR289C
90,5,YDL108W
91,5,YKL028W
92,5,YOL145C
93,5,YDR156W
94,5,YPR161C
95,5,YKL005C
96,5,YKL139W
97,5,YPR025C
98,5,YGR186W
99,6,YBL022C
100,7,YDR397C
101,7,YNL039W
102,7,YNL151C
103,7,YJL011C
104,7,YML098W
105,7,YDR145W
106,7,YKR025W
107,7,YER159C
108,7,YPR190C
109,7,YBR123C
110,7,YDR167W
111,7,YPL011C
112,7,YML114C
113,7,YDL070W
114,7,YCR042C
115,7,YKL144C
116,7,YDR045C
117,7,YER148W
118,7,YGR246C
119,7,YNL113W
120,7,YDR362C
121,7,YDL150W
122,7,YAL001C
123,7,YNR003C
124,7,YMR227C
125,7,YBR198C
126,7,YMR236W
127,7,YOR110W
128,7,YPL007C
129,7,YKL125W
130,7,YOR207C
131,7,YOR116C
132,7,YGL112C
133,7,YPL082C
134,7,YML015C
135,7,YPR110C
136,7,YGR047C
137,7,YGR274C
138,7,YPR186C
139,7,YMR005W
140,8,YLR071C
141,8,YOL051W
142,8,YOL135C
143,8,YDR308C
144,8,YHR058C
145,8,YBL093C
146,8,YOR174W
147,8,YPL042C
148,8,YGL151W
149,8,YPR168W
150,8,YPR070W
151,8,YBR193C
152,8,YNL236W
153,8,YGL127C
154,8,YER022W
155,8,YNL025C
156,8,YCR081W
157,8,YMR112C
158,8,YHR041C
159,8,YDL005C
160,8,YDR443C
161,8,YNR010W
162,8,YBR253W
163,8,YGL025C
164,8,YGR104C
165,9,YPL254W
166,9,YOL148C
167,9,YOR023C
168,9,YDR448W
169,9,YPL047W
170,9,YLR055C
171,9,YBR111W-A
172,9,YHR099W
173,9,YBR081C
174,9,YGL066W
175,9,YMR223W
176,9,YDR176W
177,9,YDR392W
178,9,YER164W
179,9,YCL010C
180,9,YCR082W
181,9,YGR252W
182,10,YJR033C
183,10,YPL003W
184,10,YDR054C
185,10,YJR090C
186,10,YOL133W
187,10,YLR306W
188,10,YLR320W
189,10,YDR202C
190,10,YLR352W
191,10,YOL025W
192,10,YLR128W
193,10,YDR139C
194,10,YDL132W
195,10,YMR258C
196,10,YPR066W
197,10,YJL047C
198,10,YOR080W
199,10,YER066W
200,10,YNL230C
201,10,YER143W
202,10,YLR368W
203,10,YNL311C
204,10,YPL046C
205,10,YDR328C
206,10,YJL149W
207,10,YPR164W
208,10,YML088W
209,10,YMR094W
210,10,YMR168C
211,11,YHR111W
212,11,YIL008W
213,11,YMR312W
214,11,YPL086C
215,11,YLR384C
216,11,YHR187W
217,11,YML014W
218,11,YNL119W
219,11,YKL110C
220,11,YGR200C
221,11,YPL101W
222,11,YGL211W
223,12,YMR186W
224,12,YGR123C
225,12,YOR298C-A
226,12,YBR155W
227,12,YJR032W
228,12,YDR168W
229,12,YDR214W
230,12,YLR216C
231,12,YOR057W
232,12,YPL240C
233,12,YNL281W
234,12,YKL117W
235,12,YOR027W
236,13,YLR455W
237,13,YPR031W
238,13,YPL129W
239,13,YOR064C
240,13,YKL017C
241,14,YPR052C
242,14,YBR089C-A
243,14,YML069W
244,14,YGL207W
245,15,YJR035W
246,15,YDR030C
247,15,YKL054C
248,16,YNL248C
249,16,YIL019W
250,16,YDR365C
251,16,YIL091C
252,16,YGL120C
253,16,YGL171W
254,16,YDR412W
255,16,YLR222C
256,16,YOL010W
257,16,YOR145C
258,16,YGL111W
259,16,YBR142W
260,16,YKL172W
261,16,YMR014W
262,16,YLR409C
263,16,YJL069C
264,16,YDR299W
265,16,YMR239C
266,16,YIR012W
267,16,YJR091C
268,16,YJL010C
269,16,YLR129W
270,16,YPR137W
271,16,YHR065C
272,16,YOR272W
273,16,YOL080C
274,16,YHR197W
275,16,YGR251W
276,16,YLL008W
277,16,YKL099C
278,16,YBL004W
279,16,YOR046C
280,16,YHR085W
281,16,YNL132W
282,16,YDL063C
283,16,YER127W
284,16,YOR119C
285,16,YLR175W
286,16,YDL167C
287,16,YLR196W
288,16,YNR038W
289,16,YNL124W
290,16,YIL127C
291,16,YMR290C
292,16,YPL126W
293,16,YHR052W
294,16,YKL078W
295,16,YDR361C
296,16,YCR057C
297,16,YMR093W
298,16,YPL263C
299,16,YCL031C
300,16,YFR001W
301,16,YMR128W
302,16,YER082C
303,16,YLR401C
304,16,YNL075W
305,16,YDR339C
306,16,YPL012W
307,16,YER036C
308,16,YLL011W
309,16,YDR161W
310,16,YNL227C
311,16,YDL060W
312,16,YKL014C
313,16,YNL112W
314,16,YOR287C
315,16,YGL029W
316,16,YBR034C
317,16,YER006W
318,16,YDR324C
319,16,YFL002C
320,16,YDR496C
321,16,YDL148C
322,16,YLR009W
323,16,YNR053C
324,16,YOL041C
325,16,YIL035C
326,16,YHR148W
327,16,YDL213C
328,16,YKL143W
329,16,YNL062C
330,16,YDR083W
331,16,YPL211W
332,16,YER126C
333,16,YNR054C
334,16,YPR204W
335,16,YMR229C
336,16,YPL146C
337,16,YDR312W
338,16,YPL266W
339,16,YPL239W
340,16,YPL226W
341,16,YNL308C
342,16,YJL033W
343,16,YDR087C
344,16,YJR002W
345,16,YLR068W
346,16,YMR049C
347,16,YOR206W
348,16,YCR087C-A
349,16,YDR449C
350,16,YKR060W
351,16,YNL110C
352,16,YGR128C
353,16,YOR056C
354,16,YGL014W
355,16,YLR276C
356,16,YDR398W
357,16,YGR245C
358,16,YOR294W
359,16,YPL043W
360,16,YHR169W
361,16,YKR024C
362,16,YHR170W
363,16,YGR081C
364,16,YHR066W
365,16,YGL019W
366,16,YNL207W
367,16,YOR039W
368,16,YNL182C
369,16,YDL051W
370,16,YGR090W
371,16,YOR061W
372,16,YAL025C
373,16,YOR310C
374,16,YGR271C-A
375,16,YHR088W
376,16,YLR003C
377,16,YER156C
378,16,YDL153C
379,16,YML074C
380,16,YBR247C
381,16,YGR280C
382,16,YHR089C
383,16,YAL059W
384,16,YOR340C
385,16,YBR267W
386,16,YLL034C
387,16,YBL028C
388,16,YPL217C
389,16,YLR106C
390,16,YKR081C
391,16,YKL009W
392,16,YLR435W
393,16,YLR186W
394,16,YOR078W
395,16,YNL175C
396,16,YGR103W
397,16,YER002W
398,16,YOL144W
399,16,YJL122W
400,16,YHR196W
401,16,YLR336C
402,16,YNL163C
403,16,YPR010C
404,16,YLR022C
405,16,YDL014W
406,16,YGR145W
407,16,YIR026C
408,16,YGL099W
409,16,YOR004W
410,16,YKL021C
411,16,YLR197W
412,16,YEL055C
413,16,YLR221C
414,16,YDR174W
415,16,YKR056W
416,16,YDR101C
417,16,YGR187C
418,16,YNL224C
419,16,YMR131C
420,16,YKL082C
421,16,YLR074C
422,16,YDR194C
423,16,YMR269W
424,16,YJL109C
425,16,YCL054W
426,16,YPR112C
427,16,YGL078C
428,16,YNL061W
429,16,YCL059C
430,16,YOL077C
431,16,YML093W
432,16,YLR449W
433,16,YJR041C
434,16,YBR192W
435,16,YKR092C
436,16,YDR184C
437,16,YPL093W
438,16,YNL035C
439,16,YOR309C
440,16,YLR051C
441,16,YGR159C
442,16,YDL031W
443,16,YOR341W
444,16,YPR143W
445,16,YPR144C
446,16,YCR072C
447,16,YDL208W
448,16,YDR060W
449,16,YLR002C
450,17,YKL126W
451,17,YHR205W
452,17,YDR005C
453,18,YGL213C
454,18,YGR095C
455,18,YNR024W
456,18,YGR158C
457,18,YNL251C
458,18,YHR069C
459,18,YOL021C
460,18,YLR430W
461,18,YGR195W
462,18,YMR287C
463,18,YPR189W
464,18,YDR374C
465,18,YNL299W
466,18,YDR280W
467,18,YDR293C
468,18,YPL190C
469,18,YDL111C
470,18,YCR035C
471,18,YIL079C
472,18,YNL232W
473,18,YDL175C
474,18,YOR076C
475,18,YJL050W
476,18,YOR001W
477,18,YOL115W
478,18,YOL142W
479,18,YHR081W
480,18,YLR398C
481,19,YGL050W
482,19,YPL207W
483,19,YOL141W
484,19,YML005W
485,19,YHR070W
486,20,YMR271C
487,20,YNR012W
488,20,YDR007W
489,20,YOR128C
