,cluster,protein
0,0,Q0010
1,0,Q0017
2,0,Q0143
3,0,Q0092
4,0,Q0182
5,0,Q0297
6,0,Q0032
7,0,Q0142
8,1,YPL135W
9,1,YER048W-A
10,1,YLL027W
11,1,YPL252C
12,1,YOR226C
13,2,YCL017C
14,3,YDL120W
15,4,YGL018C
16,4,YLR369W
17,5,YJR122W
18,5,YKL040C
19,5,YPL059W
20,5,YPR067W
21,6,YMR301C
22,7,YOR196C
23,8,YOR232W
24,8,YLR008C
25,8,YNL328C
26,8,YFL016C
27,8,YNL310C
28,9,YAL044W-A
29,9,YAL046C
30,10,YGL043W
31,10,YBR279W
32,10,YDL108W
33,10,YDL140C
34,10,YDR079C-A
35,10,YDR404C
36,10,YGL070C
37,10,YPR133C
38,10,YPL122C
39,10,YGR116W
40,10,YOR123C
41,10,YLR418C
42,10,YGL244W
43,10,YPR086W
44,10,YML010W
45,10,YPR161C
46,10,YKL028W
47,10,YIL021W
48,10,YGR063C
49,10,YMR277W
50,10,YKL005C
51,10,YJL006C
52,10,YKR062W
53,10,YGR186W
54,10,YOL005C
55,10,YOR151C
56,10,YJL140W
57,10,YGR005C
58,10,YBR236C
59,10,YPR056W
60,10,YKL058W
61,10,YML112W
62,10,YLR226W
63,10,YDR460W
64,10,YDR289C
65,10,YKL139W
66,10,YPR025C
67,10,YMR039C
68,10,YOR194C
69,10,YER139C
70,10,YKL160W
71,10,YGL130W
72,10,YPL228W
73,11,YBL022C
74,12,YBR154C
75,12,YDR045C
76,12,YOR210W
77,12,YNL113W
78,12,YOR224C
79,12,YHR143W-A
80,12,YPR187W
81,12,YJR063W
82,12,YKL144C
83,12,YPR110C
84,12,YDL115C
85,12,YKL125W
86,12,YDR156W
87,12,YJL148W
88,12,YLR243W
89,12,YFL023W
90,13,YDR311W
91,13,YER171W
92,13,YIL143C
93,13,YLR005W
94,13,YBR114W
95,13,YJR052W
96,13,YOR352W
97,14,YDR443C
98,14,YGL127C
99,14,YBR193C
100,14,YBR253W
101,14,YLR071C
102,14,YMR112C
103,14,YOR174W
104,14,YPR168W
105,14,YGR104C
106,14,YHR041C
107,14,YHR058C
108,14,YDR308C
109,14,YER022W
110,14,YOL135C
111,14,YDL005C
112,14,YBL093C
113,14,YCR081W
114,14,YNL236W
115,14,YGL151W
116,14,YPR070W
117,14,YGL025C
118,14,YNR010W
119,14,YOL051W
120,14,YNL025C
121,15,YER148W
122,15,YOR207C
123,15,YDL150W
124,15,YDR362C
125,15,YGR047C
126,15,YGR246C
127,15,YJL011C
128,15,YKR025W
129,15,YNL039W
130,15,YNL151C
131,15,YNR003C
132,15,YOR116C
133,15,YPR190C
134,15,YGR274C
135,15,YGL112C
136,15,YAL001C
137,15,YBR123C
138,15,YBR198C
139,15,YCR042C
140,15,YDR145W
141,15,YDR167W
142,15,YDR397C
143,15,YML015C
144,15,YMR236W
145,15,YER159C
146,15,YPL082C
147,15,YMR005W
148,15,YPL011C
149,15,YML098W
150,15,YOR110W
151,15,YMR227C
152,15,YPL007C
153,15,YPR186C
154,15,YML114C
155,15,YDL070W
156,16,YER164W
157,16,YGR252W
158,16,YBR081C
159,16,YDR176W
160,16,YDR392W
161,16,YDR448W
162,16,YPL254W
163,16,YMR223W
164,16,YGL066W
165,16,YOL148C
166,16,YLR055C
167,16,YHR090C
168,16,YBR111W-A
169,16,YMR127C
170,16,YOR244W
171,16,YCL010C
172,16,YOR213C
173,16,YOR023C
174,16,YJR082C
175,16,YPL047W
176,16,YCR082W
177,17,YNL230C
178,17,YPL046C
179,17,YOL133W
180,17,YJL047C
181,17,YLR320W
182,17,YPR164W
183,17,YPR066W
184,17,YLR306W
185,18,YPL042C
186,18,YOL128C
187,19,YKL110C
188,19,YGL211W
189,19,YLR384C
190,19,YPL086C
191,19,YGR200C
192,19,YHR187W
193,19,YMR312W
194,19,YPL101W
195,20,YOR298C-A
196,20,YMR186W
197,20,YPL240C
198,20,YBR155W
199,20,YDR168W
200,20,YDR214W
201,20,YGR123C
202,20,YJR032W
203,20,YKL117W
204,20,YLR216C
205,20,YNL281W
206,20,YOR027W
207,20,YOR057W
208,21,YPL129W
209,21,YOR064C
210,21,YDL002C
211,21,YGL150C
212,21,YPR031W
213,21,YLR455W
214,21,YKL017C
215,22,YGL207W
216,22,YML069W
217,22,YPR052C
218,22,YGR270W
219,22,YBR089C-A
220,23,YOL145C
221,23,YFR016C
222,24,YJR035W
223,24,YDR030C
224,24,YKL054C
225,25,YCR057C
226,25,YNL035C
227,26,YDR005C
228,26,YHR205W
229,26,YKL126W
230,27,YDR496C
231,27,YER082C
232,27,YGR245C
233,27,YHR170W
234,27,YJL109C
235,27,YKR024C
236,27,YLR129W
237,27,YLR222C
238,27,YLR409C
239,27,YMR049C
240,27,YMR229C
241,27,YNL132W
242,27,YNL248C
243,27,YOR206W
244,27,YPL226W
245,27,YPL217C
246,27,YPL012W
247,27,YLR106C
248,27,YHR197W
249,27,YPL093W
250,27,YPL146C
251,27,YDR161W
252,27,YKL009W
253,27,YKL172W
254,27,YER006W
255,27,YDR101C
256,27,YGR103W
257,27,YMR290C
258,27,YER126C
259,27,YNR053C
260,27,YLR009W
261,27,YOR294W
262,27,YKR081C
263,27,YNL110C
264,27,YGL099W
265,27,YOR340C
266,27,YDR087C
267,27,YNL112W
268,27,YBL004W
269,27,YBR247C
270,27,YCL031C
271,27,YCL059C
272,27,YDL060W
273,27,YDL148C
274,27,YDL213C
275,27,YDR299W
276,27,YDR324C
277,27,YDR449C
278,27,YFL002C
279,27,YGL019W
280,27,YGL120C
281,27,YGL171W
282,27,YGR081C
283,27,YGR090W
284,27,YGR128C
285,27,YGR145W
286,27,YHR148W
287,27,YHR169W
288,27,YHR196W
289,27,YIL035C
