,cluster,protein
0,0,Q0010
1,0,Q0017
2,0,Q0143
3,0,Q0092
4,0,Q0182
5,0,Q0297
6,0,Q0032
7,0,Q0142
8,1,YPL135W
9,1,YPL252C
10,1,YOR226C
11,2,YCL017C
12,2,YER048W-A
13,3,YDL120W
14,4,YGL018C
15,5,YJR122W
16,5,YPL059W
17,5,YPR067W
18,6,YKL040C
19,7,YLL027W
20,7,YOR196C
21,8,YLR369W
22,9,YMR301C
23,10,YOR232W
24,10,YNL328C
25,10,YFL016C
26,10,YNL310C
27,11,YAL044W-A
28,11,YAL046C
29,12,YGL043W
30,12,YBR279W
31,12,YDL108W
32,12,YDL140C
33,12,YDR079C-A
34,12,YDR404C
35,12,YGL070C
36,12,YPR133C
37,12,YPL122C
38,12,YGR116W
39,12,YLR418C
40,12,YGL244W
41,12,YPR086W
42,12,YML010W
43,12,YPR161C
44,12,YKL028W
45,12,YIL021W
46,12,YGR063C
47,12,YMR277W
48,12,YKR062W
49,12,YGR186W
50,12,YOL005C
51,12,YOR151C
52,12,YJL140W
53,12,YGR005C
54,12,YBR236C
55,12,YPR056W
56,12,YKL058W
57,12,YLR226W
58,12,YDR460W
59,12,YDR289C
60,12,YPR025C
61,12,YMR039C
62,12,YOR194C
63,12,YER139C
64,12,YKL160W
65,12,YGL130W
66,12,YPL228W
67,13,YBL022C
68,14,YBR154C
69,14,YDR045C
70,14,YOR210W
71,14,YNL113W
72,14,YOR224C
73,14,YHR143W-A
74,14,YPR187W
75,14,YJR063W
76,14,YJL011C
77,14,YKL144C
78,14,YPR110C
79,14,YKL125W
80,14,YDR156W
81,14,YJL148W
82,14,YLR243W
83,14,YFL023W
84,15,YDR311W
85,15,YER171W
86,15,YIL143C
87,15,YLR005W
88,15,YBR114W
89,15,YJR052W
90,15,YOR352W
91,16,YDR443C
92,16,YGL127C
93,16,YBR193C
94,16,YBR253W
95,16,YLR071C
96,16,YMR112C
97,16,YOR174W
98,16,YPR168W
99,16,YGR104C
100,16,YHR041C
101,16,YHR058C
102,16,YDR308C
103,16,YER022W
104,16,YOL135C
105,16,YDL005C
106,16,YBL093C
107,16,YCR081W
108,16,YNL236W
109,16,YGL151W
110,16,YPR070W
111,16,YGL025C
112,16,YNR010W
113,16,YOL051W
114,17,YER148W
115,17,YOR207C
116,17,YDL150W
117,17,YDR362C
118,17,YGR047C
119,17,YGR246C
120,17,YKR025W
121,17,YNL039W
122,17,YNL151C
123,17,YNR003C
124,17,YOR116C
125,17,YPR190C
126,17,YGL112C
127,17,YAL001C
128,17,YBR123C
129,17,YBR198C
130,17,YCR042C
131,17,YDR145W
132,17,YDR167W
133,17,YDR397C
134,17,YML015C
135,17,YMR236W
136,17,YER159C
137,17,YMR005W
138,17,YPL011C
139,17,YML098W
140,17,YOR110W
141,17,YPL007C
142,17,YPR186C
143,17,YML114C
144,18,YER164W
145,19,YNL230C
146,19,YPL046C
147,19,YOL133W
148,19,YJL047C
149,19,YLR320W
150,19,YPR164W
151,19,YPR066W
152,19,YLR306W
153,20,YOR123C
154,21,YPL042C
155,21,YOL128C
156,21,YNL025C
157,22,YKL110C
158,22,YGL211W
159,22,YLR384C
160,22,YPL086C
161,22,YGR200C
162,22,YHR187W
163,22,YMR312W
164,22,YPL101W
165,23,YOR298C-A
166,23,YMR186W
167,23,YPL240C
168,23,YBR155W
169,23,YDR168W
170,23,YDR214W
171,23,YGR123C
172,23,YJR032W
173,23,YKL117W
174,23,YLR216C
175,23,YNL281W
176,23,YOR027W
177,23,YOR057W
178,24,YPL129W
179,24,YOR064C
180,24,YDL002C
181,24,YGL150C
182,24,YLR399C
183,24,YLR455W
184,24,YKL017C
185,25,YGL207W
186,25,YML069W
187,25,YGR270W
188,25,YBR089C-A
189,26,YKL005C
190,27,YJL006C
191,27,YML112W
192,27,YKL139W
193,28,YOL145C
194,28,YFR016C
195,29,YJR035W
196,29,YDR030C
197,29,YKL054C
198,30,YCR057C
199,30,YER082C
200,30,YJL109C
201,30,YLR129W
202,30,YLR222C
203,30,YLR409C
204,30,YMR229C
205,30,YBL004W
206,30,YBR247C
207,30,YCL031C
208,30,YCL059C
209,30,YDL213C
210,30,YDR324C
211,30,YDR449C
212,30,YGL019W
213,30,YGR081C
214,30,YGR090W
215,30,YGR128C
216,30,YHR196W
217,30,YIL035C
218,30,YJL069C
219,30,YJR002W
220,30,YKR060W
221,30,YLL011W
222,30,YLR003C
223,30,YOL010W
224,30,YOR039W
225,30,YMR093W
226,30,YPL126W
227,30,YOR061W
228,30,YOR078W
229,30,YPR144C
230,30,YMR128W
231,30,YGR251W
232,30,YNL035C
233,31,YDR005C
234,31,YHR205W
235,31,YKL126W
236,32,YDR496C
237,32,YGR245C
238,32,YHR170W
239,32,YKR024C
240,32,YNL132W
241,32,YOR206W
242,32,YPL226W
243,32,YPL217C
244,32,YPL012W
245,32,YLR106C
246,32,YHR197W
247,32,YPL093W
248,32,YPL146C
249,32,YDR161W
250,32,YKL009W
251,32,YKL172W
252,32,YER006W
253,32,YDR101C
254,32,YGR103W
255,32,YMR290C
256,32,YER126C
257,32,YNR053C
258,32,YLR009W
259,32,YOR294W
260,32,YKR081C
261,32,YNL110C
262,32,YGL099W
263,32,YDR087C
264,32,YNL112W
265,32,YDL060W
266,32,YDL148C
267,32,YDR299W
268,32,YFL002C
269,32,YGL171W
270,32,YGR145W
271,32,YHR169W
272,32,YJL010C
273,32,YOR145C
274,32,YNL075W
275,32,YNL308C
276,32,YNL224C
277,32,YDR398W
278,32,YIL019W
279,32,YKL143W
280,32,YML093W
281,32,YNL207W
282,32,YNL182C
283,32,YLR002C
284,32,YHR066W
285,32,YAL025C
286,32,YAL059W
287,32,YBL028C
288,32,YBR142W
289,32,YBR267W
