,cluster,size,icp55_shorpl,icp55_shorpl_mean,icp55_shorpl_std,pim1_shorpl,pim1_shorpl_mean,pim1_shorpl_std
387,387,3,5,5.333333333333333,0.4714045207910317,5,5.0,0.0
388,388,1,4,4.0,0.0,4,4.0,0.0
389,389,4,3,3.75,0.82915619758885,3,3.75,0.4330127018922193
390,390,7,3,4.571428571428571,0.7284313590846835,3,3.857142857142857,0.34992710611188266
391,391,3,5,5.333333333333333,0.4714045207910317,5,5.333333333333333,0.4714045207910317
392,392,5,4,4.6,0.48989794855663565,4,4.4,0.48989794855663565
393,393,2,4,4.0,0.0,4,4.0,0.0
394,394,18,5,6.0,0.5773502691896257,4,5.277777777777778,0.6502611061510902
395,395,16,5,5.5,0.6123724356957945,4,4.625,0.6959705453537527
396,396,4,4,4.25,0.4330127018922193,4,4.25,0.4330127018922193
397,397,4,4,4.75,0.4330127018922193,4,4.5,0.5
398,398,1,5,5.0,0.0,5,5.0,0.0
399,399,1,4,4.0,0.0,4,4.0,0.0
400,400,2,4,4.0,0.0,4,4.5,0.5
401,401,7,6,6.571428571428571,0.7284313590846836,5,6.0,0.9258200997725514
402,402,1,5,5.0,0.0,4,4.0,0.0
403,403,3,4,4.666666666666667,0.4714045207910317,4,4.333333333333333,0.4714045207910317
404,404,5,4,5.0,0.6324555320336759,4,4.6,0.48989794855663565
405,405,4,3,3.5,0.5,3,3.75,0.4330127018922193
406,406,5,4,4.2,0.39999999999999997,4,4.0,0.0
407,407,1,5,5.0,0.0,4,4.0,0.0
408,408,1,5,5.0,0.0,4,4.0,0.0
409,409,5,5,6.2,0.7483314773547882,5,5.6,0.48989794855663565
410,410,1,7,7.0,0.0,7,7.0,0.0
411,411,3,4,4.666666666666667,0.4714045207910317,4,4.333333333333333,0.4714045207910317
412,412,9,4,4.777777777777778,0.41573970964154905,3,3.888888888888889,0.3142696805273545
413,413,3,5,5.666666666666667,0.9428090415820634,4,4.666666666666667,0.9428090415820634
414,414,8,5,5.5,0.5,4,4.75,0.6614378277661477
415,415,4,4,4.75,0.4330127018922193,3,3.75,0.4330127018922193
416,416,5,9,9.6,0.48989794855663565,7,7.6,0.48989794855663565
417,417,9,4,4.444444444444445,0.49690399499995325,4,4.666666666666667,0.4714045207910317
418,418,1,4,4.0,0.0,3,3.0,0.0
419,419,3,5,6.0,0.816496580927726,4,5.0,0.816496580927726
