,protein,deg,closeness,betweeness,eigenvector,bridging,clustering_coefficient,cluster,cluster_size
41,4932.YOR224C,68,0.30215561106485334,0.0014120986012914902,0.002965734732972474,1.2520254193384185e-05,0.4060579455662862,3,90
42,4932.YHR143W-A,68,0.2952983725135624,0.0011795553335346863,0.0016530585597470885,9.461638510918505e-06,0.3867427568042142,3,90
43,4932.YLR418C,27,0.2855144680479063,0.00020330927215265825,8.978208521923723e-05,9.756804835192642e-06,0.5213675213675214,3,90
44,4932.YKL110C,9,0.255216066265531,0.00016425971397423543,3.8516003311648775e-05,2.8562197129703845e-05,0.6388888888888888,7,21
45,4932.YGL127C,40,0.2749158249158249,0.0005393014967157679,0.00012393217890834635,1.1277018337270195e-05,0.6243589743589744,3,90
46,4932.YGL244W,22,0.2820867161858698,9.845617836483353e-05,5.454068732279838e-05,5.967773944379328e-06,0.5974025974025974,3,90
47,4932.YPR086W,66,0.2939164866810655,0.0017656954748485106,0.0001497217685490882,1.1364639361811477e-05,0.3543123543123543,3,90
48,4932.YOR298C-A,14,0.2883376004237662,0.0020664318541728306,9.292532671825565e-05,0.00031851475942427796,0.5384615384615384,8,24
49,4932.YML010W,50,0.29658554304395207,0.002375137568805525,0.0005524003667228246,1.809654848189653e-05,0.3053061224489796,3,90
50,4932.YPR187W,71,0.3013193098994372,0.0018323525637383672,0.0024519282939905783,1.3838487022519995e-05,0.3851106639839034,3,90
51,4932.YPR161C,13,0.2714879467996675,8.337841290165308e-05,1.7595500301659987e-05,1.4504743019105964e-05,0.5769230769230769,3,90
52,4932.YKL028W,32,0.27836018068695134,5.701345377565709e-05,0.00012604243054255466,2.209141220119764e-06,0.7923387096774194,3,90
53,4932.YIL021W,67,0.31555555555555553,0.007163674159266549,0.0022790679580722774,5.4188411933506515e-05,0.36680235187697874,3,90
54,4932.YGR063C,36,0.2902337154536568,0.0017206632820894797,0.0001367085857511461,4.212125433016274e-05,0.4603174603174603,3,90
55,4932.YPL129W,91,0.3053192483873983,0.007278523297243584,0.00015662261056980484,2.0776651792300002e-05,0.2148962148962149,9,110
56,4932.YGL207W,65,0.30551917680074836,0.005167267373739188,0.0007236536642426949,2.9784600856328754e-05,0.28942307692307695,10,43
57,4932.YMR277W,27,0.28123654525101177,0.0004522203431399093,8.245544800560251e-05,1.667253443850635e-05,0.47863247863247865,3,90
58,4932.YKL005C,4,0.2535517428771058,0.0001384597917827095,6.040103007326109e-06,0.00010197879822842344,0.3333333333333333,9,110
59,4932.YJL006C,32,0.2786451667946421,0.0007583275156401095,1.785443472244312e-05,1.7165924682098712e-05,0.35080645161290325,3,90
