,cid,orf,betweeness_centrality,degree_centrality,eigenvector_centrality
2633,68,4932.YER019W,0.0018315018315018,0.2857142857142857,0.13192521708586444
2634,68,4932.YJL134W,0.021585557299843,0.6428571428571428,0.29770711706196645
2635,68,4932.YMR298W,0.0,0.2857142857142857,0.12756405407902105
2636,68,4932.YOR171C,0.0362899005756148,0.7142857142857142,0.31769148906355926
2637,68,4932.YDR294C,0.0,0.2857142857142857,0.13740941915742896
2638,68,4932.YLR260W,0.0362899005756148,0.7142857142857142,0.31769148906355926
2639,68,4932.YDR297W,0.067032967032967,0.7857142857142857,0.3295142768449665
2640,68,4932.YHL003C,0.1003924646781789,0.8571428571428571,0.3427636373643864
2641,68,4932.YDR541C,0.0,0.0,2.952909799358711e-12
2642,68,4932.YBR265W,0.0,0.5714285714285714,0.2839070936266782
2643,68,4932.YKL008C,0.1003924646781789,0.8571428571428571,0.3427636373643864
2644,68,4932.YPL087W,0.0223704866562009,0.6428571428571428,0.2971564541460982
2645,68,4932.YBR183W,0.009811616954474,0.4285714285714285,0.19898672417163082
2646,68,4932.YMR272C,0.0,0.2857142857142857,0.12756405407902105
2647,68,4932.YKR053C,0.021585557299843,0.6428571428571428,0.2977071170619664
2648,69,4932.YOL078W,0.0013736263736263,0.6428571428571428,0.3164521761321965
2649,69,4932.YML078W,0.0,0.0,3.2755215548506293e-09
2650,69,4932.YHR186C,0.027014652014652,0.7142857142857142,0.32755247321065384
2651,69,4932.YKL203C,0.027014652014652,0.7142857142857142,0.32755247321065384
2652,69,4932.YER093C,0.0013736263736263,0.6428571428571428,0.3164521761321965
2653,69,4932.YBR270C,0.0,0.5714285714285714,0.28747866813754125
2654,69,4932.YMR103C,0.0,0.0,3.2755215548506293e-09
2655,69,4932.YNL006W,0.0013736263736263,0.6428571428571428,0.3164521761321965
2656,69,4932.YJL197W,0.0,0.0,3.2755215548506293e-09
2657,69,4932.YMR068W,0.0013736263736263,0.6428571428571428,0.3164521761321965
2658,69,4932.YNL047C,0.0,0.0,3.2755215548506293e-09
2659,69,4932.YBR028C,0.0,0.2142857142857142,0.11013747644861352
2660,69,4932.YPL180W,0.0,0.5714285714285714,0.28747866813754125
