,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,Q0092
3,0,Q0297
4,0,Q0010
5,0,Q0143
6,0,Q0032
7,0,Q0142
8,1,YPL252C
9,1,YLL027W
10,1,YOR226C
11,1,YPL135W
12,2,YCL017C
13,2,YER048W-A
14,3,YDL120W
15,4,YLR369W
16,4,YGL018C
17,5,YPR067W
18,5,YPL059W
19,5,YJR122W
20,6,YKL040C
21,7,YMR301C
22,8,YOR196C
23,9,YNL310C
24,9,YNL328C
25,9,YFL016C
26,9,YOR232W
27,10,YAL046C
28,10,YAL044W-A
29,11,YGR063C
30,11,YOR151C
31,11,YKR062W
32,11,YMR039C
33,11,YBR279W
34,11,YPR133C
35,11,YLR226W
36,11,YKL160W
37,11,YGL130W
38,11,YPR056W
39,11,YOR194C
40,11,YDR079C-A
41,11,YER139C
42,11,YBR236C
43,11,YGL043W
44,11,YDL140C
45,11,YLR418C
46,11,YMR277W
47,11,YDR460W
48,11,YPL228W
49,11,YGR116W
50,11,YGL070C
51,11,YGL244W
52,11,YIL021W
53,11,YOL005C
54,11,YOR123C
55,11,YGR005C
56,11,YML010W
57,11,YPL122C
58,11,YJL140W
59,11,YKL058W
60,11,YPR086W
61,11,YDR289C
62,11,YDR404C
63,11,YDL108W
64,11,YKL028W
65,11,YPR161C
66,11,YKL005C
67,11,YKL139W
68,11,YPR025C
69,11,YGR186W
70,12,YBL022C
71,13,YOR210W
72,13,YKL125W
73,13,YLR243W
74,13,YNL113W
75,13,YJL148W
76,13,YPR187W
77,13,YJR063W
78,13,YHR143W-A
79,13,YDR156W
80,13,YFL023W
81,13,YKL144C
82,13,YDR045C
83,13,YJL011C
84,13,YBR154C
85,13,YOR224C
86,13,YDL115C
87,13,YPR110C
88,14,YJR052W
89,14,YIL143C
90,14,YOR352W
91,14,YER171W
92,14,YBR114W
93,14,YDR311W
94,14,YLR005W
95,15,YLR071C
96,15,YOL051W
97,15,YOL135C
98,15,YDR308C
99,15,YHR058C
100,15,YBL093C
101,15,YOR174W
102,15,YGL151W
103,15,YPR168W
104,15,YPR070W
105,15,YBR193C
106,15,YNL236W
107,15,YGL127C
108,15,YER022W
109,15,YNL025C
110,15,YCR081W
111,15,YMR112C
112,15,YHR041C
113,15,YDL005C
114,15,YDR443C
115,15,YNR010W
116,15,YBR253W
117,15,YGL025C
118,15,YGR104C
119,16,YDR397C
120,16,YNL039W
121,16,YNL151C
122,16,YML098W
123,16,YDR145W
124,16,YKR025W
125,16,YER159C
126,16,YPR190C
127,16,YBR123C
128,16,YDR167W
129,16,YPL011C
130,16,YML114C
131,16,YCR042C
132,16,YER148W
133,16,YGR246C
134,16,YDR362C
135,16,YDL150W
136,16,YAL001C
137,16,YNR003C
138,16,YMR227C
139,16,YBR198C
140,16,YMR236W
141,16,YOR110W
142,16,YPL007C
143,16,YOR207C
144,16,YOR116C
145,16,YGL112C
146,16,YPL082C
147,16,YML015C
148,16,YGR047C
149,16,YPR186C
150,16,YMR005W
151,17,YOL148C
152,17,YOR213C
153,17,YER164W
154,17,YJR082C
155,17,YDR448W
156,17,YBR081C
157,17,YGL066W
158,17,YCR082W
159,17,YMR127C
160,17,YPL254W
161,17,YOR244W
162,17,YLR055C
163,17,YBR111W-A
164,17,YHR090C
165,17,YMR223W
166,17,YDR392W
167,17,YCL010C
168,17,YOR023C
169,17,YPL047W
170,17,YDR176W
171,17,YGR252W
172,18,YPR066W
173,18,YJL047C
174,18,YPL046C
175,18,YOL133W
176,18,YNL230C
177,18,YPR164W
178,18,YLR306W
179,18,YLR320W
180,19,YPL042C
181,19,YOL128C
182,20,YMR312W
183,20,YPL086C
184,20,YLR384C
185,20,YHR187W
186,20,YKL110C
187,20,YGR200C
188,20,YPL101W
189,20,YGL211W
190,21,YMR186W
191,21,YGR123C
192,21,YOR298C-A
193,21,YBR155W
194,21,YJR032W
195,21,YDR168W
196,21,YDR214W
197,21,YLR216C
198,21,YOR057W
199,21,YPL240C
200,21,YNL281W
201,21,YKL117W
202,21,YOR027W
203,22,YLR455W
204,22,YGL150C
205,22,YDL002C
206,22,YPR031W
207,22,YPL129W
208,22,YOR064C
209,22,YKL017C
210,23,YBR089C-A
211,23,YML069W
212,23,YGL207W
213,23,YGR270W
214,24,YJL006C
215,24,YML112W
216,25,YFR016C
217,25,YOL145C
218,26,YJR035W
219,26,YDR030C
220,26,YKL054C
221,27,YNL035C
222,27,YCR057C
223,28,YKL126W
224,28,YHR205W
225,28,YDR005C
226,29,YNL248C
227,29,YIL019W
228,29,YDR365C
229,29,YIL091C
230,29,YGL120C
231,29,YGL171W
232,29,YDR412W
233,29,YLR222C
234,29,YOL010W
235,29,YOR145C
236,29,YGL111W
237,29,YBR142W
238,29,YKL172W
239,29,YMR014W
240,29,YLR409C
241,29,YJL069C
242,29,YDR299W
243,29,YJR091C
244,29,YIR012W
245,29,YJL010C
246,29,YLR129W
247,29,YPR137W
248,29,YHR065C
249,29,YOR272W
250,29,YOL080C
251,29,YHR197W
252,29,YGR251W
253,29,YLL008W
254,29,YKL099C
255,29,YBL004W
256,29,YHR085W
257,29,YNL132W
258,29,YDL063C
259,29,YER127W
260,29,YOR119C
261,29,YDL167C
262,29,YLR196W
263,29,YNR038W
264,29,YIL127C
265,29,YMR290C
266,29,YPL126W
267,29,YHR052W
268,29,YDR361C
269,29,YMR093W
270,29,YCL031C
271,29,YFR001W
272,29,YMR128W
273,29,YER082C
274,29,YNL075W
275,29,YPL012W
276,29,YER036C
277,29,YLL011W
278,29,YDR161W
279,29,YNL227C
280,29,YDL060W
281,29,YKL014C
282,29,YNL112W
283,29,YOR287C
284,29,YGL029W
285,29,YER006W
286,29,YDR324C
287,29,YFL002C
288,29,YDR496C
289,29,YDL148C
290,29,YLR009W
291,29,YNR053C
292,29,YOL041C
293,29,YIL035C
294,29,YKL143W
295,29,YDR083W
296,29,YPL211W
297,29,YER126C
298,29,YNR054C
299,29,YMR229C
300,29,YPL146C
301,29,YDR312W
302,29,YPL266W
303,29,YPL226W
304,29,YNL308C
305,29,YJL033W
306,29,YDR087C
307,29,YJR002W
308,29,YOR206W
309,29,YCR087C-A
310,29,YDR449C
311,29,YKR060W
312,29,YNL110C
313,29,YGR128C
314,29,YOR056C
315,29,YGL014W
316,29,YLR276C
317,29,YDR398W
318,29,YGR245C
319,29,YOR294W
320,29,YPL043W
321,29,YHR169W
322,29,YKR024C
323,29,YHR170W
324,29,YGR081C
325,29,YHR066W
326,29,YNL207W
327,29,YNL182C
328,29,YDL051W
329,29,YGR090W
330,29,YOR061W
331,29,YAL025C
332,29,YGR271C-A
333,29,YHR088W
334,29,YLR003C
335,29,YER156C
336,29,YDL153C
337,29,YML074C
338,29,YBR247C
339,29,YGR280C
340,29,YAL059W
341,29,YOR340C
342,29,YBR267W
343,29,YLL034C
344,29,YBL028C
345,29,YPL217C
346,29,YLR106C
347,29,YKR081C
348,29,YKL009W
349,29,YLR435W
350,29,YNL175C
351,29,YGR103W
352,29,YER002W
353,29,YJL122W
354,29,YHR196W
355,29,YLR336C
356,29,YNL163C
357,29,YLR022C
358,29,YGR145W
359,29,YIR026C
360,29,YGL099W
361,29,YOR004W
362,29,YKL021C
363,29,YLR221C
364,29,YEL055C
365,29,YKR056W
366,29,YDR101C
367,29,YGR187C
368,29,YNL224C
369,29,YMR131C
370,29,YKL082C
371,29,YLR074C
372,29,YDR194C
373,29,YMR269W
374,29,YJL109C
375,29,YCL054W
376,29,YPR112C
377,29,YGL078C
378,29,YNL061W
379,29,YCL059C
380,29,YOL077C
381,29,YML093W
382,29,YLR449W
383,29,YJR041C
384,29,YBR192W
385,29,YKR092C
386,29,YDR184C
387,29,YPL093W
388,29,YLR051C
389,29,YGR159C
390,29,YDL031W
391,29,YPR143W
392,29,YPR144C
393,29,YCR072C
394,29,YDR060W
395,29,YLR002C
396,30,YGR095C
397,30,YNR024W
398,30,YGR158C
399,30,YHR069C
400,30,YMR239C
401,30,YOL021C
402,30,YGR195W
403,30,YMR287C
404,30,YPR189W
405,30,YDR374C
406,30,YNL299W
407,30,YDR280W
408,30,YDL111C
409,30,YCR035C
410,30,YIL079C
411,30,YNL232W
412,30,YDL175C
413,30,YJL050W
414,30,YOR001W
415,30,YOL115W
416,30,YOL142W
417,30,YHR081W
418,30,YLR398C
419,31,YMR049C
420,31,YLR401C
421,32,YPR010C
422,32,YPL263C
423,32,YOR341W
424,33,YPL207W
425,33,YHR070W
426,33,YOL141W
427,33,YGL050W
428,34,YHR128W
429,34,YDR400W
430,34,YDR020C
431,35,YMR271C
432,35,YNR012W
433,35,YDR007W
434,35,YOR128C
435,35,YKL024C
436,35,YLR014C
437,35,YEL063C
438,35,YKL216W
439,35,YLR420W
440,35,YML106W
441,35,YEL021W
442,36,YER005W
443,37,YLR245C
444,38,YNL002C
445,38,YDR012W
446,38,YLR061W
447,38,YGR169C-A
448,38,YLR048W
449,38,YDR429C
450,38,YJR145C
451,38,YMR143W
452,38,YPR016C
453,38,YGR054W
454,38,YLR264W
455,38,YDR450W
456,38,YGR085C
457,38,YNL162W
458,38,YHL015W
459,38,YDR447C
460,38,YGL076C
461,38,YMR116C
462,38,YJR123W
463,38,YGL189C
464,38,YDL083C
465,38,YJL190C
466,38,YPR132W
467,38,YLR448W
468,38,YCR031C
469,38,YLR344W
470,38,YBR191W
471,38,YOR063W
472,38,YAL035W
473,38,YOL040C
474,38,YGL030W
475,38,YJL136C
476,38,YER056C-A
477,38,YKL056C
478,38,YGR118W
479,38,YLL045C
480,38,YDL130W
481,38,YBR084C-A
482,38,YLR150W
483,38,YKL156W
484,38,YDR417C
485,38,YPL037C
486,38,YDL082W
487,38,YNL096C
488,38,YGR027C
