,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,Q0092
3,0,Q0297
4,0,Q0010
5,0,Q0143
6,0,Q0032
7,0,Q0142
8,1,YOR196C
9,1,YER048W-A
10,1,YOR226C
11,1,YJR122W
12,1,YPL252C
13,1,YPR067W
14,1,YLR369W
15,1,YAL046C
16,1,YPL059W
17,1,YAL044W-A
18,1,YPL135W
19,1,YKL040C
20,1,YMR301C
21,1,YCL017C
22,1,YLL027W
23,1,YDL120W
24,1,YGL018C
25,2,YFL016C
26,2,YJR045C
27,2,YNL310C
28,2,YEL030W
29,2,YOR232W
30,3,YOR151C
31,3,YKR062W
32,3,YKL160W
33,3,YDR308C
34,3,YJL011C
35,3,YKR025W
36,3,YOR174W
37,3,YPR187W
38,3,YDR045C
39,3,YOR210W
40,3,YFR016C
41,3,YER022W
42,3,YER171W
43,3,YGR005C
44,3,YMR112C
45,3,YJL140W
46,3,YDR289C
47,3,YKL028W
48,3,YGL025C
49,3,YLR243W
50,3,YMR039C
51,3,YBR279W
52,3,YHR143W-A
53,3,YOR224C
54,3,YBR114W
55,3,YJR052W
56,3,YOR194C
57,3,YOR352W
58,3,YGL151W
59,3,YER139C
60,3,YPR168W
61,3,YBR154C
62,3,YJR017C
63,3,YNL113W
64,3,YPL228W
65,3,YOL005C
66,3,YOR123C
67,3,YLR005W
68,3,YCR081W
69,3,YPL122C
70,3,YJR063W
71,3,YNR010W
72,3,YDR156W
73,3,YGR186W
74,3,YGR063C
75,3,YLR071C
76,3,YLR226W
77,3,YGL130W
78,3,YJL148W
79,3,YKL144C
80,3,YJL006C
81,3,YLR418C
82,3,YDR311W
83,3,YMR277W
84,3,YGL244W
85,3,YML010W
86,3,YHR041C
87,3,YKL058W
88,3,YDR443C
89,3,YGR208W
90,3,YOL145C
91,3,YKL005C
92,3,YBR253W
93,3,YKL139W
94,3,YPR025C
95,3,YER161C
96,3,YGR104C
97,3,YPR133C
98,3,YIL143C
99,3,YOL051W
100,3,YOL135C
101,3,YHR058C
102,3,YDL115C
103,3,YBL093C
104,3,YPR056W
105,3,YPL042C
106,3,YDR079C-A
107,3,YBR236C
108,3,YPR070W
109,3,YGL043W
110,3,YDL140C
111,3,YBR193C
112,3,YDR460W
113,3,YGR116W
114,3,YNL236W
115,3,YGL070C
116,3,YGL127C
117,3,YIL021W
118,3,YNL025C
119,3,YDL005C
120,3,YPR086W
121,3,YDR404C
122,3,YDL108W
123,3,YPR161C
124,3,YPR110C
125,4,YIL070C
126,4,YPL159C
127,4,YNL295W
128,4,YBL022C
129,5,YDR397C
130,5,YOL148C
131,5,YNL039W
132,5,YNL151C
133,5,YML098W
134,5,YER164W
135,5,YDR145W
136,5,YER159C
137,5,YPR190C
138,5,YBR123C
139,5,YDR167W
140,5,YPL011C
141,5,YML114C
142,5,YDL070W
143,5,YBR081C
144,5,YCR042C
145,5,YGL066W
146,5,YER148W
147,5,YGR246C
148,5,YDR362C
149,5,YDL150W
150,5,YLR055C
151,5,YBR111W-A
152,5,YAL001C
153,5,YNR003C
154,5,YMR223W
155,5,YMR227C
156,5,YDR392W
157,5,YBR198C
158,5,YMR236W
159,5,YOR110W
160,5,YPL007C
161,5,YOR207C
162,5,YOR116C
163,5,YGL112C
164,5,YPL047W
165,5,YPL082C
166,5,YML015C
167,5,YGR047C
168,5,YGR274C
169,5,YPR186C
170,5,YMR005W
171,6,YJR033C
172,6,YPL003W
173,6,YOL117W
174,6,YDR054C
175,6,YJR090C
176,6,YOL133W
177,6,YLR306W
178,6,YBR280C
179,6,YLR320W
180,6,YIL071C
181,6,YDR202C
182,6,YLR352W
183,6,YIL046W
184,6,YMR025W
185,6,YLR097C
186,6,YOL025W
187,6,YGR003W
188,6,YLR128W
189,6,YDR139C
190,6,YDL132W
191,6,YMR258C
192,6,YPR066W
193,6,YJL047C
194,6,YOR080W
195,6,YER066W
196,6,YNL230C
197,6,YIL001W
198,6,YDR306C
199,6,YER143W
200,6,YLR368W
201,6,YDR179C
202,6,YNL311C
203,6,YPL046C
204,6,YDR328C
205,6,YJL149W
206,6,YGR140W
207,6,YPR164W
208,6,YFL009W
209,6,YML088W
210,6,YDL216C
211,6,YMR094W
212,6,YMR168C
213,7,YHR111W
214,7,YNR046W
215,7,YIL008W
216,7,YMR312W
217,7,YPL086C
218,7,YLR384C
219,7,YHR187W
220,7,YML014W
221,7,YNL119W
222,7,YKL110C
223,7,YGR200C
224,7,YPL101W
225,7,YGL211W
226,8,YBR044C
227,8,YLL026W
228,8,YDL229W
229,8,YJR032W
230,8,YOR020C
231,8,YBR101C
232,8,YMR186W
233,8,YIL016W
234,8,YJL144W
235,8,YOR298C-A
236,8,YLR090W
237,8,YLR216C
238,8,YOR057W
239,8,YPL240C
240,8,YNL064C
241,8,YKL117W
242,8,YNL077W
243,8,YDR214W
244,8,YNL007C
245,8,YNL281W
246,8,YDR258C
247,8,YOR027W
248,8,YGR123C
249,8,YGR285C
250,8,YBR155W
251,8,YDR168W
252,8,YGR268C
253,8,YBR169C
254,9,YFL024C
255,9,YML041C
256,9,YLR399C
257,9,YPL235W
258,9,YNL094W
259,9,YHR161C
260,9,YPR085C
261,9,YJR082C
262,9,YIR006C
263,9,YGR002C
264,9,YGR099W
265,9,YNL107W
266,9,YBR108W
267,9,YDL002C
268,9,YLR385C
269,9,YNL215W
270,9,YPR171W
271,9,YFL013C
272,9,YKL013C
273,9,YIL104C
274,9,YOR244W
275,9,YLL050C
276,9,YBR038W
277,9,YIL034C
278,9,YNL020C
279,9,YJR065C
280,9,YOR023C
281,9,YNL152W
282,9,YER092W
283,9,YKL129C
284,9,YGR241C
285,9,YDR176W
286,9,YDR063W
287,9,YDR320C
288,9,YDR359C
289,9,YNL243W
290,9,YDR388W
291,9,YOR213C
292,9,YHR099W
293,9,YHR034C
294,9,YLR052W
295,9,YPL242C
296,9,YLR370C
297,9,YDR448W
298,9,YOR189W
299,9,YOR239W
300,9,YMR032W
301,9,YOR181W
302,9,YOR367W
303,9,YPR154W
304,9,YPL129W
305,9,YAL011W
306,9,YMR192W
307,9,YNL138W
308,9,YFL039C
309,9,YCL010C
310,9,YNL079C
311,9,YMR092C
312,9,YDL146W
313,9,YNR035C
314,9,YDL029W
315,9,YNL084C
316,9,YKR001C
317,9,YKR090W
318,9,YIL159W
319,9,YPR031W
320,9,YIL138C
321,9,YOR141C
322,9,YKL033W
323,9,YGL150C
324,9,YPR023C
325,9,YCR082W
326,9,YJR136C
327,9,YMR127C
328,9,YIL062C
329,9,YIL095W
330,9,YKL017C
331,9,YLR144C
332,9,YGL106W
333,9,YHR040W
334,9,YOR064C
335,9,YCR088W
336,9,YLR455W
337,9,YJL020C
338,9,YGR252W
339,9,YHR114W
340,9,YHR023W
341,9,YEL018W
342,9,YCR060W
343,9,YKL007W
344,9,YNL059C
345,9,YDR129C
346,9,YEL044W
347,9,YNL136W
348,9,YCR009C
349,9,YOR122C
350,9,YBL052C
351,9,YLR337C
352,9,YJL081C
353,9,YGR136W
354,9,YDL117W
355,9,YPL254W
356,9,YDR181C
357,9,YHR090C
358,9,YGR080W
359,9,YDR334W
360,9,YBL007C
361,9,YDR190C
362,9,YDR485C
363,9,YLR085C
364,9,YBL047C
365,9,YBR231C
366,9,YOR035C
367,9,YPL193W
368,9,YMR109W
369,9,YBR234C
370,9,YLR429W
371,10,YDR440W
372,10,YGR270W
373,10,YJL168C
374,10,YLL002W
375,10,YOL012C
376,10,YGL131C
377,10,YBR009C
378,10,YBL003C
379,10,YBR010W
380,10,YER169W
381,10,YBR195C
382,10,YML102W
383,10,YOL054W
384,10,YOR038C
385,10,YBR089C-A
386,10,YPR018W
387,10,YHR119W
388,10,YDR225W
389,10,YNL206C
390,10,YNL246W
391,10,YNL030W
392,10,YLL022C
393,10,YEL056W
394,10,YDR469W
395,10,YMR176W
396,10,YAR003W
397,10,YJR119C
398,10,YPL001W
399,10,YBR175W
400,10,YDR224C
401,10,YPR052C
402,10,YJL115W
403,10,YDR096W
404,10,YPL138C
405,10,YER051W
406,10,YBR258C
407,10,YML069W
408,10,YLR442C
409,10,YPL127C
410,10,YBR215W
411,10,YNL031C
412,10,YDL139C
413,10,YGL060W
414,10,YJR140C
415,10,YBL008W
416,10,YLR015W
417,10,YBL002W
418,10,YGL207W
419,11,YJR035W
420,11,YDR030C
421,11,YKL054C
422,12,YNL248C
423,12,YIL019W
424,12,YDR365C
425,12,YIL091C
426,12,YGL120C
427,12,YGL171W
428,12,YDR412W
429,12,YLR222C
430,12,YOL010W
431,12,YOR145C
432,12,YCR051W
433,12,YGL111W
434,12,YBR142W
435,12,YKL172W
436,12,YOL022C
437,12,YMR014W
438,12,YLR409C
439,12,YJL069C
440,12,YDR299W
441,12,YMR239C
442,12,YIR012W
443,12,YML080W
444,12,YJR091C
445,12,YJL010C
446,12,YLR129W
447,12,YPR137W
448,12,YHR065C
449,12,YOR272W
450,12,YOL080C
451,12,YHR197W
452,12,YGR251W
453,12,YLL008W
454,12,YKL099C
455,12,YBL004W
456,12,YOR046C
457,12,YHR085W
458,12,YNL132W
459,12,YDL063C
460,12,YER127W
461,12,YOR119C
462,12,YLR175W
463,12,YDL167C
464,12,YLR196W
465,12,YNR038W
466,12,YNL124W
467,12,YIL127C
468,12,YMR290C
469,12,YPL126W
470,12,YHR052W
471,12,YKL078W
472,12,YDR361C
473,12,YCR057C
474,12,YMR093W
475,12,YPL263C
476,12,YCL031C
477,12,YPR169W
478,12,YFR001W
479,12,YMR128W
480,12,YER082C
481,12,YLR401C
482,12,YNL075W
483,12,YDR339C
484,12,YPL012W
485,12,YER036C
486,12,YLL011W
487,12,YDR161W
488,12,YNL227C
489,12,YDL060W
