,cluster,protein,degree,betweenness_centrality,eigenvector_centrality,degree_centrality
148,16,YGR090W,123,0.002,0.082,0.612
149,16,YNL308C,142,0.003,0.093,0.706
150,16,YPL126W,129,0.002,0.086,0.642
151,16,YPR112C,124,0.002,0.085,0.617
152,16,YGL120C,129,0.002,0.086,0.642
153,16,YOR145C,137,0.003,0.090,0.682
154,16,YPR143W,116,0.002,0.077,0.577
155,16,YPL266W,132,0.002,0.089,0.657
156,16,YER126C,127,0.003,0.082,0.632
157,16,YML093W,134,0.004,0.089,0.667
158,16,YIL091C,129,0.002,0.088,0.642
159,16,YBR142W,122,0.002,0.083,0.607
160,16,YFL002C,132,0.002,0.089,0.657
161,16,YLL011W,129,0.002,0.087,0.642
162,16,YLR002C,138,0.003,0.089,0.687
163,16,YNR053C,128,0.004,0.083,0.637
164,16,YER082C,141,0.003,0.093,0.701
165,16,YOR287C,109,0.002,0.071,0.542
166,16,YHR065C,116,0.002,0.080,0.577
167,16,YJL069C,133,0.002,0.089,0.662
168,17,YDR005C,1,0.000,0.707,0.500
169,17,YKL126W,0,0.000,0.000,0.000
170,17,YHR205W,1,0.000,0.707,0.500
171,18,YDL111C,17,0.004,0.237,0.630
172,18,YDL175C,8,0.004,0.065,0.296
173,18,YIL079C,8,0.004,0.065,0.296
174,18,YOL115W,9,0.011,0.077,0.333
175,18,YGR095C,18,0.006,0.246,0.667
176,18,YDR280W,17,0.004,0.237,0.630
177,18,YGR158C,18,0.006,0.246,0.667
178,18,YGR195W,18,0.006,0.246,0.667
179,19,YPL207W,4,0.000,0.447,1.000
180,19,YGL050W,4,0.000,0.447,1.000
181,19,YOL141W,4,0.000,0.447,1.000
182,19,YML005W,4,0.000,0.447,1.000
183,19,YHR070W,4,0.000,0.447,1.000
184,20,YOR128C,4,0.000,0.174,0.333
185,20,YNR012W,3,0.000,0.166,0.250
186,20,YLR014C,5,0.004,0.298,0.417
187,20,YMR271C,4,0.000,0.253,0.333
188,20,YKL216W,6,0.013,0.344,0.500
189,20,YDR020C,3,0.000,0.166,0.250
190,20,YEL063C,4,0.000,0.174,0.333
191,20,YOR202W,4,0.000,0.174,0.333
192,20,YML106W,6,0.013,0.344,0.500
193,20,YLR420W,5,0.004,0.307,0.417
194,20,YDR007W,4,0.000,0.174,0.333
195,21,YER005W,0,0.000,1.000,1.000
196,22,YLR245C,3,0.083,0.470,0.750
197,22,YDR400W,3,0.083,0.470,0.750
198,23,YKL156W,147,0.001,0.083,0.913
199,23,YHR021C,146,0.001,0.083,0.907
200,23,YGL189C,151,0.001,0.085,0.938
201,23,YML063W,150,0.001,0.084,0.932
202,23,YHR203C,150,0.001,0.084,0.932
203,23,YDL136W,144,0.001,0.083,0.894
204,23,YPL131W,151,0.001,0.085,0.938
205,23,YNL162W,147,0.001,0.084,0.913
206,23,YER131W,150,0.001,0.084,0.932
207,23,YOR182C,149,0.001,0.084,0.925
208,23,YGR027C,151,0.001,0.085,0.938
209,23,YDL082W,148,0.001,0.084,0.919
210,23,YKR094C,143,0.001,0.082,0.888
211,23,YPL081W,150,0.001,0.084,0.932
212,23,YDR450W,150,0.001,0.084,0.932
213,23,YOL121C,148,0.001,0.083,0.919
214,23,YLR029C,149,0.001,0.084,0.925
215,23,YDR012W,146,0.001,0.083,0.907
216,23,YNL302C,146,0.001,0.083,0.907
217,23,YIL148W,142,0.001,0.082,0.882
218,23,YBL092W,147,0.001,0.083,0.913
219,23,YGL103W,148,0.001,0.084,0.919
220,23,YIL069C,150,0.001,0.084,0.932
221,23,YDR025W,150,0.001,0.084,0.932
222,23,YER117W,144,0.001,0.083,0.894
223,23,YLR048W,147,0.001,0.083,0.913
224,23,YLR325C,147,0.001,0.083,0.913
225,23,YFR031C-A,147,0.001,0.084,0.913
226,23,YBL027W,146,0.001,0.083,0.907
227,23,YBL087C,144,0.001,0.083,0.894
228,23,YPR132W,150,0.001,0.084,0.932
229,23,YOL127W,146,0.001,0.083,0.907
230,23,YGL031C,145,0.001,0.083,0.901
231,23,YBR189W,148,0.001,0.084,0.919
232,23,YKR057W,150,0.001,0.084,0.932
233,23,YAL035W,121,0.001,0.068,0.752
234,23,YOR293W,151,0.001,0.085,0.938
235,23,YLR287C-A,149,0.001,0.084,0.925
236,23,YDL191W,144,0.001,0.083,0.894
237,23,YJL191W,150,0.001,0.084,0.932
238,24,YKL081W,1,0.000,0.500,0.500
239,24,YPL048W,1,0.000,0.500,0.500
240,25,YBR118W,1,0.000,0.707,1.000
241,25,YGR211W,1,0.000,0.707,1.000
242,26,YJR113C,70,0.006,0.131,0.854
243,26,YML009C,57,0.004,0.109,0.695
244,26,YBR268W,37,0.004,0.074,0.451
245,26,YDR175C,60,0.003,0.115,0.732
246,26,YML025C,59,0.004,0.112,0.720
247,26,YCR003W,68,0.004,0.129,0.829
248,26,YPR166C,72,0.006,0.135,0.878
249,26,YNL306W,69,0.005,0.131,0.841
250,26,YMR188C,63,0.005,0.119,0.768
251,26,YGR215W,66,0.004,0.126,0.805
252,26,YJR101W,63,0.005,0.119,0.768
253,26,YNR036C,62,0.003,0.118,0.756
254,26,YNL177C,67,0.004,0.128,0.817
255,26,YDR237W,67,0.005,0.127,0.817
256,26,YDR041W,68,0.006,0.127,0.829
257,26,YER050C,70,0.005,0.132,0.854
258,26,YDL045W-A,65,0.004,0.125,0.793
259,26,YMR024W,63,0.003,0.122,0.768
260,26,YBL090W,67,0.004,0.127,0.817
261,26,YOR150W,69,0.004,0.131,0.841
262,26,YLR439W,68,0.005,0.129,0.829
263,27,YER025W,3,0.000,0.500,1.000
264,27,YPR041W,3,0.000,0.500,1.000
265,27,YJR007W,3,0.000,0.500,1.000
266,27,YPL237W,3,0.000,0.500,1.000
267,28,YGL087C,2,0.000,0.389,0.400
268,28,YER144C,1,0.000,0.214,0.200
269,28,YFR010W,2,0.000,0.389,0.400
270,28,YKL090W,1,0.000,0.214,0.200
271,29,YJR064W,0,0.000,1.000,1.000
272,30,YPR080W,0,0.000,1.000,1.000
273,31,YJL111W,6,0.000,0.378,1.000
274,31,YDL143W,6,0.000,0.378,1.000
275,31,YJL014W,6,0.000,0.378,1.000
276,31,YJL008C,6,0.000,0.378,1.000
277,31,YIL142W,6,0.000,0.378,1.000
278,31,YDR188W,6,0.000,0.378,1.000
279,31,YDR212W,6,0.000,0.378,1.000
280,32,YMR145C,30,0.010,0.174,0.625
281,32,YML120C,29,0.009,0.170,0.604
282,32,YMR256C,26,0.017,0.159,0.542
283,32,YKL141W,21,0.011,0.117,0.438
284,32,Q0120,29,0.014,0.162,0.604
285,32,YDL085W,28,0.012,0.159,0.583
286,32,YGR183C,35,0.013,0.198,0.729
287,32,YGL187C,34,0.017,0.190,0.708
288,32,Q0275,31,0.021,0.172,0.646
289,32,Q0045,29,0.010,0.170,0.604
290,32,YDR529C,36,0.019,0.199,0.750
291,32,YGL191W,30,0.009,0.174,0.625
292,32,YFR033C,35,0.015,0.197,0.729
293,33,YKL087C,1,0.000,0.177,0.167
294,33,YBR024W,2,0.000,0.341,0.333
295,33,YER141W,4,0.167,0.515,0.667
296,33,YBR037C,2,0.000,0.341,0.333
297,33,YDR305C,1,0.000,0.121,0.167
298,34,YLR067C,0,0.000,1.000,1.000
299,35,YPL189C-A,1,0.000,0.114,0.200
300,35,YML129C,4,0.000,0.440,0.800
301,35,YLR203C,4,0.000,0.440,0.800
302,35,YIL157C,4,0.000,0.440,0.800
303,35,YJL062W-A,4,0.000,0.440,0.800
304,36,Q0115,3,0.167,0.557,1.000
305,36,Q0075,3,0.167,0.557,1.000
306,37,YPL234C,22,0.005,0.193,0.710
307,37,YML081C-A,24,0.019,0.195,0.774
308,37,YEL051W,23,0.008,0.200,0.742
309,37,YOR332W,22,0.005,0.193,0.710
310,37,YBR127C,21,0.006,0.183,0.677
311,37,Q0085,24,0.019,0.194,0.774
312,37,YHR039C-A,22,0.005,0.193,0.710
313,37,YDL185W,22,0.007,0.192,0.710
314,37,YBR039W,26,0.019,0.215,0.839
315,38,Q0055,1,0.000,0.707,1.000
316,38,Q0110,1,0.000,0.707,1.000
317,39,YLL018C-A,3,0.167,0.557,1.000
318,39,YLL009C,3,0.167,0.557,1.000
319,40,YDL069C,1,0.000,0.707,1.000
320,40,YDR197W,1,0.000,0.707,1.000
321,41,YGR174C,1,0.000,0.500,0.500
322,41,YBR120C,1,0.000,0.500,0.500
323,42,YGR062C,2,0.000,0.577,1.000
324,42,YDL107W,2,0.000,0.577,1.000
325,42,YOR266W,2,0.000,0.577,1.000
326,43,YEL059C-A,1,0.000,0.707,1.000
327,43,YDR231C,1,0.000,0.707,1.000
328,44,YDR296W,1,0.000,0.707,1.000
329,44,YKL011C,1,0.000,0.707,1.000
330,45,YDR224C,14,0.012,0.217,0.467
331,45,YDR225W,13,0.009,0.206,0.433
332,45,YBL003C,12,0.005,0.194,0.400
333,45,YEL056W,13,0.008,0.214,0.433
334,45,YOR038C,9,0.005,0.122,0.300
335,45,YLL022C,9,0.002,0.161,0.300
336,45,YBR195C,11,0.005,0.176,0.367
337,45,YPR018W,10,0.006,0.160,0.333
338,46,YBR166C,0,0.000,1.000,1.000
339,47,YBR289W,14,0.010,0.154,0.609
340,47,YJL176C,14,0.011,0.153,0.609
341,47,YOR290C,14,0.011,0.153,0.609
342,47,YCR052W,19,0.013,0.235,0.826
343,47,YFR037C,19,0.014,0.234,0.826
344,47,YLR321C,18,0.009,0.227,0.783
345,48,YCR053W,4,0.000,0.447,1.000
346,48,YER052C,4,0.000,0.447,1.000
347,48,YDR158W,4,0.000,0.447,1.000
348,48,YJR139C,4,0.000,0.447,1.000
349,48,YHR025W,4,0.000,0.447,1.000
350,49,YAL043C,18,0.007,0.240,0.545
351,49,YKL059C,18,0.007,0.240,0.545
352,49,YGL044C,18,0.007,0.240,0.545
353,49,YDR228C,18,0.007,0.240,0.545
354,49,YKL018W,17,0.003,0.231,0.515
355,49,YKR002W,17,0.004,0.229,0.515
356,49,YLR115W,18,0.007,0.240,0.545
357,49,YNL222W,17,0.003,0.231,0.515
358,49,YJR093C,17,0.003,0.231,0.515
359,49,YNL317W,17,0.004,0.229,0.515
360,49,YLR277C,18,0.007,0.240,0.545
361,49,YML057W,7,0.003,0.021,0.212
362,49,YDR301W,18,0.007,0.240,0.545
363,49,YPR107C,18,0.007,0.240,0.545
364,49,YDR195W,17,0.003,0.231,0.515
365,49,YOR179C,17,0.003,0.231,0.515
366,50,YPL138C,6,0.000,0.378,1.000
367,50,YBR175W,6,0.000,0.378,1.000
368,50,YLR015W,6,0.000,0.378,1.000
369,50,YHR119W,6,0.000,0.378,1.000
370,50,YDR469W,6,0.000,0.378,1.000
371,50,YBR258C,6,0.000,0.378,1.000
372,50,YAR003W,6,0.000,0.378,1.000
373,51,YFL013C,19,0.001,0.184,0.260
374,51,YGR080W,10,0.005,0.044,0.137
375,51,YOR189W,19,0.001,0.183,0.260
376,51,YOR122C,16,0.004,0.063,0.219
377,51,YGL150C,21,0.003,0.194,0.288
378,51,YJL020C,9,0.002,0.024,0.123
379,51,YLR370C,10,0.005,0.043,0.137
380,51,YNL059C,17,0.002,0.159,0.233
381,51,YMR092C,11,0.005,0.045,0.151
382,51,YIL159W,10,0.001,0.045,0.137
383,51,YBR234C,9,0.002,0.042,0.123
384,51,YOR141C,13,0.001,0.120,0.178
385,51,YDR485C,20,0.002,0.194,0.274
386,51,YLR052W,20,0.001,0.192,0.274
387,51,YPR023C,16,0.001,0.131,0.219
388,51,YDL002C,19,0.001,0.184,0.260
389,51,YDR334W,22,0.005,0.206,0.301
390,51,YIL034C,11,0.001,0.051,0.151
391,52,YNL138W-A,55,0.005,0.122,0.591
392,52,YGR129W,55,0.007,0.118,0.591
393,52,YDR473C,48,0.005,0.104,0.516
394,52,YPL151C,51,0.003,0.114,0.548
395,52,YOR319W,64,0.009,0.135,0.688
396,52,YBR065C,50,0.003,0.112,0.538
397,52,YGL174W,47,0.003,0.107,0.505
398,52,YGR013W,34,0.005,0.073,0.366
399,52,YPR094W,61,0.007,0.131,0.656
400,52,YER013W,40,0.003,0.088,0.430
401,52,YPR101W,42,0.005,0.090,0.452
402,52,YAL032C,54,0.005,0.119,0.581
403,52,YDL209C,52,0.010,0.112,0.559
404,52,YDR416W,61,0.009,0.130,0.656
405,52,YGR006W,49,0.006,0.101,0.527
406,52,YKR086W,40,0.003,0.086,0.430
407,52,YNR011C,46,0.007,0.105,0.495
408,52,YDL030W,62,0.007,0.133,0.667
409,52,YBR055C,43,0.003,0.093,0.462
410,52,YDL087C,37,0.005,0.082,0.398
411,52,YIR005W,47,0.003,0.109,0.505
412,52,YIR009W,65,0.009,0.137,0.699
413,52,YDR163W,49,0.003,0.109,0.527
414,53,YOR184W,1,0.000,0.707,1.000
415,53,YGR208W,1,0.000,0.707,1.000
416,54,YMR125W,1,0.000,0.500,0.500
417,54,YPR057W,1,0.000,0.500,0.500
418,55,YMR201C,12,0.008,0.071,0.211
419,55,YPL024W,17,0.005,0.134,0.298
420,55,YGL163C,28,0.015,0.202,0.491
421,55,YLR234W,20,0.006,0.153,0.351
422,55,YKL113C,26,0.014,0.188,0.456
423,55,YDR004W,23,0.009,0.174,0.404
424,55,YER173W,18,0.005,0.138,0.316
425,55,YOR144C,13,0.004,0.099,0.228
426,55,YHR154W,17,0.006,0.127,0.298
427,55,YPL167C,20,0.014,0.143,0.351
428,55,YBL088C,19,0.010,0.138,0.333
429,55,YCR066W,15,0.011,0.099,0.263
430,55,YLR032W,16,0.010,0.110,0.281
431,55,YMR224C,15,0.005,0.125,0.263
432,56,YMR061W,1,0.000,0.707,1.000
433,56,YBL051C,1,0.000,0.707,1.000
434,57,YDR370C,1,0.000,0.500,0.500
435,57,YGL246C,1,0.000,0.500,0.500
436,58,YJL168C,0,0.000,1.000,1.000
437,59,YDR300C,5,0.000,0.378,0.833
438,59,YHR033W,3,0.000,0.235,0.500
439,59,YER023W,5,0.000,0.378,0.833
440,59,YLR438W,6,0.067,0.415,1.000
441,59,YOR323C,6,0.067,0.415,1.000
442,59,YHR037W,6,0.067,0.415,1.000
443,59,YLR142W,5,0.000,0.378,0.833
444,60,YKL020C,1,0.000,0.116,0.056
445,60,YBL101C,2,0.000,0.195,0.111
446,60,YIR033W,1,0.000,0.116,0.056
447,60,YGR068C,1,0.000,0.116,0.056
448,60,YFR022W,2,0.000,0.195,0.111
449,60,YKR021W,3,0.000,0.242,0.167
450,60,YBR021W,1,0.000,0.116,0.056
451,60,YGR055W,1,0.000,0.079,0.056
452,60,YOR138C,1,0.000,0.116,0.056
453,60,YMR275C,3,0.000,0.249,0.167
454,60,YMR171C,1,0.000,0.116,0.056
455,60,YML111W,2,0.000,0.170,0.111
456,60,YOR018W,3,0.000,0.242,0.167
457,60,YPR030W,1,0.000,0.116,0.056
458,60,YPL176C,1,0.000,0.116,0.056
459,60,YLR392C,1,0.000,0.116,0.056
460,61,YMR100W,1,0.000,0.282,0.333
461,61,YDL074C,2,0.000,0.523,0.667
462,61,YPL055C,2,0.000,0.523,0.667
463,62,YJL197W,1,0.000,0.154,0.143
464,62,YJR099W,3,0.000,0.404,0.429
465,62,YDL122W,1,0.000,0.154,0.143
466,62,YBR058C,4,0.095,0.474,0.571
467,62,YHL013C,3,0.000,0.404,0.429
468,62,YNR051C,1,0.000,0.090,0.143
469,63,YJL002C,10,0.010,0.319,0.909
470,63,YOR103C,10,0.010,0.319,0.909
471,63,YDL232W,10,0.010,0.319,0.909
472,63,YEL002C,10,0.010,0.319,0.909
473,63,YGL022W,10,0.010,0.319,0.909
474,64,YMR138W,6,0.020,0.277,0.600
475,64,YOR265W,8,0.039,0.361,0.800
476,64,YOR349W,8,0.039,0.361,0.800
477,65,YOR262W,1,0.000,0.707,1.000
478,65,YDR527W,1,0.000,0.707,1.000
479,66,YPL087W,9,0.026,0.297,0.692
480,66,YKR053C,9,0.025,0.298,0.692
481,66,YJL134W,9,0.025,0.298,0.692
482,66,YLR260W,10,0.042,0.318,0.769
483,66,YOR171C,10,0.042,0.318,0.769
484,67,YDL114W,1,0.000,0.707,1.000
485,67,YDR541C,1,0.000,0.707,1.000
486,68,YJL100W,7,0.001,0.320,0.438
487,68,YNL128W,6,0.000,0.285,0.375
488,68,YBR058C-A,5,0.000,0.138,0.312
489,68,YPL268W,7,0.001,0.320,0.438
490,68,YDR062W,5,0.000,0.138,0.312
491,68,YOR109W,7,0.001,0.320,0.438
492,68,YLR350W,5,0.000,0.138,0.312
493,68,YNL106C,7,0.001,0.320,0.438
494,68,YDR372C,1,0.000,0.061,0.062
495,68,YHR073W,2,0.000,0.078,0.125
496,68,YGR038W,5,0.000,0.138,0.312
497,68,YJR110W,6,0.000,0.285,0.375
498,68,YMR296C,5,0.000,0.138,0.312
499,68,YOL065C,1,0.000,0.061,0.062
500,69,YOL088C,6,0.002,0.160,0.222
501,69,YHR079C,5,0.003,0.151,0.185
502,69,YGR284C,9,0.030,0.253,0.333
503,69,YDR518W,7,0.008,0.199,0.259
504,69,YHR204W,4,0.011,0.124,0.148
505,69,YDR086C,6,0.005,0.154,0.222
506,69,YPL094C,8,0.010,0.221,0.296
507,70,YDL020C,1,0.000,0.500,0.500
508,70,YGL017W,1,0.000,0.500,0.500
509,71,YML007W,2,0.000,0.577,1.000
510,71,YIR037W,2,0.000,0.577,1.000
511,71,YBR216C,2,0.000,0.577,1.000
512,72,YOR117W,39,0.007,0.170,0.886
513,72,YOR362C,37,0.006,0.164,0.841
514,72,YPR103W,37,0.006,0.164,0.841
515,72,YER094C,37,0.006,0.164,0.841
516,72,YDR394W,38,0.005,0.167,0.864
517,72,YOR261C,38,0.005,0.167,0.864
518,72,YDL007W,39,0.007,0.170,0.886
519,72,YHR200W,39,0.007,0.170,0.886
520,72,YKL145W,39,0.007,0.170,0.886
521,72,YDL147W,39,0.007,0.170,0.886
522,72,YLR421C,38,0.005,0.167,0.864
523,72,YBL041W,37,0.006,0.164,0.841
524,72,YGL011C,37,0.006,0.164,0.841
525,72,YGL048C,39,0.007,0.170,0.886
526,72,YOR259C,39,0.007,0.170,0.886
527,72,YHR027C,38,0.005,0.167,0.864
528,73,YJR066W,10,0.037,0.302,0.833
529,73,YHR186C,10,0.037,0.302,0.833
530,73,YJL058C,10,0.016,0.315,0.833
531,73,YNL006W,10,0.016,0.315,0.833
532,73,YOL078W,10,0.016,0.315,0.833
533,73,YMR068W,10,0.016,0.315,0.833
534,73,YER093C,10,0.016,0.315,0.833
535,74,YDR466W,1,0.000,0.707,1.000
536,74,YBL105C,1,0.000,0.707,1.000
537,75,YCR021C,2,0.000,0.577,1.000
538,75,YCR027C,2,0.000,0.577,1.000
539,75,YNL270C,2,0.000,0.577,1.000
540,76,YDL047W,0,0.000,1.000,1.000
541,77,YIL153W,12,0.019,0.296,0.571
542,77,YDR075W,11,0.010,0.281,0.524
543,77,YML109W,5,0.012,0.120,0.238
544,77,YMR028W,10,0.017,0.243,0.476
545,77,YPL152W,12,0.019,0.296,0.571
546,78,YDR211W,5,0.000,0.405,0.833
547,78,YOR260W,5,0.000,0.405,0.833
548,78,YDR283C,5,0.000,0.405,0.833
549,78,YGR083C,5,0.000,0.405,0.833
550,78,YGL230C,1,0.000,0.083,0.167
551,78,YKR026C,5,0.000,0.405,0.833
552,79,YGR249W,0,0.000,0.500,0.000
553,79,YGL073W,0,0.000,0.500,0.000
554,79,YJR147W,0,0.000,0.500,0.000
555,79,YHR206W,0,0.000,0.500,0.000
556,80,YNL223W,11,0.017,0.257,0.458
557,80,YPL149W,11,0.010,0.264,0.458
558,80,YPR185W,10,0.014,0.236,0.417
559,80,YBR217W,11,0.011,0.260,0.458
560,80,YLR423C,9,0.007,0.213,0.375
561,80,YPL166W,10,0.013,0.229,0.417
562,80,YDR022C,8,0.004,0.203,0.333
563,81,YKL033W,7,0.084,0.406,0.778
564,81,YCR060W,5,0.079,0.296,0.556
565,82,YML121W,4,0.167,0.510,1.000
566,82,YBR077C,3,0.000,0.439,0.750
567,82,YGR163W,4,0.167,0.510,1.000
568,82,YCR075W-A,3,0.000,0.439,0.750
569,82,YGL023C,2,0.000,0.307,0.500
570,83,YGL064C,1,0.000,0.226,0.167
571,83,YKR059W,1,0.000,0.226,0.167
572,83,YPL119C,2,0.000,0.347,0.333
573,83,YOR276W,2,0.000,0.347,0.333
574,83,YOR204W,2,0.000,0.347,0.333
575,83,YCL037C,2,0.000,0.347,0.333
576,84,YMR104C,1,0.000,0.707,1.000
577,84,YMR103C,1,0.000,0.707,1.000
578,85,YMR106C,6,0.033,0.405,1.000
