,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,Q0092
3,0,Q0297
4,0,Q0010
5,0,Q0143
6,0,Q0032
7,0,Q0142
8,1,YHR122W
9,1,YJR122W
10,1,YNL260C
11,1,YPL135W
12,1,YMR301C
13,1,YDR305C
14,1,YLL027W
15,1,YPL202C
16,1,YGL018C
17,1,YPL252C
18,1,YLR369W
19,1,YNL240C
20,1,YKL040C
21,1,YIL128W
22,1,YKR071C
23,1,YER174C
24,1,YDL120W
25,1,YLL029W
26,1,YER048W-A
27,1,YIL003W
28,1,YDR376W
29,1,YPR048W
30,1,YJR067C
31,1,YDR267C
32,1,YCL017C
33,1,YOR196C
34,1,YOR226C
35,1,YPR067W
36,1,YGL220W
37,1,YAL046C
38,1,YDR098C
39,1,YAL044W-A
40,1,YPL059W
41,1,YGL091C
42,2,YBR091C
43,2,YOR045W
44,2,YLR348C
45,2,YNL070W
46,2,YJR045C
47,2,YNL328C
48,2,YOL026C
49,2,YNR017W
50,2,YAL010C
51,2,YMR244C-A
52,2,YEL020W-A
53,2,YGR082W
54,2,YLR259C
55,2,YPR133W-A
56,2,YLL018C-A
57,2,YBR262C
58,2,YCL057C-A
59,2,YLR008C
60,2,YPL063W
61,2,YJR135W-A
62,2,YNL055C
63,2,YKR065C
64,2,YNR020C
65,2,YJL104W
66,2,YJR034W
67,2,YGR181W
68,2,YLR168C
69,2,YDR470C
70,2,YNL100W
71,2,YKL053C-A
72,2,YMR038C
73,2,YNL131W
74,2,YHR005C-A
75,2,YOL009C
76,2,YKL137W
77,2,YJL143W
78,2,YGR033C
79,2,YDR031W
80,2,YMR060C
81,2,YIL022W
82,2,YMR203W
83,2,YKL195W
84,2,YKL084W
85,2,YOR297C
86,2,YJL054W
87,2,YBL059C-A
88,2,YLR218C
89,2,YHR083W
90,2,YHR117W
91,2,YDR185C
92,2,YGR235C
93,2,YOR232W
94,2,YMR002W
95,2,YHR024C
96,2,YGL219C
97,2,YKR016W
98,2,YPL098C
99,2,YFR011C
100,2,YLL006W
101,2,YDL217C
102,2,YLL009C
103,2,YGR029W
104,2,YNL310C
105,2,YML054C
106,2,YMR056C
107,2,YHR194W
108,2,YNL121C
109,2,YNL026W
110,3,YOR151C
111,3,YKR062W
112,3,YNL039W
113,3,YKL160W
114,3,YNL151C
115,3,YDR308C
116,3,YJL011C
117,3,YKR025W
118,3,YOR174W
119,3,YPR187W
120,3,YDR045C
121,3,YGR246C
122,3,YOR210W
123,3,YDR362C
124,3,YFR016C
125,3,YAL001C
126,3,YER022W
127,3,YDR078C
128,3,YER171W
129,3,YGR005C
130,3,YPL007C
131,3,YMR112C
132,3,YJL140W
133,3,YDR289C
134,3,YKL028W
135,3,YGL025C
136,3,YLR243W
137,3,YMR039C
138,3,YDR397C
139,3,YBR279W
140,3,YHR143W-A
141,3,YLR376C
142,3,YOR224C
143,3,YBR114W
144,3,YJR052W
145,3,YOR194C
146,3,YOR352W
147,3,YGL151W
148,3,YER139C
149,3,YER148W
150,3,YPR168W
151,3,YBR154C
152,3,YJR017C
153,3,YNL113W
154,3,YFL029C
155,3,YGR258C
156,3,YPL228W
157,3,YOL005C
158,3,YOR123C
159,3,YLR005W
160,3,YCR081W
161,3,YPL122C
162,3,YJR063W
163,3,YNR010W
164,3,YDR156W
165,3,YGR186W
166,3,YGR063C
167,3,YLR071C
168,3,YLR226W
169,3,YGL130W
170,3,YER159C
171,3,YDR030C
172,3,YJL148W
173,3,YBR123C
174,3,YKL144C
175,3,YJL006C
176,3,YLR418C
177,3,YDR311W
178,3,YMR277W
179,3,YIL132C
180,3,YJR035W
181,3,YGL244W
182,3,YHL006C
183,3,YOR110W
184,3,YOR207C
185,3,YML010W
186,3,YHR041C
187,3,YKL058W
188,3,YDR443C
189,3,YPL082C
190,3,YOL145C
191,3,YKL139W
192,3,YBR253W
193,3,YPR025C
194,3,YPR186C
195,3,YGR104C
196,3,YER162C
197,3,YPR133C
198,3,YIL143C
199,3,YOL051W
200,3,YOL135C
201,3,YHR058C
202,3,YBL093C
203,3,YPR056W
204,3,YPR190C
205,3,YPL042C
206,3,YDR079C-A
207,3,YBR236C
208,3,YPR070W
209,3,YGL043W
210,3,YDL140C
211,3,YBR193C
212,3,YOL128C
213,3,YDR460W
214,3,YGR116W
215,3,YDL150W
216,3,YNL236W
217,3,YGL070C
218,3,YNR003C
219,3,YGL127C
220,3,YIL021W
221,3,YNL025C
222,3,YOR116C
223,3,YDL005C
224,3,YPR086W
225,3,YDR404C
226,3,YDL108W
227,3,YPR161C
228,3,YPR110C
229,3,YGR047C
230,3,YKL054C
231,4,YIL070C
232,4,YPL159C
233,4,YNL295W
234,4,YBL022C
235,5,YJR125C
236,5,YFL024C
237,5,YML041C
238,5,YLR399C
239,5,YPL235W
240,5,YNL094W
241,5,YHR161C
242,5,YNL106C
243,5,YDR145W
244,5,YPR085C
245,5,YJR082C
246,5,YIR006C
247,5,YGR002C
248,5,YGR099W
249,5,YML114C
250,5,YNL107W
251,5,YGL066W
252,5,YLR206W
253,5,YJR005W
254,5,YBR108W
255,5,YDL002C
256,5,YLR385C
257,5,YNL215W
258,5,YPR171W
259,5,YFL013C
260,5,YGR167W
261,5,YKL013C
262,5,YIL104C
263,5,YOR244W
264,5,YJL024C
265,5,YLL050C
266,5,YIL034C
267,5,YKL135C
268,5,YNL020C
269,5,YER060W-A
270,5,YJR065C
271,5,YOR023C
272,5,YER092W
273,5,YKR019C
274,5,YKL129C
275,5,YGR241C
276,5,YDR176W
277,5,YDR348C
278,5,YDR063W
279,5,YDR320C
280,5,YDR359C
281,5,YNL243W
282,5,YPR079W
283,5,YDR388W
284,5,YOR213C
285,5,YJR058C
286,5,YHR099W
287,5,YHR034C
288,5,YLR052W
289,5,YLR370C
290,5,YDR448W
291,5,YDR167W
292,5,YOR189W
293,5,YOR239W
294,5,YOR181W
295,5,YOR367W
296,5,YBR081C
297,5,YHL019C
298,5,YPR154W
299,5,YPL129W
300,5,YAL011W
301,5,YMR192W
302,5,YNL138W
303,5,YBR288C
304,5,YMR223W
305,5,YMR227C
306,5,YFL039C
307,5,YCL010C
308,5,YLR170C
309,5,YPL259C
310,5,YOR329C
311,5,YJL083W
312,5,YGL206C
313,5,YNL079C
314,5,YMR092C
315,5,YDL146W
316,5,YNR035C
317,5,YDL029W
318,5,YNL084C
319,5,YKR001C
320,5,YIL159W
321,5,YOL012C
322,5,YML098W
323,5,YPR031W
324,5,YBL037W
325,5,YPL011C
326,5,YIL138C
327,5,YOR141C
328,5,YDL070W
329,5,YCR042C
330,5,YKL033W
331,5,YGL150C
332,5,YPR023C
333,5,YDL161W
334,5,YCR082W
335,5,YDR153C
336,5,YJR136C
337,5,YMR127C
338,5,YIL062C
339,5,YIL095W
340,5,YKL017C
341,5,YLR144C
342,5,YLR055C
343,5,YHR016C
344,5,YDR392W
345,5,YHR040W
346,5,YOR064C
347,5,YCR088W
348,5,YPL047W
349,5,YJL207C
350,5,YLR455W
351,5,YJL020C
352,5,YKL005C
353,5,YGR274C
354,5,YPL195W
355,5,YGR252W
356,5,YOL148C
357,5,YHR114W
358,5,YGR261C
359,5,YEL018W
360,5,YDR358W
361,5,YER164W
362,5,YCR060W
363,5,YKL007W
364,5,YNL059C
365,5,YDR129C
366,5,YEL044W
367,5,YNL136W
368,5,YCR030C
369,5,YER060W
370,5,YHR108W
371,5,YCR009C
372,5,YOR122C
373,5,YBL052C
374,5,YJL081C
375,5,YLR337C
376,5,YGR136W
377,5,YPL254W
378,5,YBR111W-A
379,5,YDR181C
380,5,YHR090C
381,5,YIL002C
382,5,YGR080W
383,5,YDR334W
384,5,YBR198C
385,5,YMR236W
386,5,YBL007C
387,5,YDR190C
388,5,YDR485C
389,5,YOL062C
390,5,YPR029C
391,5,YGL112C
392,5,YLR085C
393,5,YML015C
394,5,YBL047C
395,5,YBR231C
396,5,YOR035C
397,5,YMR109W
398,5,YBR234C
399,5,YMR005W
400,5,YLR429W
401,6,YJR033C
402,6,YLR079W
403,6,YPL003W
404,6,YDR253C
405,6,YMR119W
406,6,YOL117W
407,6,YPL038W
408,6,YLL002W
409,6,YJR090C
410,6,YPR180W
411,6,YOL133W
412,6,YDR054C
413,6,YMR199W
414,6,YLR306W
415,6,YBR082C
416,6,YOL072W
417,6,YBR280C
418,6,YLR320W
419,6,YIL071C
420,6,YDR202C
421,6,YNL008C
422,6,YER116C
423,6,YLR352W
424,6,YIL046W
425,6,YMR025W
426,6,YJR060W
427,6,YNL103W
428,6,YGL087C
429,6,YLR097C
430,6,YOL025W
431,6,YGR003W
432,6,YLR128W
433,6,YDR139C
434,6,YDL132W
435,6,YMR258C
436,6,YPR066W
437,6,YEL012W
438,6,YJL047C
439,6,YOR080W
440,6,YPR045C
441,6,YER066W
442,6,YNL230C
443,6,YJR084W
444,6,YIL001W
445,6,YDR306C
446,6,YPL256C
447,6,YLR368W
448,6,YDR179C
449,6,YIR017C
450,6,YNL311C
451,6,YPL046C
452,6,YDR328C
453,6,YDR332W
454,6,YJL149W
455,6,YDL013W
456,6,YNL159C
457,6,YGR140W
458,6,YKL210W
459,6,YPR164W
460,6,YFL009W
461,6,YDR390C
462,6,YML088W
463,6,YDL216C
464,6,YMR094W
465,6,YMR168C
466,6,YOL095C
467,7,YJR097W
468,7,YIL103W
469,7,YIL008W
470,7,YLR172C
471,7,YER057C
472,7,YKL110C
473,7,YGR200C
474,7,YGL211W
475,7,YMR312W
476,7,YPL086C
477,7,YLR384C
478,7,YAL020C
479,7,YHR187W
480,7,YPL101W
481,7,YHR111W
482,7,YBR246W
483,7,YLR143W
484,7,YNR046W
485,7,YML014W
486,7,YNL119W
487,7,YKL191W
