,cluster,protein,Subgraph Centrality,Betweenness Centrality,Degree Centrality,Eigenvector Centrality
0,0,Q0010,30.834172524714823,0.11904761904761904,0.8571428571428571,0.4167996939304283
1,0,Q0017,27.13777861003248,0.0,0.7142857142857142,0.39063335900699525
2,0,Q0143,30.834172524714823,0.11904761904761904,0.8571428571428571,0.4167996939304283
3,0,Q0092,5.897583213345312,0.0,0.2857142857142857,0.16135101438550156
4,0,Q0182,27.13777861003247,0.0,0.7142857142857142,0.39063335900699525
5,0,Q0297,29.05886532280358,0.2857142857142857,0.8571428571428571,0.40329274439647084
6,0,Q0032,27.137778610032452,0.0,0.7142857142857142,0.39063335900699525
7,0,Q0142,2.3626425126332995,0.0,0.14285714285714285,0.0780613812693
8,1,YPL135W,36536.62428333021,0.006035353535353534,0.8125,0.24949839681275932
9,1,YCL017C,41500.114433466566,0.007655723905723906,0.875,0.26590688276938873
10,1,YDL120W,36478.91791712967,0.005046296296296296,0.8125,0.2492997951338334
11,1,YER048W-A,41500.114433466566,0.007655723905723906,0.875,0.26590688276938873
12,1,YGL018C,41500.114433466566,0.007655723905723906,0.875,0.26590688276938873
13,1,YJR122W,38060.580125140455,0.024924242424242425,0.875,0.2546473615548916
14,1,YKL040C,46897.139411250355,0.041544612794612794,1.0,0.2826699101235989
15,1,YLL027W,39978.54428700358,0.01622053872053872,0.875,0.26098700525630736
16,1,YLR369W,23271.88434248797,0.0006944444444444444,0.625,0.19911614680073178
17,1,YMR301C,23742.655077040698,0.0,0.625,0.20112105446608367
18,1,YOR196C,33022.47347855851,0.020416666666666666,0.8125,0.23719266549367857
19,1,YPL059W,46897.139411250355,0.041544612794612794,1.0,0.2826699101235989
20,1,YPL252C,41500.114433466566,0.007655723905723906,0.875,0.26590688276938873
21,1,YPR067W,46897.139411250355,0.041544612794612794,1.0,0.2826699101235989
22,1,YAL044W-A,7180.391387940315,0.0,0.375,0.1105727416351006
23,1,YAL046C,9748.24003909777,0.0013888888888888887,0.4375,0.12884575615077243
24,1,YOR226C,32236.67161471433,0.0033501683501683498,0.75,0.23435680465713143
25,2,YOR232W,7.472245278081518,0.1,0.8,0.5100364187624248
26,2,YDR376W,1.0,0.0,0.0,1.987534058494113e-07
27,2,YJR045C,5.820453410423052,0.0,0.6000000000000001,0.43904190094642087
28,2,YNL328C,5.820453410423047,0.0,0.6000000000000001,0.43904190094642087
29,2,YEL030W,3.5215224343071836,0.0,0.4,0.3069366734338985
30,2,YFL016C,7.4722452780815205,0.1,0.8,0.5100364187624248
31,3,YGL043W,2311285513699.2417,0.02151536620151211,0.42696629213483145,0.14421286219377014
32,3,YBR154C,3349150827416.9316,0.021521071954512895,0.4831460674157303,0.17359884932010441
33,3,YBR279W,122075408728.41733,2.3214783173925158e-05,0.10112359550561797,0.0331429118995525
34,3,YDL108W,1353125423830.3582,0.017834127739351332,0.348314606741573,0.11034314840671272
35,3,YDL140C,4980590666990.352,0.16889589418700238,0.7415730337078652,0.21169985324423984
36,3,YDR079C-A,2045409753191.9495,0.008006439436403117,0.3707865168539326,0.1356642886526551
