,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,Q0092
3,0,Q0297
4,0,Q0010
5,0,Q0143
6,0,Q0032
7,0,Q0142
8,1,YPL252C
9,1,YLL027W
10,1,YOR226C
11,1,YPL135W
12,2,YCL017C
13,2,YER048W-A
14,3,YDL120W
15,4,YGL018C
16,5,YPR067W
17,5,YPL059W
18,5,YJR122W
19,6,YKL040C
20,7,YLR369W
21,8,YMR301C
22,9,YOR196C
23,10,YNL310C
24,10,YNL328C
25,10,YFL016C
26,10,YOR232W
27,11,YAL046C
28,11,YAL044W-A
29,12,YGR063C
30,12,YOR151C
31,12,YKR062W
32,12,YMR039C
33,12,YBR279W
34,12,YPR133C
35,12,YLR226W
36,12,YKL160W
37,12,YGL130W
38,12,YPR056W
39,12,YOR194C
40,12,YDR079C-A
41,12,YER139C
42,12,YBR236C
43,12,YGL043W
44,12,YDL140C
45,12,YLR418C
46,12,YMR277W
47,12,YDR460W
48,12,YPL228W
49,12,YGR116W
50,12,YGL070C
51,12,YGL244W
52,12,YIL021W
53,12,YOL005C
54,12,YGR005C
55,12,YML010W
56,12,YPL122C
57,12,YJL140W
58,12,YKL058W
59,12,YPR086W
60,12,YDR289C
61,12,YDR404C
62,12,YDL108W
63,12,YKL028W
64,12,YPR161C
65,12,YKL005C
66,12,YKL139W
67,12,YPR025C
68,12,YGR186W
69,13,YBL022C
70,14,YOR210W
71,14,YKL125W
72,14,YLR243W
73,14,YNL113W
74,14,YJL148W
75,14,YPR187W
76,14,YJR063W
77,14,YHR143W-A
78,14,YDR156W
79,14,YFL023W
80,14,YKL144C
81,14,YDR045C
82,14,YJL011C
83,14,YBR154C
84,14,YOR224C
85,14,YDL115C
86,14,YPR110C
87,15,YJR052W
88,15,YIL143C
89,15,YOR352W
90,15,YER171W
91,15,YBR114W
92,15,YDR311W
93,15,YLR005W
94,16,YLR071C
95,16,YOL051W
96,16,YOL135C
97,16,YDR308C
98,16,YHR058C
99,16,YBL093C
100,16,YOR174W
101,16,YGL151W
102,16,YPR168W
103,16,YPR070W
104,16,YBR193C
105,16,YNL236W
106,16,YGL127C
107,16,YER022W
108,16,YNL025C
109,16,YCR081W
110,16,YMR112C
111,16,YHR041C
112,16,YDL005C
113,16,YDR443C
114,16,YNR010W
115,16,YBR253W
116,16,YGL025C
117,16,YGR104C
118,17,YDR397C
119,17,YNL039W
120,17,YNL151C
121,17,YML098W
122,17,YDR145W
123,17,YKR025W
124,17,YER159C
125,17,YPR190C
126,17,YBR123C
127,17,YDR167W
128,17,YPL011C
129,17,YML114C
130,17,YCR042C
131,17,YER148W
132,17,YGR246C
133,17,YDR362C
134,17,YDL150W
135,17,YAL001C
136,17,YNR003C
137,17,YBR198C
138,17,YMR236W
139,17,YOR110W
140,17,YPL007C
141,17,YOR207C
142,17,YOR116C
143,17,YGL112C
144,17,YPL082C
145,17,YML015C
146,17,YGR047C
147,17,YPR186C
148,17,YMR005W
149,18,YER164W
150,19,YPR066W
151,19,YJL047C
152,19,YPL046C
153,19,YOL133W
154,19,YNL230C
155,19,YPR164W
156,19,YLR306W
157,19,YLR320W
158,20,YOR123C
159,21,YPL042C
160,21,YOL128C
161,22,YMR312W
162,22,YPL086C
163,22,YLR384C
164,22,YHR187W
165,22,YKL110C
166,22,YGR200C
167,22,YPL101W
168,22,YGL211W
169,23,YMR186W
170,23,YGR123C
171,23,YOR298C-A
172,23,YBR155W
173,23,YJR032W
174,23,YDR168W
175,23,YDR214W
176,23,YLR216C
177,23,YOR057W
178,23,YPL240C
179,23,YNL281W
180,23,YKL117W
181,23,YOR027W
182,24,YLR455W
183,24,YGL150C
184,24,YDL002C
185,24,YPR031W
186,24,YPL129W
187,24,YOR064C
188,24,YKL017C
189,25,YBR089C-A
190,25,YML069W
191,25,YGL207W
192,25,YGR270W
193,26,YJL006C
194,26,YML112W
195,27,YFR016C
196,27,YOL145C
197,28,YJR035W
198,28,YDR030C
199,28,YKL054C
200,29,YER082C
201,29,YBL004W
202,29,YOR061W
203,29,YIL035C
204,29,YCR057C
205,29,YJL109C
206,29,YNL035C
207,29,YGR251W
208,29,YGR081C
209,30,YKL126W
210,30,YHR205W
211,30,YDR005C
212,31,YNL248C
213,31,YIL019W
214,31,YDR365C
215,31,YIL091C
216,31,YGL120C
217,31,YGL171W
218,31,YDR412W
219,31,YLR222C
220,31,YOL010W
221,31,YOR145C
222,31,YGL111W
223,31,YBR142W
224,31,YKL172W
225,31,YMR014W
226,31,YLR409C
227,31,YJL069C
228,31,YDR299W
229,31,YJR091C
230,31,YIR012W
231,31,YJL010C
232,31,YLR129W
233,31,YPR137W
234,31,YHR065C
235,31,YOR272W
236,31,YOL080C
237,31,YHR197W
238,31,YLL008W
239,31,YKL099C
240,31,YHR085W
241,31,YNL132W
242,31,YDL063C
243,31,YER127W
244,31,YOR119C
245,31,YDL167C
246,31,YLR196W
247,31,YNR038W
248,31,YIL127C
249,31,YMR290C
250,31,YPL126W
251,31,YHR052W
252,31,YDR361C
253,31,YMR093W
254,31,YCL031C
255,31,YFR001W
256,31,YMR128W
257,31,YNL075W
258,31,YPL012W
259,31,YER036C
260,31,YLL011W
261,31,YDR161W
262,31,YNL227C
263,31,YDL060W
264,31,YKL014C
265,31,YNL112W
266,31,YOR287C
267,31,YGL029W
268,31,YER006W
269,31,YDR324C
270,31,YFL002C
271,31,YDR496C
272,31,YDL148C
273,31,YLR009W
274,31,YNR053C
275,31,YOL041C
276,31,YKL143W
277,31,YDR083W
278,31,YPL211W
279,31,YER126C
280,31,YNR054C
281,31,YPL146C
282,31,YMR229C
283,31,YDR312W
284,31,YPL266W
285,31,YPL226W
286,31,YNL308C
287,31,YJL033W
288,31,YDR087C
289,31,YJR002W
290,31,YOR206W
291,31,YCR087C-A
292,31,YDR449C
293,31,YKR060W
294,31,YNL110C
295,31,YGR128C
296,31,YOR056C
297,31,YGL014W
298,31,YLR276C
299,31,YDR398W
300,31,YGR245C
301,31,YOR294W
302,31,YPL043W
303,31,YHR169W
304,31,YKR024C
305,31,YHR170W
306,31,YHR066W
307,31,YNL207W
308,31,YNL182C
309,31,YDL051W
310,31,YGR090W
311,31,YAL025C
312,31,YGR271C-A
313,31,YHR088W
314,31,YLR003C
315,31,YER156C
316,31,YDL153C
317,31,YML074C
318,31,YBR247C
319,31,YGR280C
320,31,YAL059W
321,31,YOR340C
322,31,YBR267W
323,31,YLL034C
324,31,YBL028C
325,31,YPL217C
326,31,YLR106C
327,31,YKR081C
328,31,YKL009W
329,31,YLR435W
330,31,YNL175C
331,31,YGR103W
332,31,YER002W
333,31,YJL122W
334,31,YLR336C
335,31,YNL163C
336,31,YLR022C
337,31,YGR145W
338,31,YIR026C
339,31,YGL099W
340,31,YOR004W
341,31,YKL021C
342,31,YLR221C
343,31,YEL055C
344,31,YKR056W
345,31,YDR101C
346,31,YGR187C
347,31,YNL224C
348,31,YMR131C
349,31,YKL082C
350,31,YLR074C
351,31,YDR194C
352,31,YMR269W
353,31,YCL054W
354,31,YPR112C
355,31,YGL078C
356,31,YNL061W
357,31,YCL059C
358,31,YOL077C
359,31,YML093W
360,31,YLR449W
361,31,YJR041C
362,31,YBR192W
363,31,YKR092C
364,31,YDR184C
365,31,YPL093W
366,31,YLR051C
367,31,YGR159C
368,31,YDL031W
369,31,YPR143W
370,31,YPR144C
371,31,YCR072C
372,31,YDR060W
373,31,YLR002C
374,32,YGR095C
375,32,YNR024W
376,32,YGR158C
377,32,YHR069C
378,32,YMR239C
379,32,YOL021C
380,32,YGR195W
381,32,YMR287C
382,32,YPR189W
383,32,YDR374C
384,32,YNL299W
385,32,YDR280W
386,32,YDL111C
387,32,YCR035C
388,32,YIL079C
389,32,YNL232W
390,32,YDL175C
391,32,YJL050W
392,32,YOR001W
393,32,YOL115W
394,32,YOL142W
395,32,YHR081W
396,32,YLR398C
397,33,YMR049C
398,33,YLR401C
399,34,YPR010C
400,34,YPL263C
401,34,YOR341W
402,35,YPL207W
403,35,YHR070W
404,35,YOL141W
405,35,YGL050W
406,36,YHR128W
407,36,YDR400W
408,36,YDR020C
409,36,YNR012W
410,37,YMR271C
411,37,YDR007W
412,37,YOR128C
413,37,YLR014C
414,37,YEL063C
415,37,YKL216W
416,37,YLR420W
417,37,YML106W
418,37,YEL021W
419,38,YER005W
420,39,YLR245C
421,40,YKL024C
422,41,YNL002C
423,41,YDR012W
424,41,YLR061W
425,41,YGR169C-A
426,41,YLR048W
427,41,YDR429C
428,41,YJR145C
429,41,YMR143W
430,41,YPR016C
431,41,YGR054W
432,41,YLR264W
433,41,YDR450W
434,41,YGR085C
435,41,YNL162W
436,41,YHL015W
437,41,YDR447C
438,41,YGL076C
439,41,YMR116C
440,41,YJR123W
441,41,YGL189C
442,41,YDL083C
443,41,YJL190C
444,41,YPR132W
445,41,YLR448W
446,41,YCR031C
447,41,YLR344W
448,41,YBR191W
449,41,YOR063W
450,41,YAL035W
451,41,YOL040C
452,41,YGL030W
453,41,YJL136C
454,41,YER056C-A
455,41,YKL056C
456,41,YGR118W
457,41,YLL045C
458,41,YDL130W
459,41,YBR084C-A
460,41,YLR150W
461,41,YKL156W
462,41,YDR417C
463,41,YPL037C
464,41,YDL082W
465,41,YNL096C
466,41,YGR027C
467,41,YMR121C
468,41,YNL069C
469,41,YLR441C
470,41,YLR325C
471,41,YBL087C
472,41,YOL121C
473,41,YGR214W
474,41,YHR203C
475,41,YGL147C
476,41,YDR418W
477,41,YLR192C
478,41,YOL127W
479,41,YFR032C-A
480,41,YER117W
481,41,YER102W
482,41,YOR369C
483,41,YDL081C
484,41,YNL178W
485,41,YHR141C
486,41,YOR234C
487,41,YGR201C
488,41,YPL090C
