,cluster,protein,degree,eigenvector_centrality,betweenness_centrality,degree_centrality
505,82,YCR075W-A,3,0.439,0.000,0.750
506,83,YPL119C,2,0.347,0.000,0.333
507,83,YOR276W,2,0.347,0.000,0.333
508,83,YOR204W,2,0.347,0.000,0.333
509,83,YCL037C,2,0.347,0.000,0.333
510,84,YMR104C,1,0.707,0.000,1.000
511,84,YMR103C,1,0.707,0.000,1.000
512,85,YMR106C,6,0.405,0.033,1.000
513,85,YMR284W,6,0.405,0.033,1.000
514,85,YCR014C,6,0.405,0.033,1.000
515,85,YOR005C,6,0.405,0.033,1.000
516,86,YGR037C,2,0.473,0.000,0.500
517,86,YLR179C,2,0.473,0.000,0.500
518,87,YOR231W,5,0.414,0.040,0.714
519,87,YJL095W,4,0.357,0.012,0.571
520,88,YGR286C,3,0.317,0.000,0.500
521,88,YGR065C,3,0.317,0.000,0.500
522,88,YNR057C,4,0.377,0.022,0.667
523,89,YDR232W,7,0.351,0.000,0.778
524,89,YOR278W,7,0.351,0.000,0.778
525,89,YDR047W,7,0.351,0.000,0.778
526,89,YOR176W,7,0.351,0.000,0.778
527,89,YDL205C,7,0.351,0.000,0.778
528,89,YGL040C,7,0.351,0.000,0.778
529,90,YIL003W,6,0.392,0.013,1.000
530,90,YIL128W,6,0.392,0.013,1.000
531,90,YGL091C,6,0.392,0.013,1.000
532,90,YHR122W,6,0.392,0.013,1.000
533,90,YNL240C,6,0.392,0.013,1.000
534,91,YBL014C,6,0.378,0.000,1.000
535,91,YML043C,6,0.378,0.000,1.000
536,91,YOR295W,6,0.378,0.000,1.000
537,91,YLR141W,6,0.378,0.000,1.000
538,91,YBL025W,6,0.378,0.000,1.000
539,91,YJL025W,6,0.378,0.000,1.000
540,91,YMR270C,6,0.378,0.000,1.000
541,92,YIL036W,1,0.500,0.000,0.500
542,92,YDR034C,1,0.500,0.000,0.500
543,93,YER110C,10,0.308,0.039,0.769
544,93,YGL016W,9,0.293,0.006,0.692
545,93,YMR308C,10,0.308,0.039,0.769
546,93,YPL125W,9,0.293,0.021,0.692
547,94,YOL012C,0,1.000,0.000,1.000
548,95,YBR019C,6,0.405,0.033,1.000
549,95,YML051W,6,0.405,0.033,1.000
550,95,YBR020W,6,0.405,0.033,1.000
551,95,YDR009W,6,0.405,0.033,1.000
552,96,YBL091C,2,0.523,0.000,0.667
553,96,YHR112C,2,0.523,0.000,0.667
554,97,YHR013C,8,0.358,0.085,0.727
555,97,YPR131C,8,0.351,0.185,0.727
556,97,YDL040C,7,0.345,0.003,0.636
557,98,YOR091W,3,0.384,0.033,0.500
558,98,YGR173W,3,0.417,0.067,0.500
559,99,YNL315C,1,0.500,0.000,0.500
560,99,YIL098C,1,0.500,0.000,0.500
561,100,YOL027C,1,0.707,0.000,1.000
562,100,YER154W,1,0.707,0.000,1.000
563,101,YMR228W,1,0.408,0.000,0.333
564,101,YDL044C,1,0.408,0.000,0.333
565,101,YOR330C,1,0.408,0.000,0.333
566,102,YLR393W,1,0.707,0.000,1.000
567,102,YNR020C,1,0.707,0.000,1.000
568,103,YGR106C,3,0.422,0.000,0.429
569,103,YGR105W,3,0.422,0.000,0.429
570,104,YNL280C,16,0.207,0.005,0.640
571,104,YML008C,17,0.217,0.008,0.680
572,104,YLR100W,17,0.212,0.016,0.680
573,104,YPL117C,16,0.194,0.011,0.640
574,104,YJL167W,17,0.206,0.014,0.680
575,104,YPL028W,17,0.207,0.017,0.680
