,cluster,protein
0,0,Q0182
1,0,Q0017
2,0,YKL011C
3,0,Q0092
4,0,Q0297
5,0,Q0010
6,0,Q0143
7,0,YDR296W
8,0,Q0032
9,0,Q0142
10,1,YGR286C
11,1,YPL132W
12,1,YHR105W
13,1,YGR155W
14,1,YBL030C
15,1,YDL067C
16,1,YBR248C
17,1,YER065C
18,1,YCL044C
19,1,YMR120C
20,1,YLL018C-A
21,1,YMR108W
22,1,YBR179C
23,1,YGR106C
24,1,YBL022C
25,1,YBR218C
26,1,YER017C
27,1,YOR280C
28,1,YOR108W
29,1,YIL114C
30,1,YDL185W
31,1,YKL001C
32,1,YNL117W
33,1,YGR244C
34,1,YLL041C
35,1,YLR027C
36,1,YPR067W
37,1,YOL058W
38,1,YLR432W
39,1,YDL171C
40,1,YPL280W
41,1,YMR056C
42,1,YGL091C
43,1,YNL121C
44,1,YNL026W
45,1,YMR228W
46,1,YMR302C
47,1,YLR146C
48,1,Q0055
49,1,YMR241W
50,1,YDR049W
51,1,YDR321W
52,1,YJL200C
53,1,YJR095W
54,1,YLL027W
55,1,YNL256W
56,1,YLR203C
57,1,YLR163C
58,1,YBL099W
59,1,YIL125W
60,1,YMR189W
61,1,YKR066C
62,1,YDR375C
63,1,YLR303W
64,1,YER154W
65,1,YNL315C
66,1,YBR085W
67,1,YGR181W
68,1,YNL036W
69,1,YNR016C
70,1,YEL038W
71,1,YPR002W
72,1,YLR304C
73,1,YKL132C
74,1,YBR213W
75,1,YKL084W
76,1,YDL078C
77,1,YBL059C-A
78,1,YKL085W
79,1,YDR376W
80,1,YML120C
81,1,YDL141W
82,1,YLL006W
83,1,YJR137C
84,1,YBR115C
85,1,YJL112W
86,1,YCL050C
87,1,YOL026C
88,1,YDR305C
89,1,YKL192C
90,1,YPR069C
91,1,YGL018C
92,1,YLR259C
93,1,YLR447C
94,1,YDR511W
95,1,YJR154W
96,1,YIL111W
97,1,YNL220W
98,1,YNL100W
99,1,YOR388C
100,1,YGR222W
101,1,YLR239C
102,1,YGL226W
103,1,YKL195W
104,1,YHR083W
105,1,YJL054W
106,1,YER023W
107,1,YGR208W
108,1,YDR178W
109,1,YFR011C
110,1,YML129C
111,1,YNL052W
112,1,YJR033C
113,1,YOR045W
114,1,Q0050
115,1,YLR092W
116,1,YBR262C
117,1,YPL252C
118,1,YNL295W
119,1,YPR004C
120,1,YDL181W
121,1,YBR011C
122,1,YKL137W
123,1,YJR119C
124,1,YER141W
125,1,YJR139C
126,1,YPR001W
127,1,YOL027C
128,1,YKR017C
129,1,YIL003W
130,1,YDL178W
131,1,YDR354W
132,1,YDL215C
133,1,YKR080W
134,1,YKL016C
135,1,YFR049W
136,1,YDR322C-A
137,1,YOR232W
138,1,YGL219C
139,1,YPR006C
140,1,YPL273W
141,1,YDR493W
142,1,YOL052C
143,1,YIR028W
144,1,YOR285W
145,1,YMR009W
146,1,YPR191W
147,1,YDR007W
148,1,YJR148W
149,1,Q0160
150,1,YGL009C
151,1,YKL119C
152,1,YGR012W
153,1,YBR249C
154,1,YOR323C
155,1,YIL042C
156,1,YIR034C
157,1,YKL040C
158,1,YML081C-A
159,1,YDL198C
160,1,YMR038C
161,1,YDR377W
162,1,YER048W-A
163,1,YML035C
164,1,YOR228C
165,1,YGR183C
166,1,YOL151W
167,1,YOR065W
168,1,YGR021W
169,1,YEL024W
170,1,YMR002W
171,1,YDR197W
172,1,YFR006W
173,1,YDR430C
174,1,YGR124W
175,1,YGR029W
176,1,YIR027C
177,1,YLR348C
178,1,YEL059C-A
179,1,YJR077C
180,1,YOR236W
181,1,YEL051W
182,1,YOR270C
183,1,YGR101W
184,1,YPR020W
185,1,YAR075W
186,1,YOR391C
187,1,YLR451W
188,1,YIL022W
189,1,YLR351C
190,1,YHR117W
191,1,YKL141W
192,1,YIR021W
193,1,YKL015W
194,1,YPR036W
195,1,YGL202W
196,1,YJR109C
197,1,YPR145W
198,1,YDL182W
199,1,YGR231C
200,1,YKL211C
201,1,YDR234W
202,1,YNL314W
203,1,YNR001C
204,1,YNL070W
205,1,YCL018W
206,1,YBR185C
207,1,YPL215W
208,1,YOR020C
209,1,YGL148W
210,1,YCL009C
211,1,YLR420W
212,1,YNL010W
213,1,Q0065
214,1,YMR257C
215,1,Q0275
216,1,YNR056C
217,1,YGL062W
218,1,YGR105W
219,1,YOL126C
220,1,YNR020C
221,1,YLR180W
222,1,YML131W
223,1,YJR130C
224,1,YGR174C
225,1,YOR142W
226,1,YPL017C
227,1,YPL271W
228,1,YDR298C
229,1,YLL001W
230,1,YPR048W
231,1,YEL071W
232,1,YBL015W
233,1,YBR208C
234,1,YGL191W
235,1,YBR084W
236,1,YNL037C
237,1,Q0250
238,1,YDL033C
239,1,YOR184W
240,1,YBR227C
241,1,YLR294C
242,1,YCL030C
243,1,YHR060W
244,1,YMR256C
245,1,YER091C
246,1,YOR241W
247,1,YPL059W
248,1,YIL020C
249,1,YAR073W
250,1,YMR207C
251,1,YPL189C-A
252,1,YML004C
253,1,YKL120W
254,1,YMR289W
255,1,YJL045W
256,1,Q0060
257,1,YIR031C
258,1,YBR068C
259,1,YPL063W
260,1,YHR026W
261,1,YNL055C
262,1,YMR089C
263,1,YOR251C
264,1,YHR208W
265,1,YLR355C
266,1,YHR162W
267,1,YKL053C-A
268,1,YKL087C
269,1,YML056C
270,1,YBR235W
271,1,YHR076W
272,1,YMR060C
273,1,YEL039C
274,1,YPL262W
275,1,YFR055W
276,1,YLR142W
277,1,YOR226C
278,1,YER069W
279,1,YLR164W
280,1,YNL275W
281,1,YOR161C
282,1,YDL217C
283,1,Q0130
284,1,YJR024C
285,1,YMR113W
286,1,YDL131W
287,1,YBR263W
288,1,Q0110
289,1,YPL078C
290,1,YGR061C
291,1,YJR045C
292,1,YHR116W
293,1,YMR322C
294,1,YMR267W
295,1,YDR231C
296,1,Q0045
297,1,YLR058C
298,1,YBR120C
299,1,YER052C
300,1,YHR132C
301,1,YNL240C
302,1,YKL080W
303,1,YNL316C
304,1,YGR193C
305,1,YNL104C
306,1,YOR356W
307,1,YER090W
308,1,YHR039C-A
309,1,YIL094C
310,1,YIR032C
311,1,YHR005C-A
312,1,YBL045C
313,1,YJL071W
314,1,YMR176W
315,1,YLR028C
316,1,YBR294W
317,1,YGL236C
318,1,YAL048C
319,1,YKL106W
320,1,YCL007C
321,1,YLR438W
322,1,YKL029C
323,1,YLR359W
324,1,YGL184C
325,1,YBR091C
326,1,YDR379C-A
327,1,YHR109W
328,1,YOL071W
329,1,YBR127C
330,1,YER046W
331,1,YPL023C
332,1,YOL077W-A
333,1,YOR375C
334,1,YAL010C
335,1,YDL107W
336,1,YEL021W
337,1,YOR348C
338,1,Q0075
339,1,YPL111W
340,1,YGL196W
341,1,YLR253W
342,1,YKL184W
343,1,YDR104C
344,1,YOR130C
345,1,YOL009C
346,1,YPR167C
347,1,YGR204W
348,1,YJL003W
349,1,YPL172C
350,1,YML068W
351,1,YLL062C
352,1,YOR202W
353,1,YNL310C
354,1,YKL217W
355,1,YNR033W
356,1,YJL088W
357,1,YDR502C
358,1,YOR266W
359,1,YLR153C
360,1,YLR008C
361,1,YLR038C
362,1,YJR048W
363,1,YKR065C
364,1,YDR470C
365,1,YJR121W
366,1,YOR100C
367,1,YOR297C
368,1,YDR127W
369,1,YER086W
370,1,YHR033W
371,1,YBR037C
372,1,YOL064C
373,1,YML082W
374,1,YHR002W
375,1,YGR243W
376,1,YLL009C
377,1,YNR050C
378,1,YJL126W
379,1,YJR122W
380,1,YJL166W
381,1,YLR089C
382,1,YDR035W
383,1,YPR035W
384,1,YMR301C
385,1,YGL080W
386,1,YMR115W
387,1,YCL064C
388,1,YNR057C
389,1,YOR090C
390,1,YNL071W
391,1,YBR039W
392,1,YLR393W
393,1,Q0070
394,1,YHR216W
395,1,YFL030W
396,1,YHR051W
397,1,YHL016C
398,1,YFR033C
399,1,YDR304C
400,1,YDL069C
401,1,YPR024W
402,1,YFR025C
403,1,YGR065C
404,1,YIL157C
405,1,YMR054W
406,1,YKR016W
407,1,YNL134C
408,1,YLR017W
409,1,YHR018C
410,1,YCR053W
411,1,YAL039C
412,1,YPL036W
413,1,YPL159C
414,1,YPR021C
415,1,YAL062W
416,1,YOR136W
417,1,YDR111C
418,1,Q0080
419,1,YPR133W-A
420,1,YCL057C-A
421,1,YAL044C
422,1,YJR135W-A
423,1,YMR145C
424,1,YNL009W
425,1,YJL104W
426,1,YER153C
427,1,YBR166C
428,1,YBR176W
429,1,YKR087C
430,1,YDR533C
431,1,YIR017C
432,1,Q0105
433,1,YDR158W
434,1,YDR530C
435,1,Q0115
436,1,YFR030W
437,1,YGR112W
438,1,YNR045W
439,1,YGR207C
440,1,Q0085
441,1,YGR132C
442,1,YHR194W
443,1,YER055C
444,1,YLL058W
445,1,YFL018C
446,1,YOR211C
447,1,YNR017W
448,1,YMR244C-A
449,1,YGL187C
450,1,YGR082W
451,1,YDR202C
452,1,YDR148C
453,1,YLL059C
454,1,YLR168C
455,1,YOL140W
456,1,YHR037W
457,1,YDL120W
458,1,YOR221C
459,1,YMR150C
460,1,YMR062C
461,1,YLL056C
462,1,YGR033C
463,1,YJR010W
464,1,YIL070C
465,1,YKR097W
466,1,YJR067C
467,1,YCL017C
468,1,YGR235C
469,1,YPL052W
470,1,YPL246C
471,1,YLR067C
472,1,YMR111C
473,1,YMR118C
474,1,YLR395C
475,1,YJL130C
476,1,YGL234W
477,1,YOR037W
478,1,YML054C
479,1,YDL066W
480,1,YCL005W-A
481,1,YDL174C
482,1,YOR332W
483,1,YIL116W
484,1,YPR060C
485,1,YCR079W
486,1,YJL062W-A
487,1,YJR155W
488,1,YNL328C
489,1,YPL234C
